Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,2.8
1,2023-01-01 05:15:00,2.8
2,2023-01-01 05:30:00,2.8
3,2023-01-01 05:45:00,2.9
4,2023-01-01 06:00:00,2.8
5,2023-01-01 06:15:00,2.8
6,2023-01-01 06:30:00,2.8
7,2023-01-01 06:45:00,2.8
8,2023-01-01 07:00:00,2.8
9,2023-01-01 07:15:00,2.8
10,2023-01-01 07:30:00,2.8
11,2023-01-01 07:45:00,2.8
12,2023-01-01 08:00:00,3.0
13,2023-01-01 08:15:00,2.8
14,2023-01-01 08:30:00,3.1
15,2023-01-01 08:45:00,2.7
16,2023-01-01 09:00:00,2.8
17,2023-01-01 09:15:00,2.9
18,2023-01-01 09:30:00,3.4
19,2023-01-01 09:45:00,2.8
20,2023-01-01 10:00:00,5.1
21,2023-01-01 10:15:00,2.8
22,2023-01-01 10:30:00,3.0
23,2023-01-01 10:45:00,2.8
24,2023-01-01 11:00:00,2.8
25,2023-01-01 11:15:00,3.1
26,2023-01-01 11:30:00,2.8
27,2023-01-01 11:45:00,2.8
28,2023-01-01 12:00:00,3.0
29,2023-01-01 12:15:00,2.8
30,2023-01-01 12:30:00,2.8
31,2023-01-01 12:45:00,2.8
32,2023-01-01 13:00:00,2.8
33,2023-01-01 13:15:00,2.8
34,2023-01-01 13:30:00,2.6
35,2023-01-01 13:45:00,2.8
36,2023-01-01 14:00:00,2.6
37,2023-01-01 14:15:00,3.2
38,2023-01-01 14:30:00,2.6
39,2023-01-01 14:45:00,2.5
40,2023-01-01 15:00:00,2.7
41,2023-01-01 15:15:00,2.8
42,2023-01-01 15:30:00,2.5
43,2023-01-01 15:45:00,2.6
44,2023-01-01 16:00:00,2.5
45,2023-01-01 16:15:00,2.6
46,2023-01-01 16:30:00,2.6
47,2023-01-01 16:45:00,2.6
48,2023-01-01 17:00:00,2.8
49,2023-01-01 17:15:00,2.5
50,2023-01-01 17:30:00,3.2
51,2023-01-01 17:45:00,2.8
52,2023-01-01 18:00:00,2.5
53,2023-01-01 18:15:00,2.8
54,2023-01-01 18:30:00,2.6
55,2023-01-01 18:45:00,2.5
56,2023-01-01 19:00:00,2.6
57,2023-01-01 19:15:00,2.5
58,2023-01-01 19:30:00,2.5
59,2023-01-01 19:45:00,2.5
60,2023-01-01 20:00:00,2.5
61,2023-01-01 20:15:00,2.7
62,2023-01-01 20:30:00,2.5
63,2023-01-01 20:45:00,2.5
64,2023-01-01 21:00:00,2.7
65,2023-01-01 21:15:00,2.5
66,2023-01-01 21:30:00,2.5
67,2023-01-01 21:45:00,3.0
