Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,3.5
1,2023-01-01 05:15:00,3.4
2,2023-01-01 05:30:00,3.2
3,2023-01-01 05:45:00,3.4
4,2023-01-01 06:00:00,3.2
5,2023-01-01 06:15:00,3.3
6,2023-01-01 06:30:00,3.8
7,2023-01-01 06:45:00,3.8
8,2023-01-01 07:00:00,3.4
9,2023-01-01 07:15:00,3.1
10,2023-01-01 07:30:00,3.6
11,2023-01-01 07:45:00,3.4
12,2023-01-01 08:00:00,3.6
13,2023-01-01 08:15:00,3.8
14,2023-01-01 08:30:00,3.7
15,2023-01-01 08:45:00,3.5
16,2023-01-01 09:00:00,3.6
17,2023-01-01 09:15:00,3.5
18,2023-01-01 09:30:00,3.7
19,2023-01-01 09:45:00,3.6
20,2023-01-01 10:00:00,3.8
21,2023-01-01 10:15:00,3.8
22,2023-01-01 10:30:00,3.6
23,2023-01-01 10:45:00,3.7
24,2023-01-01 11:00:00,3.5
25,2023-01-01 11:15:00,3.5
26,2023-01-01 11:30:00,3.6
27,2023-01-01 11:45:00,3.4
28,2023-01-01 12:00:00,3.5
29,2023-01-01 12:15:00,3.6
30,2023-01-01 12:30:00,3.4
31,2023-01-01 12:45:00,2.9
32,2023-01-01 13:00:00,3.0
33,2023-01-01 13:15:00,2.9
34,2023-01-01 13:30:00,2.8
35,2023-01-01 13:45:00,2.8
36,2023-01-01 14:00:00,3.1
37,2023-01-01 14:15:00,3.0
38,2023-01-01 14:30:00,2.9
39,2023-01-01 14:45:00,2.9
40,2023-01-01 15:00:00,2.7
41,2023-01-01 15:15:00,2.8
42,2023-01-01 15:30:00,3.0
43,2023-01-01 15:45:00,3.1
44,2023-01-01 16:00:00,2.8
45,2023-01-01 16:15:00,2.9
46,2023-01-01 16:30:00,2.8
47,2023-01-01 16:45:00,2.9
48,2023-01-01 17:00:00,3.0
49,2023-01-01 17:15:00,3.0
50,2023-01-01 17:30:00,2.7
51,2023-01-01 17:45:00,2.8
52,2023-01-01 18:00:00,3.0
53,2023-01-01 18:15:00,3.0
54,2023-01-01 18:30:00,3.0
55,2023-01-01 18:45:00,2.8
56,2023-01-01 19:00:00,2.8
57,2023-01-01 19:15:00,2.7
58,2023-01-01 19:30:00,2.9
59,2023-01-01 19:45:00,3.0
60,2023-01-01 20:00:00,3.0
61,2023-01-01 20:15:00,2.9
62,2023-01-01 20:30:00,2.9
63,2023-01-01 20:45:00,2.9
64,2023-01-01 21:00:00,2.9
65,2023-01-01 21:15:00,2.8
66,2023-01-01 21:30:00,2.9
67,2023-01-01 21:45:00,3.0
68,2023-01-01 22:00:00,3.3
69,2023-01-01 22:15:00,3.6
70,2023-01-01 22:30:00,3.6
71,2023-01-01 22:45:00,3.6
72,2023-01-01 23:00:00,3.6
73,2023-01-01 23:15:00,3.5
74,2023-01-01 23:30:00,3.6
75,2023-01-01 23:45:00,3.6
76,2023-01-02 00:00:00,3.6
77,2023-01-02 00:15:00,3.5
78,2023-01-02 00:30:00,3.6
79,2023-01-02 00:45:00,3.5
80,2023-01-02 01:00:00,3.6
81,2023-01-02 01:15:00,3.6
82,2023-01-02 01:30:00,3.6
83,2023-01-02 01:45:00,3.4
84,2023-01-02 02:00:00,3.6
85,2023-01-02 02:15:00,3.5
86,2023-01-02 02:30:00,3.6
87,2023-01-02 02:45:00,3.6
88,2023-01-02 03:00:00,3.4
89,2023-01-02 03:15:00,3.6
90,2023-01-02 03:30:00,3.8
91,2023-01-02 03:45:00,3.7
92,2023-01-02 04:00:00,3.5
93,2023-01-02 04:15:00,3.6
94,2023-01-02 04:30:00,3.6
95,2023-01-02 04:45:00,3.5
96,2023-01-02 05:00:00,3.5
97,2023-01-02 05:15:00,3.7
98,2023-01-02 05:30:00,3.7
99,2023-01-02 05:45:00,3.5
100,2023-01-02 06:00:00,3.5
101,2023-01-02 06:15:00,3.5
102,2023-01-02 06:30:00,3.7
103,2023-01-02 06:45:00,3.6
104,2023-01-02 07:00:00,3.5
105,2023-01-02 07:15:00,3.5
106,2023-01-02 07:30:00,3.5
107,2023-01-02 07:45:00,3.4
108,2023-01-02 08:00:00,3.6
109,2023-01-02 08:15:00,3.6
110,2023-01-02 08:30:00,3.5
111,2023-01-02 08:45:00,3.6
112,2023-01-02 09:00:00,3.5
113,2023-01-02 09:15:00,3.7
114,2023-01-02 09:30:00,3.5
115,2023-01-02 09:45:00,3.6
116,2023-01-02 10:00:00,3.6
117,2023-01-02 10:15:00,3.5
118,2023-01-02 10:30:00,3.4
119,2023-01-02 10:45:00,3.5
120,2023-01-02 11:00:00,3.9
121,2023-01-02 11:15:00,3.6
122,2023-01-02 11:30:00,3.6
123,2023-01-02 11:45:00,3.4
