Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,9.3
1,2023-01-01 05:15:00,9.3
2,2023-01-01 05:30:00,9.2
3,2023-01-01 05:45:00,9.5
4,2023-01-01 06:00:00,9.4
5,2023-01-01 06:15:00,9.4
6,2023-01-01 06:30:00,9.1
7,2023-01-01 06:45:00,9.6
8,2023-01-01 07:00:00,9.9
9,2023-01-01 07:15:00,9.1
10,2023-01-01 07:30:00,9.2
11,2023-01-01 07:45:00,10.9
12,2023-01-01 08:00:00,9.7
13,2023-01-01 08:15:00,10.2
14,2023-01-01 08:30:00,9.0
15,2023-01-01 08:45:00,9.7
16,2023-01-01 09:00:00,9.2
17,2023-01-01 09:15:00,9.5
18,2023-01-01 09:30:00,8.9
19,2023-01-01 09:45:00,9.4
20,2023-01-01 10:00:00,9.5
21,2023-01-01 10:15:00,10.2
22,2023-01-01 10:30:00,9.2
23,2023-01-01 10:45:00,9.0
24,2023-01-01 11:00:00,9.3
25,2023-01-01 11:15:00,9.5
26,2023-01-01 11:30:00,9.4
27,2023-01-01 11:45:00,8.9
28,2023-01-01 12:00:00,9.1
29,2023-01-01 12:15:00,10.0
30,2023-01-01 12:30:00,10.0
31,2023-01-01 12:45:00,9.5
32,2023-01-01 13:00:00,8.8
33,2023-01-01 13:15:00,7.4
34,2023-01-01 13:30:00,7.6
35,2023-01-01 13:45:00,8.8
36,2023-01-01 14:00:00,7.3
37,2023-01-01 14:15:00,7.0
38,2023-01-01 14:30:00,7.0
39,2023-01-01 14:45:00,7.3
40,2023-01-01 15:00:00,7.4
41,2023-01-01 15:15:00,7.5
42,2023-01-01 15:30:00,6.8
43,2023-01-01 15:45:00,6.6
44,2023-01-01 16:00:00,7.3
45,2023-01-01 16:15:00,7.2
46,2023-01-01 16:30:00,7.6
47,2023-01-01 16:45:00,6.6
48,2023-01-01 17:00:00,6.9
49,2023-01-01 17:15:00,6.8
50,2023-01-01 17:30:00,7.1
51,2023-01-01 17:45:00,7.6
52,2023-01-01 18:00:00,7.1
53,2023-01-01 18:15:00,7.1
54,2023-01-01 18:30:00,6.7
55,2023-01-01 18:45:00,7.0
56,2023-01-01 19:00:00,7.3
57,2023-01-01 19:15:00,7.4
58,2023-01-01 19:30:00,7.0
59,2023-01-01 19:45:00,6.4
60,2023-01-01 20:00:00,6.7
61,2023-01-01 20:15:00,7.3
62,2023-01-01 20:30:00,7.2
63,2023-01-01 20:45:00,7.0
64,2023-01-01 21:00:00,6.5
65,2023-01-01 21:15:00,6.5
66,2023-01-01 21:30:00,7.7
67,2023-01-01 21:45:00,9.0
68,2023-01-01 22:00:00,10.1
69,2023-01-01 22:15:00,9.4
70,2023-01-01 22:30:00,9.3
71,2023-01-01 22:45:00,9.3
72,2023-01-01 23:00:00,9.8
73,2023-01-01 23:15:00,11.7
74,2023-01-01 23:30:00,9.5
75,2023-01-01 23:45:00,9.6
76,2023-01-02 00:00:00,9.3
77,2023-01-02 00:15:00,8.9
78,2023-01-02 00:30:00,9.5
79,2023-01-02 00:45:00,9.8
80,2023-01-02 01:00:00,9.6
81,2023-01-02 01:15:00,9.0
82,2023-01-02 01:30:00,10.4
83,2023-01-02 01:45:00,10.3
84,2023-01-02 02:00:00,9.9
85,2023-01-02 02:15:00,10.1
86,2023-01-02 02:30:00,9.5
87,2023-01-02 02:45:00,17.1
88,2023-01-02 03:00:00,17.0
89,2023-01-02 03:15:00,9.7
90,2023-01-02 03:30:00,10.9
91,2023-01-02 03:45:00,9.5
92,2023-01-02 04:00:00,9.4
93,2023-01-02 04:15:00,8.8
94,2023-01-02 04:30:00,8.9
95,2023-01-02 04:45:00,9.1
96,2023-01-02 05:00:00,9.7
97,2023-01-02 05:15:00,9.7
98,2023-01-02 05:30:00,9.0
99,2023-01-02 05:45:00,10.2
100,2023-01-02 06:00:00,9.0
101,2023-01-02 06:15:00,13.5
102,2023-01-02 06:30:00,10.0
103,2023-01-02 06:45:00,9.5
104,2023-01-02 07:00:00,9.3
105,2023-01-02 07:15:00,9.0
106,2023-01-02 07:30:00,9.0
107,2023-01-02 07:45:00,9.7
108,2023-01-02 08:00:00,9.9
109,2023-01-02 08:15:00,9.8
110,2023-01-02 08:30:00,8.8
111,2023-01-02 08:45:00,8.7
112,2023-01-02 09:00:00,9.3
113,2023-01-02 09:15:00,9.6
114,2023-01-02 09:30:00,9.6
115,2023-01-02 09:45:00,8.7
116,2023-01-02 10:00:00,8.8
117,2023-01-02 10:15:00,9.1
118,2023-01-02 10:30:00,9.6
119,2023-01-02 10:45:00,9.8
120,2023-01-02 11:00:00,9.2
121,2023-01-02 11:15:00,8.8
122,2023-01-02 11:30:00,9.0
123,2023-01-02 11:45:00,9.3
124,2023-01-02 12:00:00,9.7
125,2023-01-02 12:15:00,9.7
126,2023-01-02 12:30:00,9.5
127,2023-01-02 12:45:00,9.2
128,2023-01-02 13:00:00,7.2
129,2023-01-02 13:15:00,7.1
130,2023-01-02 13:30:00,7.7
131,2023-01-02 13:45:00,7.2
132,2023-01-02 14:00:00,7.1
133,2023-01-02 14:15:00,6.6
134,2023-01-02 14:30:00,7.1
135,2023-01-02 14:45:00,7.0
136,2023-01-02 15:00:00,7.0
137,2023-01-02 15:15:00,7.2
138,2023-01-02 15:30:00,7.0
139,2023-01-02 15:45:00,6.7
140,2023-01-02 16:00:00,6.8
141,2023-01-02 16:15:00,7.3
142,2023-01-02 16:30:00,7.3
143,2023-01-02 16:45:00,7.4
144,2023-01-02 17:00:00,6.5
145,2023-01-02 17:15:00,7.2
146,2023-01-02 17:30:00,7.5
147,2023-01-02 17:45:00,6.6
148,2023-01-02 18:00:00,7.4
149,2023-01-02 18:15:00,8.0
150,2023-01-02 18:30:00,8.1
151,2023-01-02 18:45:00,7.0
152,2023-01-02 19:00:00,6.8
153,2023-01-02 19:15:00,9.3
154,2023-01-02 19:30:00,7.4
155,2023-01-02 19:45:00,7.7
156,2023-01-02 20:00:00,6.6
157,2023-01-02 20:15:00,7.2
158,2023-01-02 20:30:00,6.9
159,2023-01-02 20:45:00,7.5
160,2023-01-02 21:00:00,7.6
161,2023-01-02 21:15:00,7.4
162,2023-01-02 21:30:00,7.4
163,2023-01-02 21:45:00,7.2
164,2023-01-02 22:00:00,17.1
165,2023-01-02 22:15:00,17.6
166,2023-01-02 22:30:00,10.1
167,2023-01-02 22:45:00,9.9
168,2023-01-02 23:00:00,8.9
169,2023-01-02 23:15:00,17.4
170,2023-01-02 23:30:00,10.2
171,2023-01-02 23:45:00,10.3
172,2023-01-03 00:00:00,10.3
173,2023-01-03 00:15:00,9.2
174,2023-01-03 00:30:00,9.6
175,2023-01-03 00:45:00,8.9
176,2023-01-03 01:00:00,9.8
177,2023-01-03 01:15:00,9.6
178,2023-01-03 01:30:00,9.3
179,2023-01-03 01:45:00,9.4
180,2023-01-03 02:00:00,9.3
181,2023-01-03 02:15:00,9.7
182,2023-01-03 02:30:00,9.6
183,2023-01-03 02:45:00,9.5
184,2023-01-03 03:00:00,9.4
185,2023-01-03 03:15:00,9.4
186,2023-01-03 03:30:00,8.8
187,2023-01-03 03:45:00,9.2
188,2023-01-03 04:00:00,9.6
189,2023-01-03 04:15:00,10.1
190,2023-01-03 04:30:00,9.5
191,2023-01-03 04:45:00,8.9
192,2023-01-03 05:00:00,9.5
193,2023-01-03 05:15:00,9.7
194,2023-01-03 05:30:00,9.5
195,2023-01-03 05:45:00,9.9
196,2023-01-03 06:00:00,9.2
197,2023-01-03 06:15:00,8.9
198,2023-01-03 06:30:00,9.1
199,2023-01-03 06:45:00,9.5
200,2023-01-03 07:00:00,9.5
201,2023-01-03 07:15:00,9.8
202,2023-01-03 07:30:00,9.0
203,2023-01-03 07:45:00,9.1
204,2023-01-03 08:00:00,11.4
205,2023-01-03 08:15:00,9.0
206,2023-01-03 08:30:00,9.6
207,2023-01-03 08:45:00,10.0
208,2023-01-03 09:00:00,9.6
209,2023-01-03 09:15:00,8.9
210,2023-01-03 09:30:00,9.3
211,2023-01-03 09:45:00,9.0
212,2023-01-03 10:00:00,11.4
213,2023-01-03 10:15:00,9.7
214,2023-01-03 10:30:00,9.1
215,2023-01-03 10:45:00,9.0
216,2023-01-03 11:00:00,9.0
217,2023-01-03 11:15:00,9.0
218,2023-01-03 11:30:00,10.0
219,2023-01-03 11:45:00,9.4
220,2023-01-03 12:00:00,9.5
221,2023-01-03 12:15:00,8.8
222,2023-01-03 12:30:00,9.3
223,2023-01-03 12:45:00,9.6
224,2023-01-03 13:00:00,10.1
225,2023-01-03 13:15:00,10.9
226,2023-01-03 13:30:00,10.7
227,2023-01-03 13:45:00,9.6
228,2023-01-03 14:00:00,8.1
229,2023-01-03 14:15:00,8.6
230,2023-01-03 14:30:00,8.9
231,2023-01-03 14:45:00,8.8
232,2023-01-03 15:00:00,7.9
233,2023-01-03 15:15:00,7.4
234,2023-01-03 15:30:00,7.5
235,2023-01-03 15:45:00,7.7
236,2023-01-03 16:00:00,7.8
237,2023-01-03 16:15:00,8.3
238,2023-01-03 16:30:00,15.9
239,2023-01-03 16:45:00,8.2
240,2023-01-03 17:00:00,8.1
241,2023-01-03 17:15:00,8.2
242,2023-01-03 17:30:00,8.2
243,2023-01-03 17:45:00,6.6
244,2023-01-03 18:00:00,7.0
245,2023-01-03 18:15:00,7.1
246,2023-01-03 18:30:00,8.8
247,2023-01-03 18:45:00,10.2
248,2023-01-03 19:00:00,7.4
249,2023-01-03 19:15:00,6.9
250,2023-01-03 19:30:00,7.9
251,2023-01-03 19:45:00,7.8
252,2023-01-03 20:00:00,6.9
253,2023-01-03 20:15:00,6.7
254,2023-01-03 20:30:00,7.4
255,2023-01-03 20:45:00,7.2
256,2023-01-03 21:00:00,8.0
257,2023-01-03 21:15:00,16.5
258,2023-01-03 21:30:00,7.7
259,2023-01-03 21:45:00,9.8
260,2023-01-03 22:00:00,9.1
261,2023-01-03 22:15:00,9.2
262,2023-01-03 22:30:00,8.9
263,2023-01-03 22:45:00,9.6
264,2023-01-03 23:00:00,9.2
265,2023-01-03 23:15:00,8.8
266,2023-01-03 23:30:00,10.7
267,2023-01-03 23:45:00,17.9
268,2023-01-04 00:00:00,18.0
269,2023-01-04 00:15:00,18.7
270,2023-01-04 00:30:00,10.2
271,2023-01-04 00:45:00,9.4
272,2023-01-04 01:00:00,10.0
273,2023-01-04 01:15:00,9.6
274,2023-01-04 01:30:00,8.9
275,2023-01-04 01:45:00,11.4
276,2023-01-04 02:00:00,9.1
277,2023-01-04 02:15:00,9.5
278,2023-01-04 02:30:00,9.7
279,2023-01-04 02:45:00,9.1
280,2023-01-04 03:00:00,9.2
281,2023-01-04 03:15:00,9.5
282,2023-01-04 03:30:00,9.5
283,2023-01-04 03:45:00,9.3
284,2023-01-04 04:00:00,9.5
285,2023-01-04 04:15:00,10.0
286,2023-01-04 04:30:00,9.9
287,2023-01-04 04:45:00,8.7
288,2023-01-04 05:00:00,9.2
289,2023-01-04 05:15:00,8.7
290,2023-01-04 05:30:00,9.9
291,2023-01-04 05:45:00,9.6
292,2023-01-04 06:00:00,8.9
293,2023-01-04 06:15:00,8.9
