Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,52.1
1,2023-01-01 05:15:00,48.4
2,2023-01-01 05:30:00,39.6
3,2023-01-01 05:45:00,47.0
4,2023-01-01 06:00:00,52.9
5,2023-01-01 06:15:00,50.1
6,2023-01-01 06:30:00,45.5
7,2023-01-01 06:45:00,40.4
8,2023-01-01 07:00:00,47.2
9,2023-01-01 07:15:00,49.1
10,2023-01-01 07:30:00,43.6
11,2023-01-01 07:45:00,54.2
12,2023-01-01 08:00:00,44.2
13,2023-01-01 08:15:00,42.7
14,2023-01-01 08:30:00,45.5
15,2023-01-01 08:45:00,45.1
16,2023-01-01 09:00:00,48.4
17,2023-01-01 09:15:00,59.4
18,2023-01-01 09:30:00,62.8
19,2023-01-01 09:45:00,60.3
20,2023-01-01 10:00:00,59.4
21,2023-01-01 10:15:00,57.7
22,2023-01-01 10:30:00,62.9
23,2023-01-01 10:45:00,61.0
24,2023-01-01 11:00:00,65.2
25,2023-01-01 11:15:00,54.3
26,2023-01-01 11:30:00,56.8
27,2023-01-01 11:45:00,60.7
28,2023-01-01 12:00:00,63.4
29,2023-01-01 12:15:00,61.0
30,2023-01-01 12:30:00,63.8
31,2023-01-01 12:45:00,59.5
32,2023-01-01 13:00:00,63.2
33,2023-01-01 13:15:00,61.1
34,2023-01-01 13:30:00,67.0
35,2023-01-01 13:45:00,67.2
36,2023-01-01 14:00:00,63.0
37,2023-01-01 14:15:00,62.4
38,2023-01-01 14:30:00,59.0
39,2023-01-01 14:45:00,65.5
40,2023-01-01 15:00:00,56.6
41,2023-01-01 15:15:00,58.3
42,2023-01-01 15:30:00,61.3
43,2023-01-01 15:45:00,56.5
44,2023-01-01 16:00:00,64.3
45,2023-01-01 16:15:00,56.3
46,2023-01-01 16:30:00,61.6
47,2023-01-01 16:45:00,62.7
48,2023-01-01 17:00:00,56.5
49,2023-01-01 17:15:00,54.8
50,2023-01-01 17:30:00,56.5
51,2023-01-01 17:45:00,54.1
52,2023-01-01 18:00:00,67.8
53,2023-01-01 18:15:00,58.8
54,2023-01-01 18:30:00,59.9
55,2023-01-01 18:45:00,56.3
56,2023-01-01 19:00:00,61.4
57,2023-01-01 19:15:00,63.8
58,2023-01-01 19:30:00,59.6
59,2023-01-01 19:45:00,59.0
60,2023-01-01 20:00:00,61.9
61,2023-01-01 20:15:00,54.7
62,2023-01-01 20:30:00,62.4
63,2023-01-01 20:45:00,53.1
64,2023-01-01 21:00:00,65.4
65,2023-01-01 21:15:00,64.6
66,2023-01-01 21:30:00,60.2
67,2023-01-01 21:45:00,61.4
68,2023-01-01 22:00:00,58.4
69,2023-01-01 22:15:00,68.9
70,2023-01-01 22:30:00,61.5
71,2023-01-01 22:45:00,63.4
72,2023-01-01 23:00:00,56.7
73,2023-01-01 23:15:00,64.7
74,2023-01-01 23:30:00,63.6
