Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,4.4
1,2023-01-01 05:15:00,4.3
2,2023-01-01 05:30:00,4.4
3,2023-01-01 05:45:00,4.5
4,2023-01-01 06:00:00,4.4
5,2023-01-01 06:15:00,4.2
6,2023-01-01 06:30:00,4.2
7,2023-01-01 06:45:00,4.5
8,2023-01-01 07:00:00,4.4
9,2023-01-01 07:15:00,4.1
10,2023-01-01 07:30:00,4.3
11,2023-01-01 07:45:00,4.2
12,2023-01-01 08:00:00,4.2
13,2023-01-01 08:15:00,4.4
14,2023-01-01 08:30:00,4.1
15,2023-01-01 08:45:00,4.5
16,2023-01-01 09:00:00,4.4
17,2023-01-01 09:15:00,4.4
18,2023-01-01 09:30:00,4.5
19,2023-01-01 09:45:00,4.4
20,2023-01-01 10:00:00,4.3
21,2023-01-01 10:15:00,4.3
22,2023-01-01 10:30:00,4.5
23,2023-01-01 10:45:00,4.3
24,2023-01-01 11:00:00,4.8
25,2023-01-01 11:15:00,4.9
26,2023-01-01 11:30:00,4.9
27,2023-01-01 11:45:00,4.9
28,2023-01-01 12:00:00,4.8
29,2023-01-01 12:15:00,5.1
30,2023-01-01 12:30:00,4.9
31,2023-01-01 12:45:00,4.8
32,2023-01-01 13:00:00,4.8
33,2023-01-01 13:15:00,4.8
34,2023-01-01 13:30:00,4.9
35,2023-01-01 13:45:00,4.7
36,2023-01-01 14:00:00,4.8
37,2023-01-01 14:15:00,4.6
38,2023-01-01 14:30:00,4.8
39,2023-01-01 14:45:00,4.7
40,2023-01-01 15:00:00,4.9
41,2023-01-01 15:15:00,4.7
42,2023-01-01 15:30:00,4.7
43,2023-01-01 15:45:00,4.7
44,2023-01-01 16:00:00,4.8
45,2023-01-01 16:15:00,4.7
46,2023-01-01 16:30:00,5.4
47,2023-01-01 16:45:00,4.7
48,2023-01-01 17:00:00,4.9
49,2023-01-01 17:15:00,4.8
50,2023-01-01 17:30:00,4.9
51,2023-01-01 17:45:00,5.0
52,2023-01-01 18:00:00,4.9
53,2023-01-01 18:15:00,4.9
54,2023-01-01 18:30:00,4.6
55,2023-01-01 18:45:00,4.8
56,2023-01-01 19:00:00,4.6
57,2023-01-01 19:15:00,5.0
58,2023-01-01 19:30:00,4.7
59,2023-01-01 19:45:00,4.7
60,2023-01-01 20:00:00,4.7
61,2023-01-01 20:15:00,4.6
62,2023-01-01 20:30:00,5.0
63,2023-01-01 20:45:00,4.8
64,2023-01-01 21:00:00,4.8
65,2023-01-01 21:15:00,4.7
66,2023-01-01 21:30:00,4.9
67,2023-01-01 21:45:00,5.2
68,2023-01-01 22:00:00,4.9
69,2023-01-01 22:15:00,6.6
70,2023-01-01 22:30:00,5.9
71,2023-01-01 22:45:00,6.2
72,2023-01-01 23:00:00,5.2
73,2023-01-01 23:15:00,5.4
74,2023-01-01 23:30:00,5.1
75,2023-01-01 23:45:00,5.9
76,2023-01-02 00:00:00,5.9
77,2023-01-02 00:15:00,6.1
78,2023-01-02 00:30:00,5.7
79,2023-01-02 00:45:00,5.2
80,2023-01-02 01:00:00,5.6
81,2023-01-02 01:15:00,5.3
82,2023-01-02 01:30:00,5.1
83,2023-01-02 01:45:00,5.2
84,2023-01-02 02:00:00,5.3
85,2023-01-02 02:15:00,5.2
86,2023-01-02 02:30:00,4.9
87,2023-01-02 02:45:00,5.1
88,2023-01-02 03:00:00,5.0
89,2023-01-02 03:15:00,5.1
90,2023-01-02 03:30:00,5.2
91,2023-01-02 03:45:00,4.9
92,2023-01-02 04:00:00,4.3
93,2023-01-02 04:15:00,4.2
94,2023-01-02 04:30:00,4.3
95,2023-01-02 04:45:00,4.5
96,2023-01-02 05:00:00,4.1
97,2023-01-02 05:15:00,4.3
98,2023-01-02 05:30:00,4.2
99,2023-01-02 05:45:00,4.4
100,2023-01-02 06:00:00,4.2
101,2023-01-02 06:15:00,4.3
102,2023-01-02 06:30:00,4.1
103,2023-01-02 06:45:00,4.2
104,2023-01-02 07:00:00,4.4
105,2023-01-02 07:15:00,4.3
106,2023-01-02 07:30:00,4.5
107,2023-01-02 07:45:00,4.2
108,2023-01-02 08:00:00,4.2
109,2023-01-02 08:15:00,4.1
110,2023-01-02 08:30:00,4.2
111,2023-01-02 08:45:00,4.3
112,2023-01-02 09:00:00,4.2
113,2023-01-02 09:15:00,4.2
114,2023-01-02 09:30:00,4.1
115,2023-01-02 09:45:00,5.0
116,2023-01-02 10:00:00,4.2
117,2023-01-02 10:15:00,4.4
118,2023-01-02 10:30:00,4.2
119,2023-01-02 10:45:00,4.2
120,2023-01-02 11:00:00,4.9
121,2023-01-02 11:15:00,4.8
122,2023-01-02 11:30:00,4.8
123,2023-01-02 11:45:00,4.9
124,2023-01-02 12:00:00,4.8
125,2023-01-02 12:15:00,4.8
126,2023-01-02 12:30:00,4.9
127,2023-01-02 12:45:00,4.9
128,2023-01-02 13:00:00,5.0
129,2023-01-02 13:15:00,4.6
130,2023-01-02 13:30:00,4.9
131,2023-01-02 13:45:00,4.6
132,2023-01-02 14:00:00,4.9
133,2023-01-02 14:15:00,4.7
134,2023-01-02 14:30:00,4.5
135,2023-01-02 14:45:00,4.7
136,2023-01-02 15:00:00,7.5
137,2023-01-02 15:15:00,5.3
138,2023-01-02 15:30:00,4.8
139,2023-01-02 15:45:00,4.8
140,2023-01-02 16:00:00,4.5
141,2023-01-02 16:15:00,4.7
142,2023-01-02 16:30:00,4.6
143,2023-01-02 16:45:00,4.8
144,2023-01-02 17:00:00,4.9
145,2023-01-02 17:15:00,4.5
146,2023-01-02 17:30:00,4.5
147,2023-01-02 17:45:00,4.6
148,2023-01-02 18:00:00,4.5
149,2023-01-02 18:15:00,4.7
150,2023-01-02 18:30:00,4.6
151,2023-01-02 18:45:00,4.7
152,2023-01-02 19:00:00,4.6
153,2023-01-02 19:15:00,4.5
154,2023-01-02 19:30:00,4.8
155,2023-01-02 19:45:00,4.6
156,2023-01-02 20:00:00,4.9
157,2023-01-02 20:15:00,4.8
158,2023-01-02 20:30:00,4.7
159,2023-01-02 20:45:00,4.7
160,2023-01-02 21:00:00,4.7
161,2023-01-02 21:15:00,4.8
162,2023-01-02 21:30:00,4.6
163,2023-01-02 21:45:00,5.0
164,2023-01-02 22:00:00,4.8
165,2023-01-02 22:15:00,5.1
166,2023-01-02 22:30:00,6.7
167,2023-01-02 22:45:00,5.3
168,2023-01-02 23:00:00,5.1
169,2023-01-02 23:15:00,5.2
170,2023-01-02 23:30:00,5.4
171,2023-01-02 23:45:00,5.2
172,2023-01-03 00:00:00,5.1
173,2023-01-03 00:15:00,5.0
174,2023-01-03 00:30:00,5.1
175,2023-01-03 00:45:00,5.2
176,2023-01-03 01:00:00,5.3
177,2023-01-03 01:15:00,6.0
178,2023-01-03 01:30:00,5.0
179,2023-01-03 01:45:00,5.0
180,2023-01-03 02:00:00,5.1
181,2023-01-03 02:15:00,5.5
182,2023-01-03 02:30:00,4.9
183,2023-01-03 02:45:00,4.7
184,2023-01-03 03:00:00,4.7
185,2023-01-03 03:15:00,4.6
186,2023-01-03 03:30:00,4.6
187,2023-01-03 03:45:00,4.7
188,2023-01-03 04:00:00,4.0
189,2023-01-03 04:15:00,4.2
190,2023-01-03 04:30:00,4.0
191,2023-01-03 04:45:00,4.1
192,2023-01-03 05:00:00,4.2
193,2023-01-03 05:15:00,4.1
194,2023-01-03 05:30:00,4.0
195,2023-01-03 05:45:00,4.0
196,2023-01-03 06:00:00,4.9
