Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,249.9
1,2023-01-01 05:15:00,245.6
2,2023-01-01 05:30:00,244.6
3,2023-01-01 05:45:00,245.2
4,2023-01-01 06:00:00,241.4
5,2023-01-01 06:15:00,247.8
6,2023-01-01 06:30:00,238.4
7,2023-01-01 06:45:00,250.7
8,2023-01-01 07:00:00,245.0
9,2023-01-01 07:15:00,245.6
10,2023-01-01 07:30:00,243.4
11,2023-01-01 07:45:00,244.9
12,2023-01-01 08:00:00,243.7
13,2023-01-01 08:15:00,253.1
14,2023-01-01 08:30:00,163.1
15,2023-01-01 08:45:00,169.0
16,2023-01-01 09:00:00,172.3
17,2023-01-01 09:15:00,168.4
18,2023-01-01 09:30:00,163.4
19,2023-01-01 09:45:00,175.2
20,2023-01-01 10:00:00,251.9
21,2023-01-01 10:15:00,252.1
22,2023-01-01 10:30:00,248.8
23,2023-01-01 10:45:00,249.1
24,2023-01-01 11:00:00,251.9
25,2023-01-01 11:15:00,258.5
26,2023-01-01 11:30:00,247.9
27,2023-01-01 11:45:00,255.4
28,2023-01-01 12:00:00,266.9
29,2023-01-01 12:15:00,267.4
30,2023-01-01 12:30:00,272.0
31,2023-01-01 12:45:00,278.9
32,2023-01-01 13:00:00,261.1
33,2023-01-01 13:15:00,276.6
34,2023-01-01 13:30:00,255.7
35,2023-01-01 13:45:00,265.4
36,2023-01-01 14:00:00,225.8
37,2023-01-01 14:15:00,228.3
38,2023-01-01 14:30:00,231.3
39,2023-01-01 14:45:00,225.1
40,2023-01-01 15:00:00,222.3
41,2023-01-01 15:15:00,246.5
42,2023-01-01 15:30:00,295.1
43,2023-01-01 15:45:00,298.4
44,2023-01-01 16:00:00,299.9
45,2023-01-01 16:15:00,304.6
46,2023-01-01 16:30:00,307.1
47,2023-01-01 16:45:00,301.0
48,2023-01-01 17:00:00,324.9
49,2023-01-01 17:15:00,310.3
50,2023-01-01 17:30:00,307.7
51,2023-01-01 17:45:00,300.1
52,2023-01-01 18:00:00,300.0
53,2023-01-01 18:15:00,306.6
54,2023-01-01 18:30:00,298.7
55,2023-01-01 18:45:00,302.3
56,2023-01-01 19:00:00,299.7
57,2023-01-01 19:15:00,304.1
58,2023-01-01 19:30:00,301.0
59,2023-01-01 19:45:00,311.9
60,2023-01-01 20:00:00,303.8
61,2023-01-01 20:15:00,298.3
62,2023-01-01 20:30:00,279.8
63,2023-01-01 20:45:00,269.2
64,2023-01-01 21:00:00,269.8
65,2023-01-01 21:15:00,289.7
66,2023-01-01 21:30:00,198.9
67,2023-01-01 21:45:00,202.2
68,2023-01-01 22:00:00,196.7
69,2023-01-01 22:15:00,205.1
70,2023-01-01 22:30:00,197.6
71,2023-01-01 22:45:00,189.0
72,2023-01-01 23:00:00,260.3
73,2023-01-01 23:15:00,264.7
