Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,4.5
1,2023-01-01 05:15:00,4.5
2,2023-01-01 05:30:00,4.3
3,2023-01-01 05:45:00,4.2
4,2023-01-01 06:00:00,4.4
5,2023-01-01 06:15:00,4.5
6,2023-01-01 06:30:00,4.4
7,2023-01-01 06:45:00,4.6
8,2023-01-01 07:00:00,4.4
9,2023-01-01 07:15:00,4.7
10,2023-01-01 07:30:00,4.7
11,2023-01-01 07:45:00,4.5
12,2023-01-01 08:00:00,4.6
13,2023-01-01 08:15:00,4.6
14,2023-01-01 08:30:00,4.6
15,2023-01-01 08:45:00,4.4
16,2023-01-01 09:00:00,4.9
17,2023-01-01 09:15:00,4.4
18,2023-01-01 09:30:00,4.6
19,2023-01-01 09:45:00,4.5
20,2023-01-01 10:00:00,4.4
21,2023-01-01 10:15:00,4.4
22,2023-01-01 10:30:00,4.4
23,2023-01-01 10:45:00,4.8
24,2023-01-01 11:00:00,4.6
25,2023-01-01 11:15:00,4.5
26,2023-01-01 11:30:00,4.4
27,2023-01-01 11:45:00,5.2
28,2023-01-01 12:00:00,4.8
29,2023-01-01 12:15:00,4.9
30,2023-01-01 12:30:00,4.7
31,2023-01-01 12:45:00,4.8
32,2023-01-01 13:00:00,4.9
33,2023-01-01 13:15:00,4.8
34,2023-01-01 13:30:00,4.5
35,2023-01-01 13:45:00,4.4
36,2023-01-01 14:00:00,4.5
37,2023-01-01 14:15:00,4.8
38,2023-01-01 14:30:00,5.0
39,2023-01-01 14:45:00,4.6
40,2023-01-01 15:00:00,4.4
41,2023-01-01 15:15:00,4.5
42,2023-01-01 15:30:00,4.6
43,2023-01-01 15:45:00,4.4
44,2023-01-01 16:00:00,4.6
45,2023-01-01 16:15:00,5.0
46,2023-01-01 16:30:00,4.7
47,2023-01-01 16:45:00,4.7
48,2023-01-01 17:00:00,4.8
49,2023-01-01 17:15:00,4.5
50,2023-01-01 17:30:00,4.6
51,2023-01-01 17:45:00,4.5
52,2023-01-01 18:00:00,4.8
53,2023-01-01 18:15:00,4.7
54,2023-01-01 18:30:00,4.7
55,2023-01-01 18:45:00,4.6
56,2023-01-01 19:00:00,4.5
57,2023-01-01 19:15:00,4.5
58,2023-01-01 19:30:00,4.4
59,2023-01-01 19:45:00,4.7
60,2023-01-01 20:00:00,5.0
61,2023-01-01 20:15:00,4.7
62,2023-01-01 20:30:00,4.9
63,2023-01-01 20:45:00,4.9
64,2023-01-01 21:00:00,4.8
65,2023-01-01 21:15:00,4.7
66,2023-01-01 21:30:00,4.4
67,2023-01-01 21:45:00,4.6
68,2023-01-01 22:00:00,4.6
69,2023-01-01 22:15:00,4.5
70,2023-01-01 22:30:00,4.6
71,2023-01-01 22:45:00,4.9
72,2023-01-01 23:00:00,4.8
73,2023-01-01 23:15:00,4.7
74,2023-01-01 23:30:00,4.9
