Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,300.9
1,2023-01-01 05:15:00,296.6
2,2023-01-01 05:30:00,301.6
3,2023-01-01 05:45:00,292.9
4,2023-01-01 06:00:00,292.9
5,2023-01-01 06:15:00,304.5
6,2023-01-01 06:30:00,305.4
7,2023-01-01 06:45:00,296.6
8,2023-01-01 07:00:00,309.2
9,2023-01-01 07:15:00,309.6
10,2023-01-01 07:30:00,311.2
11,2023-01-01 07:45:00,308.8
12,2023-01-01 08:00:00,307.7
13,2023-01-01 08:15:00,309.9
14,2023-01-01 08:30:00,304.1
15,2023-01-01 08:45:00,317.0
16,2023-01-01 09:00:00,307.0
17,2023-01-01 09:15:00,304.0
18,2023-01-01 09:30:00,306.3
19,2023-01-01 09:45:00,324.4
20,2023-01-01 10:00:00,311.3
21,2023-01-01 10:15:00,290.9
22,2023-01-01 10:30:00,305.5
23,2023-01-01 10:45:00,307.6
24,2023-01-01 11:00:00,305.7
25,2023-01-01 11:15:00,294.9
26,2023-01-01 11:30:00,309.4
27,2023-01-01 11:45:00,311.1
28,2023-01-01 12:00:00,311.4
29,2023-01-01 12:15:00,296.4
30,2023-01-01 12:30:00,302.5
31,2023-01-01 12:45:00,300.5
32,2023-01-01 13:00:00,301.2
33,2023-01-01 13:15:00,310.0
34,2023-01-01 13:30:00,304.2
35,2023-01-01 13:45:00,304.3
36,2023-01-01 14:00:00,307.1
37,2023-01-01 14:15:00,309.3
38,2023-01-01 14:30:00,310.8
39,2023-01-01 14:45:00,306.9
40,2023-01-01 15:00:00,295.2
41,2023-01-01 15:15:00,303.5
42,2023-01-01 15:30:00,309.9
43,2023-01-01 15:45:00,306.4
44,2023-01-01 16:00:00,308.8
45,2023-01-01 16:15:00,304.6
46,2023-01-01 16:30:00,297.4
47,2023-01-01 16:45:00,312.5
48,2023-01-01 17:00:00,303.8
49,2023-01-01 17:15:00,300.2
50,2023-01-01 17:30:00,302.3
51,2023-01-01 17:45:00,307.2
52,2023-01-01 18:00:00,305.1
53,2023-01-01 18:15:00,301.9
54,2023-01-01 18:30:00,318.6
55,2023-01-01 18:45:00,304.7
56,2023-01-01 19:00:00,311.9
57,2023-01-01 19:15:00,318.3
58,2023-01-01 19:30:00,308.8
59,2023-01-01 19:45:00,308.8
60,2023-01-01 20:00:00,307.8
61,2023-01-01 20:15:00,309.6
62,2023-01-01 20:30:00,309.2
63,2023-01-01 20:45:00,317.5
64,2023-01-01 21:00:00,309.4
65,2023-01-01 21:15:00,313.5
66,2023-01-01 21:30:00,307.5
67,2023-01-01 21:45:00,315.5
68,2023-01-01 22:00:00,302.5
69,2023-01-01 22:15:00,313.3
70,2023-01-01 22:30:00,315.2
71,2023-01-01 22:45:00,309.2
72,2023-01-01 23:00:00,299.0
73,2023-01-01 23:15:00,300.7
74,2023-01-01 23:30:00,295.9
75,2023-01-01 23:45:00,308.7
76,2023-01-02 00:00:00,294.5
77,2023-01-02 00:15:00,293.4
78,2023-01-02 00:30:00,294.1
79,2023-01-02 00:45:00,295.4
80,2023-01-02 01:00:00,298.3
81,2023-01-02 01:15:00,296.0
82,2023-01-02 01:30:00,294.9
83,2023-01-02 01:45:00,309.7
84,2023-01-02 02:00:00,303.8
85,2023-01-02 02:15:00,298.5
86,2023-01-02 02:30:00,316.9
87,2023-01-02 02:45:00,306.8
88,2023-01-02 03:00:00,299.5
89,2023-01-02 03:15:00,293.1
90,2023-01-02 03:30:00,299.8
91,2023-01-02 03:45:00,291.1
92,2023-01-02 04:00:00,296.0
93,2023-01-02 04:15:00,290.5
94,2023-01-02 04:30:00,292.9
95,2023-01-02 04:45:00,292.5
96,2023-01-02 05:00:00,299.5
97,2023-01-02 05:15:00,287.9
98,2023-01-02 05:30:00,293.7
99,2023-01-02 05:45:00,295.6
100,2023-01-02 06:00:00,285.2
101,2023-01-02 06:15:00,291.8
102,2023-01-02 06:30:00,291.6
103,2023-01-02 06:45:00,297.1
104,2023-01-02 07:00:00,293.6
105,2023-01-02 07:15:00,300.1
106,2023-01-02 07:30:00,289.5
107,2023-01-02 07:45:00,293.9
108,2023-01-02 08:00:00,293.5
109,2023-01-02 08:15:00,299.6
110,2023-01-02 08:30:00,291.9
111,2023-01-02 08:45:00,289.1
112,2023-01-02 09:00:00,311.0
113,2023-01-02 09:15:00,301.2
114,2023-01-02 09:30:00,304.5
115,2023-01-02 09:45:00,294.6
116,2023-01-02 10:00:00,298.8
117,2023-01-02 10:15:00,292.3
118,2023-01-02 10:30:00,301.3
119,2023-01-02 10:45:00,301.7
120,2023-01-02 11:00:00,294.9
121,2023-01-02 11:15:00,303.0
122,2023-01-02 11:30:00,300.8
123,2023-01-02 11:45:00,305.5
124,2023-01-02 12:00:00,298.3
125,2023-01-02 12:15:00,300.0
126,2023-01-02 12:30:00,303.0
127,2023-01-02 12:45:00,302.0
128,2023-01-02 13:00:00,307.5
129,2023-01-02 13:15:00,310.4
130,2023-01-02 13:30:00,323.9
131,2023-01-02 13:45:00,320.9
132,2023-01-02 14:00:00,311.8
133,2023-01-02 14:15:00,306.2
134,2023-01-02 14:30:00,310.1
135,2023-01-02 14:45:00,309.1
136,2023-01-02 15:00:00,313.8
137,2023-01-02 15:15:00,323.4
138,2023-01-02 15:30:00,312.2
139,2023-01-02 15:45:00,310.3
140,2023-01-02 16:00:00,319.0
141,2023-01-02 16:15:00,319.0
142,2023-01-02 16:30:00,325.3
143,2023-01-02 16:45:00,312.5
144,2023-01-02 17:00:00,320.0
145,2023-01-02 17:15:00,325.8
146,2023-01-02 17:30:00,316.5
147,2023-01-02 17:45:00,317.2
148,2023-01-02 18:00:00,326.3
149,2023-01-02 18:15:00,317.8
150,2023-01-02 18:30:00,327.8
151,2023-01-02 18:45:00,314.9
152,2023-01-02 19:00:00,317.7
153,2023-01-02 19:15:00,320.4
154,2023-01-02 19:30:00,312.7
155,2023-01-02 19:45:00,312.5
156,2023-01-02 20:00:00,329.9
157,2023-01-02 20:15:00,320.0
158,2023-01-02 20:30:00,320.6
159,2023-01-02 20:45:00,310.0
160,2023-01-02 21:00:00,317.6
161,2023-01-02 21:15:00,321.2
162,2023-01-02 21:30:00,310.4
163,2023-01-02 21:45:00,314.7
164,2023-01-02 22:00:00,317.9
165,2023-01-02 22:15:00,316.0
166,2023-01-02 22:30:00,309.4
167,2023-01-02 22:45:00,306.2
168,2023-01-02 23:00:00,318.2
169,2023-01-02 23:15:00,305.9
170,2023-01-02 23:30:00,300.7
171,2023-01-02 23:45:00,308.5
172,2023-01-03 00:00:00,316.7
173,2023-01-03 00:15:00,301.5
174,2023-01-03 00:30:00,291.4
175,2023-01-03 00:45:00,289.3
176,2023-01-03 01:00:00,303.5
177,2023-01-03 01:15:00,292.9
178,2023-01-03 01:30:00,299.9
179,2023-01-03 01:45:00,301.1
180,2023-01-03 02:00:00,304.0
181,2023-01-03 02:15:00,299.4
182,2023-01-03 02:30:00,298.2
183,2023-01-03 02:45:00,301.2
184,2023-01-03 03:00:00,309.5
185,2023-01-03 03:15:00,295.6
186,2023-01-03 03:30:00,291.5
187,2023-01-03 03:45:00,306.7
188,2023-01-03 04:00:00,302.9
189,2023-01-03 04:15:00,305.0
190,2023-01-03 04:30:00,301.7
191,2023-01-03 04:45:00,296.9
192,2023-01-03 05:00:00,300.3
193,2023-01-03 05:15:00,297.6
194,2023-01-03 05:30:00,299.1
195,2023-01-03 05:45:00,295.7
196,2023-01-03 06:00:00,293.6
197,2023-01-03 06:15:00,301.9
198,2023-01-03 06:30:00,297.2
199,2023-01-03 06:45:00,303.2
200,2023-01-03 07:00:00,300.5
201,2023-01-03 07:15:00,297.2
202,2023-01-03 07:30:00,300.4
203,2023-01-03 07:45:00,291.6
204,2023-01-03 08:00:00,300.5
205,2023-01-03 08:15:00,293.8
206,2023-01-03 08:30:00,296.1
207,2023-01-03 08:45:00,294.8
208,2023-01-03 09:00:00,305.2
209,2023-01-03 09:15:00,299.2
210,2023-01-03 09:30:00,298.5
211,2023-01-03 09:45:00,305.6
212,2023-01-03 10:00:00,324.2
213,2023-01-03 10:15:00,306.2
214,2023-01-03 10:30:00,306.5
215,2023-01-03 10:45:00,315.8
216,2023-01-03 11:00:00,326.8
217,2023-01-03 11:15:00,332.0
218,2023-01-03 11:30:00,342.3
219,2023-01-03 11:45:00,335.9
220,2023-01-03 12:00:00,342.3
221,2023-01-03 12:15:00,325.9
222,2023-01-03 12:30:00,321.8
223,2023-01-03 12:45:00,331.5
224,2023-01-03 13:00:00,341.7
225,2023-01-03 13:15:00,319.7
226,2023-01-03 13:30:00,342.5
227,2023-01-03 13:45:00,341.5
228,2023-01-03 14:00:00,343.5
229,2023-01-03 14:15:00,362.2
230,2023-01-03 14:30:00,360.5
231,2023-01-03 14:45:00,367.5
232,2023-01-03 15:00:00,362.1
233,2023-01-03 15:15:00,369.2
234,2023-01-03 15:30:00,383.2
235,2023-01-03 15:45:00,374.0
236,2023-01-03 16:00:00,370.9
237,2023-01-03 16:15:00,386.8
238,2023-01-03 16:30:00,381.1
239,2023-01-03 16:45:00,375.7
240,2023-01-03 17:00:00,387.8
241,2023-01-03 17:15:00,383.5
242,2023-01-03 17:30:00,369.1
243,2023-01-03 17:45:00,374.0
244,2023-01-03 18:00:00,382.2
245,2023-01-03 18:15:00,395.1
246,2023-01-03 18:30:00,374.9
247,2023-01-03 18:45:00,373.0
248,2023-01-03 19:00:00,381.1
249,2023-01-03 19:15:00,379.3
250,2023-01-03 19:30:00,371.6
251,2023-01-03 19:45:00,374.8
252,2023-01-03 20:00:00,377.1
253,2023-01-03 20:15:00,371.1
254,2023-01-03 20:30:00,365.8
255,2023-01-03 20:45:00,362.4
256,2023-01-03 21:00:00,368.6
257,2023-01-03 21:15:00,390.4
258,2023-01-03 21:30:00,367.8
259,2023-01-03 21:45:00,355.4
260,2023-01-03 22:00:00,357.5
261,2023-01-03 22:15:00,353.0
262,2023-01-03 22:30:00,351.8
263,2023-01-03 22:45:00,343.8
264,2023-01-03 23:00:00,344.5
265,2023-01-03 23:15:00,336.9
266,2023-01-03 23:30:00,326.4
267,2023-01-03 23:45:00,355.7
