Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,2.3
1,2023-01-01 05:15:00,2.3
2,2023-01-01 05:30:00,2.3
3,2023-01-01 05:45:00,2.3
4,2023-01-01 06:00:00,2.3
5,2023-01-01 06:15:00,2.4
6,2023-01-01 06:30:00,2.4
7,2023-01-01 06:45:00,2.3
8,2023-01-01 07:00:00,2.3
9,2023-01-01 07:15:00,2.3
10,2023-01-01 07:30:00,2.8
11,2023-01-01 07:45:00,2.3
12,2023-01-01 08:00:00,2.4
13,2023-01-01 08:15:00,2.3
14,2023-01-01 08:30:00,2.3
15,2023-01-01 08:45:00,2.3
16,2023-01-01 09:00:00,2.3
17,2023-01-01 09:15:00,2.3
18,2023-01-01 09:30:00,3.0
19,2023-01-01 09:45:00,2.3
20,2023-01-01 10:00:00,2.3
21,2023-01-01 10:15:00,2.4
22,2023-01-01 10:30:00,2.3
23,2023-01-01 10:45:00,2.3
24,2023-01-01 11:00:00,2.2
25,2023-01-01 11:15:00,2.4
26,2023-01-01 11:30:00,2.2
27,2023-01-01 11:45:00,3.1
28,2023-01-01 12:00:00,2.4
29,2023-01-01 12:15:00,2.4
30,2023-01-01 12:30:00,2.3
31,2023-01-01 12:45:00,2.3
32,2023-01-01 13:00:00,2.4
33,2023-01-01 13:15:00,2.3
34,2023-01-01 13:30:00,2.2
35,2023-01-01 13:45:00,2.3
36,2023-01-01 14:00:00,2.3
37,2023-01-01 14:15:00,2.3
38,2023-01-01 14:30:00,2.3
39,2023-01-01 14:45:00,2.4
40,2023-01-01 15:00:00,2.2
41,2023-01-01 15:15:00,2.2
42,2023-01-01 15:30:00,2.3
43,2023-01-01 15:45:00,2.2
44,2023-01-01 16:00:00,2.3
45,2023-01-01 16:15:00,2.2
46,2023-01-01 16:30:00,2.3
47,2023-01-01 16:45:00,2.2
48,2023-01-01 17:00:00,2.2
49,2023-01-01 17:15:00,2.4
50,2023-01-01 17:30:00,2.3
51,2023-01-01 17:45:00,2.3
52,2023-01-01 18:00:00,2.2
53,2023-01-01 18:15:00,2.3
54,2023-01-01 18:30:00,2.3
55,2023-01-01 18:45:00,2.3
56,2023-01-01 19:00:00,2.4
57,2023-01-01 19:15:00,2.3
58,2023-01-01 19:30:00,2.2
59,2023-01-01 19:45:00,2.3
60,2023-01-01 20:00:00,2.2
61,2023-01-01 20:15:00,2.3
62,2023-01-01 20:30:00,2.2
63,2023-01-01 20:45:00,2.4
64,2023-01-01 21:00:00,2.3
65,2023-01-01 21:15:00,2.3
66,2023-01-01 21:30:00,2.3
67,2023-01-01 21:45:00,2.3
68,2023-01-01 22:00:00,4.1
69,2023-01-01 22:15:00,2.2
70,2023-01-01 22:30:00,2.3
71,2023-01-01 22:45:00,2.2
72,2023-01-01 23:00:00,2.2
73,2023-01-01 23:15:00,2.4
74,2023-01-01 23:30:00,2.3
75,2023-01-01 23:45:00,2.3
76,2023-01-02 00:00:00,2.3
77,2023-01-02 00:15:00,2.2
78,2023-01-02 00:30:00,2.3
79,2023-01-02 00:45:00,2.2
80,2023-01-02 01:00:00,2.4
81,2023-01-02 01:15:00,2.3
82,2023-01-02 01:30:00,2.3
83,2023-01-02 01:45:00,2.4
84,2023-01-02 02:00:00,2.2
85,2023-01-02 02:15:00,2.3
86,2023-01-02 02:30:00,2.3
87,2023-01-02 02:45:00,2.2
88,2023-01-02 03:00:00,2.2
89,2023-01-02 03:15:00,2.3
90,2023-01-02 03:30:00,2.4
91,2023-01-02 03:45:00,2.3
92,2023-01-02 04:00:00,2.3
93,2023-01-02 04:15:00,2.3
94,2023-01-02 04:30:00,2.3
95,2023-01-02 04:45:00,2.3
96,2023-01-02 05:00:00,2.2
97,2023-01-02 05:15:00,2.4
98,2023-01-02 05:30:00,2.3
99,2023-01-02 05:45:00,2.3
100,2023-01-02 06:00:00,2.4
101,2023-01-02 06:15:00,2.3
102,2023-01-02 06:30:00,2.2
103,2023-01-02 06:45:00,2.3
104,2023-01-02 07:00:00,2.2
105,2023-01-02 07:15:00,2.2
106,2023-01-02 07:30:00,3.0
107,2023-01-02 07:45:00,2.4
108,2023-01-02 08:00:00,2.3
109,2023-01-02 08:15:00,2.3
110,2023-01-02 08:30:00,2.3
111,2023-01-02 08:45:00,2.2
112,2023-01-02 09:00:00,2.2
113,2023-01-02 09:15:00,2.3
114,2023-01-02 09:30:00,2.3
115,2023-01-02 09:45:00,2.3
116,2023-01-02 10:00:00,2.3
117,2023-01-02 10:15:00,2.3
118,2023-01-02 10:30:00,2.3
119,2023-01-02 10:45:00,2.3
120,2023-01-02 11:00:00,2.2
121,2023-01-02 11:15:00,2.3
122,2023-01-02 11:30:00,2.8
123,2023-01-02 11:45:00,2.3
124,2023-01-02 12:00:00,2.4
125,2023-01-02 12:15:00,2.3
126,2023-01-02 12:30:00,2.3
127,2023-01-02 12:45:00,2.3
128,2023-01-02 13:00:00,2.3
129,2023-01-02 13:15:00,2.3
130,2023-01-02 13:30:00,2.3
131,2023-01-02 13:45:00,2.3
132,2023-01-02 14:00:00,3.7
133,2023-01-02 14:15:00,2.2
134,2023-01-02 14:30:00,2.3
135,2023-01-02 14:45:00,2.2
136,2023-01-02 15:00:00,2.2
137,2023-01-02 15:15:00,2.2
138,2023-01-02 15:30:00,2.2
139,2023-01-02 15:45:00,2.2
140,2023-01-02 16:00:00,2.2
141,2023-01-02 16:15:00,2.3
142,2023-01-02 16:30:00,2.3
143,2023-01-02 16:45:00,2.2
144,2023-01-02 17:00:00,2.3
145,2023-01-02 17:15:00,2.2
146,2023-01-02 17:30:00,3.8
147,2023-01-02 17:45:00,2.2
148,2023-01-02 18:00:00,2.4
149,2023-01-02 18:15:00,2.2
150,2023-01-02 18:30:00,2.2
151,2023-01-02 18:45:00,2.2
152,2023-01-02 19:00:00,2.1
153,2023-01-02 19:15:00,2.2
154,2023-01-02 19:30:00,2.2
155,2023-01-02 19:45:00,2.2
156,2023-01-02 20:00:00,2.1
157,2023-01-02 20:15:00,2.2
158,2023-01-02 20:30:00,2.3
159,2023-01-02 20:45:00,2.2
160,2023-01-02 21:00:00,2.2
161,2023-01-02 21:15:00,2.2
162,2023-01-02 21:30:00,2.1
163,2023-01-02 21:45:00,2.2
164,2023-01-02 22:00:00,2.2
165,2023-01-02 22:15:00,2.3
166,2023-01-02 22:30:00,2.3
167,2023-01-02 22:45:00,2.2
168,2023-01-02 23:00:00,2.3
169,2023-01-02 23:15:00,2.2
170,2023-01-02 23:30:00,2.2
171,2023-01-02 23:45:00,2.2
172,2023-01-03 00:00:00,2.3
173,2023-01-03 00:15:00,2.2
174,2023-01-03 00:30:00,2.3
175,2023-01-03 00:45:00,2.3
176,2023-01-03 01:00:00,2.2
177,2023-01-03 01:15:00,2.2
178,2023-01-03 01:30:00,2.2
179,2023-01-03 01:45:00,2.3
180,2023-01-03 02:00:00,2.2
181,2023-01-03 02:15:00,2.2
182,2023-01-03 02:30:00,2.4
183,2023-01-03 02:45:00,2.2
184,2023-01-03 03:00:00,2.2
185,2023-01-03 03:15:00,2.3
186,2023-01-03 03:30:00,2.2
187,2023-01-03 03:45:00,2.2
188,2023-01-03 04:00:00,2.2
189,2023-01-03 04:15:00,2.2
190,2023-01-03 04:30:00,2.2
191,2023-01-03 04:45:00,2.2
192,2023-01-03 05:00:00,2.3
193,2023-01-03 05:15:00,2.2
194,2023-01-03 05:30:00,2.2
195,2023-01-03 05:45:00,2.2
196,2023-01-03 06:00:00,2.2
197,2023-01-03 06:15:00,2.1
198,2023-01-03 06:30:00,2.1
199,2023-01-03 06:45:00,2.3
200,2023-01-03 07:00:00,2.3
201,2023-01-03 07:15:00,2.2
202,2023-01-03 07:30:00,2.3
203,2023-01-03 07:45:00,2.2
204,2023-01-03 08:00:00,2.2
205,2023-01-03 08:15:00,2.3
206,2023-01-03 08:30:00,2.2
207,2023-01-03 08:45:00,2.2
208,2023-01-03 09:00:00,2.2
209,2023-01-03 09:15:00,2.3
210,2023-01-03 09:30:00,2.2
211,2023-01-03 09:45:00,2.2
212,2023-01-03 10:00:00,2.2
213,2023-01-03 10:15:00,2.2
214,2023-01-03 10:30:00,2.2
215,2023-01-03 10:45:00,3.6
216,2023-01-03 11:00:00,2.3
217,2023-01-03 11:15:00,2.4
218,2023-01-03 11:30:00,2.3
219,2023-01-03 11:45:00,2.3
220,2023-01-03 12:00:00,2.2
221,2023-01-03 12:15:00,2.2
222,2023-01-03 12:30:00,2.2
223,2023-01-03 12:45:00,2.2
224,2023-01-03 13:00:00,2.2
225,2023-01-03 13:15:00,2.2
226,2023-01-03 13:30:00,2.3
227,2023-01-03 13:45:00,2.3
228,2023-01-03 14:00:00,2.2
229,2023-01-03 14:15:00,2.2
230,2023-01-03 14:30:00,4.1
231,2023-01-03 14:45:00,2.9
232,2023-01-03 15:00:00,2.1
233,2023-01-03 15:15:00,2.3
234,2023-01-03 15:30:00,2.3
235,2023-01-03 15:45:00,2.2
236,2023-01-03 16:00:00,2.3
237,2023-01-03 16:15:00,2.2
238,2023-01-03 16:30:00,2.2
239,2023-01-03 16:45:00,2.1
240,2023-01-03 17:00:00,2.3
241,2023-01-03 17:15:00,2.2
242,2023-01-03 17:30:00,2.2
243,2023-01-03 17:45:00,2.3
244,2023-01-03 18:00:00,2.2
245,2023-01-03 18:15:00,2.2
246,2023-01-03 18:30:00,2.2
247,2023-01-03 18:45:00,2.3
248,2023-01-03 19:00:00,2.1
249,2023-01-03 19:15:00,2.1
250,2023-01-03 19:30:00,3.0
251,2023-01-03 19:45:00,2.6
252,2023-01-03 20:00:00,2.2
253,2023-01-03 20:15:00,2.3
254,2023-01-03 20:30:00,2.2
255,2023-01-03 20:45:00,2.2
256,2023-01-03 21:00:00,3.7
257,2023-01-03 21:15:00,2.3
258,2023-01-03 21:30:00,2.2
259,2023-01-03 21:45:00,2.2
260,2023-01-03 22:00:00,2.3
261,2023-01-03 22:15:00,2.2
262,2023-01-03 22:30:00,2.2
263,2023-01-03 22:45:00,2.2
264,2023-01-03 23:00:00,2.4
265,2023-01-03 23:15:00,2.2
266,2023-01-03 23:30:00,2.2
267,2023-01-03 23:45:00,2.2
268,2023-01-04 00:00:00,2.2
269,2023-01-04 00:15:00,2.2
270,2023-01-04 00:30:00,2.3
271,2023-01-04 00:45:00,2.2
272,2023-01-04 01:00:00,2.2
273,2023-01-04 01:15:00,2.2
274,2023-01-04 01:30:00,2.2
275,2023-01-04 01:45:00,2.2
276,2023-01-04 02:00:00,2.2
277,2023-01-04 02:15:00,2.2
278,2023-01-04 02:30:00,2.2
279,2023-01-04 02:45:00,2.2
280,2023-01-04 03:00:00,2.2
281,2023-01-04 03:15:00,2.3
282,2023-01-04 03:30:00,2.2
283,2023-01-04 03:45:00,2.2
284,2023-01-04 04:00:00,2.3
285,2023-01-04 04:15:00,2.2
286,2023-01-04 04:30:00,2.2
287,2023-01-04 04:45:00,2.3
288,2023-01-04 05:00:00,2.2
289,2023-01-04 05:15:00,2.2
290,2023-01-04 05:30:00,3.0
291,2023-01-04 05:45:00,3.0
292,2023-01-04 06:00:00,2.2
293,2023-01-04 06:15:00,2.1
294,2023-01-04 06:30:00,2.2
295,2023-01-04 06:45:00,2.2
296,2023-01-04 07:00:00,2.2
297,2023-01-04 07:15:00,2.3
298,2023-01-04 07:30:00,2.3
299,2023-01-04 07:45:00,2.2
300,2023-01-04 08:00:00,2.2
301,2023-01-04 08:15:00,2.2
302,2023-01-04 08:30:00,2.2
303,2023-01-04 08:45:00,2.2
304,2023-01-04 09:00:00,2.2
305,2023-01-04 09:15:00,2.3
306,2023-01-04 09:30:00,2.2
307,2023-01-04 09:45:00,2.2
308,2023-01-04 10:00:00,2.3
309,2023-01-04 10:15:00,2.2
310,2023-01-04 10:30:00,2.1
311,2023-01-04 10:45:00,2.2
312,2023-01-04 11:00:00,2.2
313,2023-01-04 11:15:00,2.2
314,2023-01-04 11:30:00,2.3
315,2023-01-04 11:45:00,2.3
316,2023-01-04 12:00:00,2.2
317,2023-01-04 12:15:00,2.2
318,2023-01-04 12:30:00,3.0
319,2023-01-04 12:45:00,2.2
320,2023-01-04 13:00:00,2.2
321,2023-01-04 13:15:00,2.1
322,2023-01-04 13:30:00,2.3
323,2023-01-04 13:45:00,2.2
324,2023-01-04 14:00:00,2.3
325,2023-01-04 14:15:00,2.3
326,2023-01-04 14:30:00,2.2
327,2023-01-04 14:45:00,2.1
328,2023-01-04 15:00:00,2.2
329,2023-01-04 15:15:00,2.1
330,2023-01-04 15:30:00,2.2
331,2023-01-04 15:45:00,2.3
332,2023-01-04 16:00:00,2.3
333,2023-01-04 16:15:00,2.2
334,2023-01-04 16:30:00,2.2
335,2023-01-04 16:45:00,2.2
336,2023-01-04 17:00:00,2.2
337,2023-01-04 17:15:00,2.2
338,2023-01-04 17:30:00,2.2
339,2023-01-04 17:45:00,2.2
340,2023-01-04 18:00:00,2.2
341,2023-01-04 18:15:00,2.2
342,2023-01-04 18:30:00,2.3
