Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,424.9
1,2023-01-01 05:15:00,418.5
2,2023-01-01 05:30:00,422.9
3,2023-01-01 05:45:00,417.2
4,2023-01-01 06:00:00,422.3
5,2023-01-01 06:15:00,429.1
6,2023-01-01 06:30:00,412.8
7,2023-01-01 06:45:00,425.1
8,2023-01-01 07:00:00,424.8
9,2023-01-01 07:15:00,427.2
10,2023-01-01 07:30:00,406.2
11,2023-01-01 07:45:00,419.5
12,2023-01-01 08:00:00,428.4
13,2023-01-01 08:15:00,435.1
14,2023-01-01 08:30:00,445.2
15,2023-01-01 08:45:00,432.2
16,2023-01-01 09:00:00,432.6
17,2023-01-01 09:15:00,430.8
18,2023-01-01 09:30:00,449.7
19,2023-01-01 09:45:00,436.2
20,2023-01-01 10:00:00,437.4
21,2023-01-01 10:15:00,446.4
22,2023-01-01 10:30:00,453.8
23,2023-01-01 10:45:00,434.8
24,2023-01-01 11:00:00,447.3
25,2023-01-01 11:15:00,462.1
26,2023-01-01 11:30:00,452.5
27,2023-01-01 11:45:00,450.1
28,2023-01-01 12:00:00,457.5
29,2023-01-01 12:15:00,476.8
30,2023-01-01 12:30:00,456.3
31,2023-01-01 12:45:00,460.7
32,2023-01-01 13:00:00,458.2
33,2023-01-01 13:15:00,461.2
34,2023-01-01 13:30:00,465.5
35,2023-01-01 13:45:00,465.9
36,2023-01-01 14:00:00,458.3
37,2023-01-01 14:15:00,457.0
38,2023-01-01 14:30:00,482.6
39,2023-01-01 14:45:00,475.2
40,2023-01-01 15:00:00,457.9
41,2023-01-01 15:15:00,466.0
42,2023-01-01 15:30:00,470.8
43,2023-01-01 15:45:00,468.4
44,2023-01-01 16:00:00,474.6
45,2023-01-01 16:15:00,476.8
46,2023-01-01 16:30:00,473.1
47,2023-01-01 16:45:00,474.3
48,2023-01-01 17:00:00,463.7
49,2023-01-01 17:15:00,463.9
50,2023-01-01 17:30:00,457.9
51,2023-01-01 17:45:00,494.1
52,2023-01-01 18:00:00,463.7
53,2023-01-01 18:15:00,487.5
54,2023-01-01 18:30:00,475.8
55,2023-01-01 18:45:00,477.3
56,2023-01-01 19:00:00,475.4
57,2023-01-01 19:15:00,479.9
58,2023-01-01 19:30:00,472.0
59,2023-01-01 19:45:00,475.8
60,2023-01-01 20:00:00,469.5
61,2023-01-01 20:15:00,478.3
62,2023-01-01 20:30:00,472.7
63,2023-01-01 20:45:00,465.8
64,2023-01-01 21:00:00,478.0
65,2023-01-01 21:15:00,477.7
66,2023-01-01 21:30:00,466.1
67,2023-01-01 21:45:00,474.0
68,2023-01-01 22:00:00,475.1
69,2023-01-01 22:15:00,473.1
70,2023-01-01 22:30:00,471.7
71,2023-01-01 22:45:00,464.6
72,2023-01-01 23:00:00,466.9
73,2023-01-01 23:15:00,483.3
74,2023-01-01 23:30:00,472.3
75,2023-01-01 23:45:00,459.0
76,2023-01-02 00:00:00,460.3
77,2023-01-02 00:15:00,454.9
78,2023-01-02 00:30:00,472.0
79,2023-01-02 00:45:00,456.4
80,2023-01-02 01:00:00,446.6
81,2023-01-02 01:15:00,448.1
82,2023-01-02 01:30:00,459.5
83,2023-01-02 01:45:00,470.0
84,2023-01-02 02:00:00,451.3
85,2023-01-02 02:15:00,467.1
86,2023-01-02 02:30:00,471.9
87,2023-01-02 02:45:00,453.4
88,2023-01-02 03:00:00,465.8
89,2023-01-02 03:15:00,460.4
90,2023-01-02 03:30:00,447.5
91,2023-01-02 03:45:00,463.1
92,2023-01-02 04:00:00,451.4
93,2023-01-02 04:15:00,436.9
94,2023-01-02 04:30:00,444.8
95,2023-01-02 04:45:00,450.8
96,2023-01-02 05:00:00,447.9
97,2023-01-02 05:15:00,445.0
98,2023-01-02 05:30:00,444.6
99,2023-01-02 05:45:00,462.3
100,2023-01-02 06:00:00,439.5
101,2023-01-02 06:15:00,425.1
102,2023-01-02 06:30:00,444.0
103,2023-01-02 06:45:00,456.0
104,2023-01-02 07:00:00,451.7
105,2023-01-02 07:15:00,455.1
106,2023-01-02 07:30:00,444.3
107,2023-01-02 07:45:00,451.2
108,2023-01-02 08:00:00,452.8
109,2023-01-02 08:15:00,463.0
110,2023-01-02 08:30:00,445.5
111,2023-01-02 08:45:00,437.0
112,2023-01-02 09:00:00,450.1
113,2023-01-02 09:15:00,447.1
114,2023-01-02 09:30:00,448.1
115,2023-01-02 09:45:00,451.1
116,2023-01-02 10:00:00,445.5
117,2023-01-02 10:15:00,440.2
