Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,3.9
1,2023-01-01 05:15:00,3.3
2,2023-01-01 05:30:00,3.5
3,2023-01-01 05:45:00,3.4
4,2023-01-01 06:00:00,3.3
5,2023-01-01 06:15:00,3.3
6,2023-01-01 06:30:00,3.3
7,2023-01-01 06:45:00,3.3
8,2023-01-01 07:00:00,3.3
9,2023-01-01 07:15:00,3.5
10,2023-01-01 07:30:00,3.3
11,2023-01-01 07:45:00,3.3
12,2023-01-01 08:00:00,3.3
13,2023-01-01 08:15:00,3.3
14,2023-01-01 08:30:00,3.3
15,2023-01-01 08:45:00,3.3
16,2023-01-01 09:00:00,3.5
17,2023-01-01 09:15:00,3.3
18,2023-01-01 09:30:00,3.3
19,2023-01-01 09:45:00,3.3
20,2023-01-01 10:00:00,3.9
21,2023-01-01 10:15:00,3.3
22,2023-01-01 10:30:00,3.3
23,2023-01-01 10:45:00,3.5
24,2023-01-01 11:00:00,3.3
25,2023-01-01 11:15:00,3.3
26,2023-01-01 11:30:00,3.3
27,2023-01-01 11:45:00,3.3
28,2023-01-01 12:00:00,3.3
29,2023-01-01 12:15:00,3.4
30,2023-01-01 12:30:00,1.3
31,2023-01-01 12:45:00,1.0
32,2023-01-01 13:00:00,0.9
33,2023-01-01 13:15:00,1.0
34,2023-01-01 13:30:00,0.9
35,2023-01-01 13:45:00,1.0
36,2023-01-01 14:00:00,1.1
37,2023-01-01 14:15:00,1.0
38,2023-01-01 14:30:00,1.0
39,2023-01-01 14:45:00,1.0
40,2023-01-01 15:00:00,1.0
41,2023-01-01 15:15:00,1.0
42,2023-01-01 15:30:00,1.1
43,2023-01-01 15:45:00,1.1
44,2023-01-01 16:00:00,1.0
45,2023-01-01 16:15:00,1.0
46,2023-01-01 16:30:00,1.0
47,2023-01-01 16:45:00,1.0
48,2023-01-01 17:00:00,1.0
49,2023-01-01 17:15:00,1.1
50,2023-01-01 17:30:00,1.0
51,2023-01-01 17:45:00,1.0
52,2023-01-01 18:00:00,1.0
53,2023-01-01 18:15:00,1.0
54,2023-01-01 18:30:00,1.0
55,2023-01-01 18:45:00,1.1
56,2023-01-01 19:00:00,1.0
57,2023-01-01 19:15:00,1.0
58,2023-01-01 19:30:00,0.9
59,2023-01-01 19:45:00,1.0
60,2023-01-01 20:00:00,0.9
61,2023-01-01 20:15:00,1.1
62,2023-01-01 20:30:00,1.1
63,2023-01-01 20:45:00,1.0
64,2023-01-01 21:00:00,1.0
65,2023-01-01 21:15:00,1.0
66,2023-01-01 21:30:00,1.0
67,2023-01-01 21:45:00,1.1
68,2023-01-01 22:00:00,3.3
69,2023-01-01 22:15:00,3.2
70,2023-01-01 22:30:00,3.2
71,2023-01-01 22:45:00,3.2
72,2023-01-01 23:00:00,3.2
73,2023-01-01 23:15:00,3.2
74,2023-01-01 23:30:00,3.3
75,2023-01-01 23:45:00,3.3
76,2023-01-02 00:00:00,3.2
77,2023-01-02 00:15:00,3.2
78,2023-01-02 00:30:00,3.2
79,2023-01-02 00:45:00,3.2
80,2023-01-02 01:00:00,3.2
81,2023-01-02 01:15:00,3.3
82,2023-01-02 01:30:00,3.2
83,2023-01-02 01:45:00,3.2
84,2023-01-02 02:00:00,3.1
85,2023-01-02 02:15:00,3.1
86,2023-01-02 02:30:00,3.1
87,2023-01-02 02:45:00,3.3
88,2023-01-02 03:00:00,3.3
89,2023-01-02 03:15:00,3.2
90,2023-01-02 03:30:00,3.2
91,2023-01-02 03:45:00,3.2
92,2023-01-02 04:00:00,3.7
93,2023-01-02 04:15:00,3.2
94,2023-01-02 04:30:00,3.3
95,2023-01-02 04:45:00,3.2
96,2023-01-02 05:00:00,3.2
97,2023-01-02 05:15:00,3.2
98,2023-01-02 05:30:00,3.2
99,2023-01-02 05:45:00,3.2
100,2023-01-02 06:00:00,3.3
101,2023-01-02 06:15:00,3.3
102,2023-01-02 06:30:00,3.2
103,2023-01-02 06:45:00,3.2
104,2023-01-02 07:00:00,3.2
105,2023-01-02 07:15:00,3.1
106,2023-01-02 07:30:00,3.2
107,2023-01-02 07:45:00,3.3
108,2023-01-02 08:00:00,3.1
109,2023-01-02 08:15:00,3.1
110,2023-01-02 08:30:00,3.1
111,2023-01-02 08:45:00,3.1
112,2023-01-02 09:00:00,3.1
113,2023-01-02 09:15:00,3.3
114,2023-01-02 09:30:00,3.3
115,2023-01-02 09:45:00,3.1
116,2023-01-02 10:00:00,3.1
117,2023-01-02 10:15:00,3.1
118,2023-01-02 10:30:00,3.1
119,2023-01-02 10:45:00,3.1
120,2023-01-02 11:00:00,3.3
121,2023-01-02 11:15:00,3.2
122,2023-01-02 11:30:00,3.1
123,2023-01-02 11:45:00,3.2
124,2023-01-02 12:00:00,3.1
125,2023-01-02 12:15:00,3.1
126,2023-01-02 12:30:00,1.3
127,2023-01-02 12:45:00,1.1
128,2023-01-02 13:00:00,1.0
129,2023-01-02 13:15:00,1.0
130,2023-01-02 13:30:00,1.0
131,2023-01-02 13:45:00,1.0
132,2023-01-02 14:00:00,1.0
133,2023-01-02 14:15:00,1.1
134,2023-01-02 14:30:00,1.0
135,2023-01-02 14:45:00,1.0
136,2023-01-02 15:00:00,1.0
137,2023-01-02 15:15:00,1.0
138,2023-01-02 15:30:00,1.0
139,2023-01-02 15:45:00,1.1
140,2023-01-02 16:00:00,1.0
141,2023-01-02 16:15:00,1.0
142,2023-01-02 16:30:00,1.0
143,2023-01-02 16:45:00,1.0
144,2023-01-02 17:00:00,1.0
145,2023-01-02 17:15:00,1.1
146,2023-01-02 17:30:00,1.1
147,2023-01-02 17:45:00,1.0
148,2023-01-02 18:00:00,1.0
149,2023-01-02 18:15:00,1.0
150,2023-01-02 18:30:00,1.0
151,2023-01-02 18:45:00,1.0
152,2023-01-02 19:00:00,1.1
153,2023-01-02 19:15:00,1.6
154,2023-01-02 19:30:00,1.0
155,2023-01-02 19:45:00,1.0
156,2023-01-02 20:00:00,1.0
157,2023-01-02 20:15:00,1.0
158,2023-01-02 20:30:00,1.0
159,2023-01-02 20:45:00,1.1
160,2023-01-02 21:00:00,1.1
