Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,115.6
1,2023-01-01 05:15:00,119.8
2,2023-01-01 05:30:00,117.5
3,2023-01-01 05:45:00,117.6
4,2023-01-01 06:00:00,113.4
5,2023-01-01 06:15:00,118.2
6,2023-01-01 06:30:00,116.8
7,2023-01-01 06:45:00,113.5
8,2023-01-01 07:00:00,115.2
9,2023-01-01 07:15:00,112.9
10,2023-01-01 07:30:00,119.2
11,2023-01-01 07:45:00,113.7
12,2023-01-01 08:00:00,115.3
13,2023-01-01 08:15:00,113.6
14,2023-01-01 08:30:00,116.2
15,2023-01-01 08:45:00,111.1
16,2023-01-01 09:00:00,116.5
17,2023-01-01 09:15:00,119.5
18,2023-01-01 09:30:00,112.3
19,2023-01-01 09:45:00,116.0
20,2023-01-01 10:00:00,115.7
21,2023-01-01 10:15:00,125.3
22,2023-01-01 10:30:00,113.1
23,2023-01-01 10:45:00,130.1
24,2023-01-01 11:00:00,113.8
25,2023-01-01 11:15:00,119.5
26,2023-01-01 11:30:00,122.3
27,2023-01-01 11:45:00,119.9
28,2023-01-01 12:00:00,119.3
29,2023-01-01 12:15:00,117.2
30,2023-01-01 12:30:00,121.5
31,2023-01-01 12:45:00,121.0
32,2023-01-01 13:00:00,116.5
33,2023-01-01 13:15:00,110.2
34,2023-01-01 13:30:00,112.4
35,2023-01-01 13:45:00,112.0
36,2023-01-01 14:00:00,113.4
37,2023-01-01 14:15:00,116.8
38,2023-01-01 14:30:00,118.5
39,2023-01-01 14:45:00,129.0
40,2023-01-01 15:00:00,111.7
41,2023-01-01 15:15:00,116.6
42,2023-01-01 15:30:00,109.3
43,2023-01-01 15:45:00,112.4
44,2023-01-01 16:00:00,113.9
45,2023-01-01 16:15:00,111.5
46,2023-01-01 16:30:00,109.6
47,2023-01-01 16:45:00,110.3
48,2023-01-01 17:00:00,111.7
49,2023-01-01 17:15:00,112.9
50,2023-01-01 17:30:00,114.3
51,2023-01-01 17:45:00,116.4
52,2023-01-01 18:00:00,115.1
53,2023-01-01 18:15:00,119.7
54,2023-01-01 18:30:00,117.7
55,2023-01-01 18:45:00,114.5
56,2023-01-01 19:00:00,117.3
57,2023-01-01 19:15:00,116.2
58,2023-01-01 19:30:00,122.4
59,2023-01-01 19:45:00,114.0
60,2023-01-01 20:00:00,115.4
61,2023-01-01 20:15:00,111.9
62,2023-01-01 20:30:00,115.4
63,2023-01-01 20:45:00,114.5
64,2023-01-01 21:00:00,108.1
65,2023-01-01 21:15:00,107.5
66,2023-01-01 21:30:00,118.5
67,2023-01-01 21:45:00,109.7
68,2023-01-01 22:00:00,112.9
69,2023-01-01 22:15:00,116.0
70,2023-01-01 22:30:00,117.9
71,2023-01-01 22:45:00,116.1
72,2023-01-01 23:00:00,122.0
73,2023-01-01 23:15:00,113.2
74,2023-01-01 23:30:00,116.4
75,2023-01-01 23:45:00,118.7
76,2023-01-02 00:00:00,121.0
77,2023-01-02 00:15:00,112.6
78,2023-01-02 00:30:00,122.3
79,2023-01-02 00:45:00,119.6
80,2023-01-02 01:00:00,121.3
81,2023-01-02 01:15:00,117.3
82,2023-01-02 01:30:00,115.5
83,2023-01-02 01:45:00,123.0
84,2023-01-02 02:00:00,123.4
85,2023-01-02 02:15:00,123.2
86,2023-01-02 02:30:00,118.1
87,2023-01-02 02:45:00,120.8
88,2023-01-02 03:00:00,119.2
89,2023-01-02 03:15:00,121.5
90,2023-01-02 03:30:00,118.0
91,2023-01-02 03:45:00,118.5
92,2023-01-02 04:00:00,125.3
93,2023-01-02 04:15:00,111.3
94,2023-01-02 04:30:00,112.7
95,2023-01-02 04:45:00,113.5
96,2023-01-02 05:00:00,114.6
97,2023-01-02 05:15:00,119.3
98,2023-01-02 05:30:00,118.8
99,2023-01-02 05:45:00,119.0
100,2023-01-02 06:00:00,116.1
101,2023-01-02 06:15:00,116.7
102,2023-01-02 06:30:00,116.5
103,2023-01-02 06:45:00,120.5
104,2023-01-02 07:00:00,111.9
105,2023-01-02 07:15:00,115.1
106,2023-01-02 07:30:00,114.3
107,2023-01-02 07:45:00,115.7
108,2023-01-02 08:00:00,117.6
109,2023-01-02 08:15:00,115.8
110,2023-01-02 08:30:00,120.8
111,2023-01-02 08:45:00,120.1
112,2023-01-02 09:00:00,119.5
113,2023-01-02 09:15:00,113.6
114,2023-01-02 09:30:00,120.2
115,2023-01-02 09:45:00,112.9
116,2023-01-02 10:00:00,117.2
117,2023-01-02 10:15:00,132.7
118,2023-01-02 10:30:00,120.4
119,2023-01-02 10:45:00,114.2
120,2023-01-02 11:00:00,114.8
121,2023-01-02 11:15:00,124.3
122,2023-01-02 11:30:00,119.8
123,2023-01-02 11:45:00,120.0
124,2023-01-02 12:00:00,119.9
125,2023-01-02 12:15:00,120.4
126,2023-01-02 12:30:00,139.3
127,2023-01-02 12:45:00,124.2
128,2023-01-02 13:00:00,118.1
129,2023-01-02 13:15:00,114.9
130,2023-01-02 13:30:00,142.4
131,2023-01-02 13:45:00,122.3
132,2023-01-02 14:00:00,114.9
133,2023-01-02 14:15:00,125.0
134,2023-01-02 14:30:00,119.4
135,2023-01-02 14:45:00,127.1
136,2023-01-02 15:00:00,116.0
137,2023-01-02 15:15:00,117.4
138,2023-01-02 15:30:00,110.7
139,2023-01-02 15:45:00,110.1
140,2023-01-02 16:00:00,112.4
141,2023-01-02 16:15:00,111.5
142,2023-01-02 16:30:00,114.6
143,2023-01-02 16:45:00,113.5
144,2023-01-02 17:00:00,114.5
145,2023-01-02 17:15:00,109.4
146,2023-01-02 17:30:00,110.8
147,2023-01-02 17:45:00,111.1
148,2023-01-02 18:00:00,113.2
149,2023-01-02 18:15:00,117.5
150,2023-01-02 18:30:00,108.8
151,2023-01-02 18:45:00,117.3
152,2023-01-02 19:00:00,114.0
153,2023-01-02 19:15:00,109.3
154,2023-01-02 19:30:00,108.2
155,2023-01-02 19:45:00,114.2
156,2023-01-02 20:00:00,110.5
157,2023-01-02 20:15:00,109.1
158,2023-01-02 20:30:00,109.5
159,2023-01-02 20:45:00,108.7
160,2023-01-02 21:00:00,109.1
161,2023-01-02 21:15:00,112.6
162,2023-01-02 21:30:00,110.2
163,2023-01-02 21:45:00,108.1
164,2023-01-02 22:00:00,111.3
165,2023-01-02 22:15:00,119.8
166,2023-01-02 22:30:00,116.9
167,2023-01-02 22:45:00,120.5
168,2023-01-02 23:00:00,114.2
169,2023-01-02 23:15:00,114.6
170,2023-01-02 23:30:00,113.6
171,2023-01-02 23:45:00,120.0
172,2023-01-03 00:00:00,115.9
173,2023-01-03 00:15:00,124.2
174,2023-01-03 00:30:00,116.9
175,2023-01-03 00:45:00,114.7
176,2023-01-03 01:00:00,125.2
177,2023-01-03 01:15:00,122.2
178,2023-01-03 01:30:00,117.6
179,2023-01-03 01:45:00,117.4
180,2023-01-03 02:00:00,120.1
181,2023-01-03 02:15:00,119.5
182,2023-01-03 02:30:00,124.2
183,2023-01-03 02:45:00,118.4
184,2023-01-03 03:00:00,121.2
185,2023-01-03 03:15:00,147.6
186,2023-01-03 03:30:00,121.8
187,2023-01-03 03:45:00,120.5
188,2023-01-03 04:00:00,120.3
189,2023-01-03 04:15:00,117.1
190,2023-01-03 04:30:00,117.1
191,2023-01-03 04:45:00,129.2
192,2023-01-03 05:00:00,114.8
193,2023-01-03 05:15:00,120.7
194,2023-01-03 05:30:00,114.1
195,2023-01-03 05:45:00,116.1
196,2023-01-03 06:00:00,115.1
197,2023-01-03 06:15:00,116.7
198,2023-01-03 06:30:00,114.5
199,2023-01-03 06:45:00,118.9
200,2023-01-03 07:00:00,113.2
201,2023-01-03 07:15:00,119.5
202,2023-01-03 07:30:00,121.4
203,2023-01-03 07:45:00,118.4
204,2023-01-03 08:00:00,112.5
205,2023-01-03 08:15:00,117.8
206,2023-01-03 08:30:00,114.5
207,2023-01-03 08:45:00,111.1
208,2023-01-03 09:00:00,115.5
209,2023-01-03 09:15:00,114.1
210,2023-01-03 09:30:00,122.3
211,2023-01-03 09:45:00,118.1
212,2023-01-03 10:00:00,124.4
213,2023-01-03 10:15:00,111.2
214,2023-01-03 10:30:00,112.3
215,2023-01-03 10:45:00,111.8
216,2023-01-03 11:00:00,120.1
217,2023-01-03 11:15:00,125.7
218,2023-01-03 11:30:00,121.3
219,2023-01-03 11:45:00,120.7
220,2023-01-03 12:00:00,122.8
221,2023-01-03 12:15:00,139.2
222,2023-01-03 12:30:00,122.6
223,2023-01-03 12:45:00,122.7
224,2023-01-03 13:00:00,126.3
225,2023-01-03 13:15:00,126.6
226,2023-01-03 13:30:00,131.9
227,2023-01-03 13:45:00,127.0
228,2023-01-03 14:00:00,125.8
229,2023-01-03 14:15:00,127.1
230,2023-01-03 14:30:00,124.1
231,2023-01-03 14:45:00,130.4
232,2023-01-03 15:00:00,127.9
233,2023-01-03 15:15:00,124.8
234,2023-01-03 15:30:00,111.0
235,2023-01-03 15:45:00,119.4
236,2023-01-03 16:00:00,105.5
237,2023-01-03 16:15:00,102.9
238,2023-01-03 16:30:00,124.2
239,2023-01-03 16:45:00,126.6
240,2023-01-03 17:00:00,127.9
241,2023-01-03 17:15:00,122.5
242,2023-01-03 17:30:00,124.5
243,2023-01-03 17:45:00,132.8
244,2023-01-03 18:00:00,155.0
245,2023-01-03 18:15:00,131.0
246,2023-01-03 18:30:00,133.9
247,2023-01-03 18:45:00,130.6
248,2023-01-03 19:00:00,136.7
249,2023-01-03 19:15:00,121.9
250,2023-01-03 19:30:00,120.5
251,2023-01-03 19:45:00,126.6
252,2023-01-03 20:00:00,124.6
253,2023-01-03 20:15:00,121.1
254,2023-01-03 20:30:00,123.9
255,2023-01-03 20:45:00,128.4
256,2023-01-03 21:00:00,128.4
257,2023-01-03 21:15:00,138.3
258,2023-01-03 21:30:00,139.1
259,2023-01-03 21:45:00,129.8
260,2023-01-03 22:00:00,138.1
261,2023-01-03 22:15:00,126.6
262,2023-01-03 22:30:00,132.4
263,2023-01-03 22:45:00,129.1
264,2023-01-03 23:00:00,130.3
265,2023-01-03 23:15:00,137.6
266,2023-01-03 23:30:00,137.7
267,2023-01-03 23:45:00,142.2
268,2023-01-04 00:00:00,137.3
269,2023-01-04 00:15:00,132.1
270,2023-01-04 00:30:00,140.9
271,2023-01-04 00:45:00,130.4
272,2023-01-04 01:00:00,128.6
273,2023-01-04 01:15:00,135.9
274,2023-01-04 01:30:00,131.4
275,2023-01-04 01:45:00,139.6
276,2023-01-04 02:00:00,137.2
277,2023-01-04 02:15:00,132.3
278,2023-01-04 02:30:00,133.6
279,2023-01-04 02:45:00,129.5
280,2023-01-04 03:00:00,132.9
281,2023-01-04 03:15:00,132.9
282,2023-01-04 03:30:00,138.0
283,2023-01-04 03:45:00,131.0
284,2023-01-04 04:00:00,129.5
285,2023-01-04 04:15:00,128.6
286,2023-01-04 04:30:00,132.4
287,2023-01-04 04:45:00,127.5
288,2023-01-04 05:00:00,125.5
289,2023-01-04 05:15:00,131.5
290,2023-01-04 05:30:00,125.1
291,2023-01-04 05:45:00,138.0
292,2023-01-04 06:00:00,122.1
293,2023-01-04 06:15:00,132.8
294,2023-01-04 06:30:00,124.5
295,2023-01-04 06:45:00,132.4
296,2023-01-04 07:00:00,127.0
297,2023-01-04 07:15:00,127.9
298,2023-01-04 07:30:00,130.4
299,2023-01-04 07:45:00,124.7
300,2023-01-04 08:00:00,127.5
301,2023-01-04 08:15:00,126.4
302,2023-01-04 08:30:00,127.6
303,2023-01-04 08:45:00,129.1
304,2023-01-04 09:00:00,131.6
305,2023-01-04 09:15:00,121.8
306,2023-01-04 09:30:00,128.6
307,2023-01-04 09:45:00,126.3
308,2023-01-04 10:00:00,119.7
309,2023-01-04 10:15:00,125.6
310,2023-01-04 10:30:00,125.1
311,2023-01-04 10:45:00,131.0
312,2023-01-04 11:00:00,125.2
313,2023-01-04 11:15:00,131.1
314,2023-01-04 11:30:00,126.2
315,2023-01-04 11:45:00,128.2
316,2023-01-04 12:00:00,129.8
317,2023-01-04 12:15:00,134.7
318,2023-01-04 12:30:00,140.0
319,2023-01-04 12:45:00,132.3
