Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,116.7
1,2023-01-01 05:15:00,108.4
2,2023-01-01 05:30:00,110.0
3,2023-01-01 05:45:00,108.4
4,2023-01-01 06:00:00,114.6
5,2023-01-01 06:15:00,119.3
6,2023-01-01 06:30:00,110.8
7,2023-01-01 06:45:00,110.7
8,2023-01-01 07:00:00,110.2
9,2023-01-01 07:15:00,112.3
10,2023-01-01 07:30:00,116.9
11,2023-01-01 07:45:00,107.6
12,2023-01-01 08:00:00,109.1
13,2023-01-01 08:15:00,110.2
14,2023-01-01 08:30:00,111.6
15,2023-01-01 08:45:00,117.7
16,2023-01-01 09:00:00,111.3
17,2023-01-01 09:15:00,113.8
18,2023-01-01 09:30:00,109.8
19,2023-01-01 09:45:00,116.2
20,2023-01-01 10:00:00,116.5
21,2023-01-01 10:15:00,109.3
22,2023-01-01 10:30:00,112.3
23,2023-01-01 10:45:00,110.9
24,2023-01-01 11:00:00,113.3
25,2023-01-01 11:15:00,114.6
26,2023-01-01 11:30:00,112.3
27,2023-01-01 11:45:00,111.3
28,2023-01-01 12:00:00,115.5
29,2023-01-01 12:15:00,112.2
30,2023-01-01 12:30:00,111.6
31,2023-01-01 12:45:00,109.6
32,2023-01-01 13:00:00,112.1
33,2023-01-01 13:15:00,115.3
34,2023-01-01 13:30:00,111.6
35,2023-01-01 13:45:00,110.2
36,2023-01-01 14:00:00,107.2
37,2023-01-01 14:15:00,115.5
38,2023-01-01 14:30:00,112.2
39,2023-01-01 14:45:00,110.1
40,2023-01-01 15:00:00,109.9
41,2023-01-01 15:15:00,114.4
42,2023-01-01 15:30:00,118.0
43,2023-01-01 15:45:00,109.2
44,2023-01-01 16:00:00,109.5
45,2023-01-01 16:15:00,108.1
46,2023-01-01 16:30:00,113.1
47,2023-01-01 16:45:00,109.9
48,2023-01-01 17:00:00,107.8
49,2023-01-01 17:15:00,112.1
50,2023-01-01 17:30:00,113.4
51,2023-01-01 17:45:00,106.0
52,2023-01-01 18:00:00,113.6
53,2023-01-01 18:15:00,108.1
54,2023-01-01 18:30:00,117.0
55,2023-01-01 18:45:00,108.6
56,2023-01-01 19:00:00,108.6
57,2023-01-01 19:15:00,109.8
58,2023-01-01 19:30:00,111.9
59,2023-01-01 19:45:00,109.7
60,2023-01-01 20:00:00,104.1
61,2023-01-01 20:15:00,107.8
62,2023-01-01 20:30:00,110.3
63,2023-01-01 20:45:00,110.0
64,2023-01-01 21:00:00,108.8
65,2023-01-01 21:15:00,105.6
66,2023-01-01 21:30:00,108.9
67,2023-01-01 21:45:00,116.1
68,2023-01-01 22:00:00,110.6
69,2023-01-01 22:15:00,112.2
70,2023-01-01 22:30:00,115.7
71,2023-01-01 22:45:00,116.8
72,2023-01-01 23:00:00,114.2
73,2023-01-01 23:15:00,116.3
74,2023-01-01 23:30:00,114.1
75,2023-01-01 23:45:00,111.3
76,2023-01-02 00:00:00,119.9
77,2023-01-02 00:15:00,113.7
78,2023-01-02 00:30:00,112.4
79,2023-01-02 00:45:00,107.9
80,2023-01-02 01:00:00,116.4
81,2023-01-02 01:15:00,112.9
82,2023-01-02 01:30:00,109.8
83,2023-01-02 01:45:00,113.1
84,2023-01-02 02:00:00,108.7
85,2023-01-02 02:15:00,113.6
86,2023-01-02 02:30:00,112.2
87,2023-01-02 02:45:00,113.1
88,2023-01-02 03:00:00,110.7
89,2023-01-02 03:15:00,112.9
90,2023-01-02 03:30:00,113.7
91,2023-01-02 03:45:00,112.8
92,2023-01-02 04:00:00,111.4
93,2023-01-02 04:15:00,110.4
94,2023-01-02 04:30:00,119.1
95,2023-01-02 04:45:00,111.3
96,2023-01-02 05:00:00,111.0
97,2023-01-02 05:15:00,113.0
98,2023-01-02 05:30:00,116.5
99,2023-01-02 05:45:00,111.3
100,2023-01-02 06:00:00,112.5
101,2023-01-02 06:15:00,110.9
102,2023-01-02 06:30:00,114.6
103,2023-01-02 06:45:00,116.9
104,2023-01-02 07:00:00,111.2
105,2023-01-02 07:15:00,113.1
106,2023-01-02 07:30:00,111.7
107,2023-01-02 07:45:00,115.6
108,2023-01-02 08:00:00,113.3
109,2023-01-02 08:15:00,115.4
110,2023-01-02 08:30:00,108.6
111,2023-01-02 08:45:00,113.0
112,2023-01-02 09:00:00,113.9
113,2023-01-02 09:15:00,109.9
114,2023-01-02 09:30:00,111.5
115,2023-01-02 09:45:00,114.4
116,2023-01-02 10:00:00,112.9
117,2023-01-02 10:15:00,110.3
118,2023-01-02 10:30:00,117.1
119,2023-01-02 10:45:00,113.5
120,2023-01-02 11:00:00,115.4
121,2023-01-02 11:15:00,115.1
122,2023-01-02 11:30:00,112.8
123,2023-01-02 11:45:00,111.2
124,2023-01-02 12:00:00,117.1
125,2023-01-02 12:15:00,110.8
126,2023-01-02 12:30:00,108.8
127,2023-01-02 12:45:00,110.2
128,2023-01-02 13:00:00,114.4
129,2023-01-02 13:15:00,114.3
130,2023-01-02 13:30:00,110.1
131,2023-01-02 13:45:00,110.7
132,2023-01-02 14:00:00,113.1
