Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,197.7
1,2023-01-01 05:15:00,195.1
2,2023-01-01 05:30:00,182.6
3,2023-01-01 05:45:00,196.5
4,2023-01-01 06:00:00,197.2
5,2023-01-01 06:15:00,180.7
6,2023-01-01 06:30:00,193.7
7,2023-01-01 06:45:00,196.3
8,2023-01-01 07:00:00,181.9
9,2023-01-01 07:15:00,178.5
10,2023-01-01 07:30:00,183.5
11,2023-01-01 07:45:00,181.5
12,2023-01-01 08:00:00,190.1
13,2023-01-01 08:15:00,194.3
14,2023-01-01 08:30:00,199.2
15,2023-01-01 08:45:00,179.5
16,2023-01-01 09:00:00,175.3
17,2023-01-01 09:15:00,182.4
18,2023-01-01 09:30:00,197.1
19,2023-01-01 09:45:00,211.2
20,2023-01-01 10:00:00,204.7
21,2023-01-01 10:15:00,195.8
22,2023-01-01 10:30:00,200.3
23,2023-01-01 10:45:00,198.9
24,2023-01-01 11:00:00,206.4
25,2023-01-01 11:15:00,206.2
26,2023-01-01 11:30:00,222.6
27,2023-01-01 11:45:00,207.0
28,2023-01-01 12:00:00,211.0
29,2023-01-01 12:15:00,208.9
30,2023-01-01 12:30:00,202.8
31,2023-01-01 12:45:00,199.6
32,2023-01-01 13:00:00,217.1
33,2023-01-01 13:15:00,215.3
34,2023-01-01 13:30:00,192.5
35,2023-01-01 13:45:00,210.5
36,2023-01-01 14:00:00,207.5
37,2023-01-01 14:15:00,206.3
38,2023-01-01 14:30:00,196.2
39,2023-01-01 14:45:00,194.5
40,2023-01-01 15:00:00,194.6
41,2023-01-01 15:15:00,196.7
42,2023-01-01 15:30:00,193.3
43,2023-01-01 15:45:00,208.5
44,2023-01-01 16:00:00,202.6
45,2023-01-01 16:15:00,203.3
46,2023-01-01 16:30:00,229.8
47,2023-01-01 16:45:00,225.8
48,2023-01-01 17:00:00,223.7
49,2023-01-01 17:15:00,210.2
50,2023-01-01 17:30:00,209.6
51,2023-01-01 17:45:00,215.4
52,2023-01-01 18:00:00,215.4
53,2023-01-01 18:15:00,194.0
54,2023-01-01 18:30:00,204.5
55,2023-01-01 18:45:00,205.2
56,2023-01-01 19:00:00,196.3
57,2023-01-01 19:15:00,207.6
58,2023-01-01 19:30:00,225.4
59,2023-01-01 19:45:00,224.8
60,2023-01-01 20:00:00,210.9
61,2023-01-01 20:15:00,193.2
62,2023-01-01 20:30:00,196.0
63,2023-01-01 20:45:00,194.8
64,2023-01-01 21:00:00,197.2
65,2023-01-01 21:15:00,193.9
66,2023-01-01 21:30:00,200.4
67,2023-01-01 21:45:00,196.8
