Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,35.0
1,2023-01-01 05:15:00,34.2
2,2023-01-01 05:30:00,40.8
3,2023-01-01 05:45:00,37.6
4,2023-01-01 06:00:00,38.8
5,2023-01-01 06:15:00,34.7
6,2023-01-01 06:30:00,33.1
7,2023-01-01 06:45:00,37.6
8,2023-01-01 07:00:00,43.3
9,2023-01-01 07:15:00,34.8
10,2023-01-01 07:30:00,44.1
11,2023-01-01 07:45:00,41.4
12,2023-01-01 08:00:00,38.1
13,2023-01-01 08:15:00,43.2
14,2023-01-01 08:30:00,40.7
15,2023-01-01 08:45:00,42.7
16,2023-01-01 09:00:00,42.5
17,2023-01-01 09:15:00,39.9
18,2023-01-01 09:30:00,36.5
19,2023-01-01 09:45:00,38.3
20,2023-01-01 10:00:00,38.4
21,2023-01-01 10:15:00,34.2
22,2023-01-01 10:30:00,41.0
23,2023-01-01 10:45:00,42.4
24,2023-01-01 11:00:00,48.2
25,2023-01-01 11:15:00,44.7
26,2023-01-01 11:30:00,45.8
27,2023-01-01 11:45:00,45.7
28,2023-01-01 12:00:00,49.7
29,2023-01-01 12:15:00,54.1
30,2023-01-01 12:30:00,51.3
31,2023-01-01 12:45:00,53.5
32,2023-01-01 13:00:00,103.4
33,2023-01-01 13:15:00,108.5
34,2023-01-01 13:30:00,106.2
35,2023-01-01 13:45:00,105.4
36,2023-01-01 14:00:00,114.3
37,2023-01-01 14:15:00,103.6
38,2023-01-01 14:30:00,112.1
39,2023-01-01 14:45:00,112.0
40,2023-01-01 15:00:00,112.4
41,2023-01-01 15:15:00,107.3
42,2023-01-01 15:30:00,107.1
43,2023-01-01 15:45:00,123.4
44,2023-01-01 16:00:00,104.5
45,2023-01-01 16:15:00,106.2
46,2023-01-01 16:30:00,104.2
47,2023-01-01 16:45:00,112.9
48,2023-01-01 17:00:00,104.5
49,2023-01-01 17:15:00,108.1
50,2023-01-01 17:30:00,108.1
51,2023-01-01 17:45:00,112.3
52,2023-01-01 18:00:00,107.9
53,2023-01-01 18:15:00,107.4
54,2023-01-01 18:30:00,113.2
55,2023-01-01 18:45:00,109.2
56,2023-01-01 19:00:00,105.9
57,2023-01-01 19:15:00,103.1
58,2023-01-01 19:30:00,108.6
59,2023-01-01 19:45:00,106.9
60,2023-01-01 20:00:00,105.3
61,2023-01-01 20:15:00,105.6
62,2023-01-01 20:30:00,111.1
63,2023-01-01 20:45:00,104.7
