Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,695.9
1,2023-01-01 05:15:00,636.8
2,2023-01-01 05:30:00,657.8
3,2023-01-01 05:45:00,666.7
4,2023-01-01 06:00:00,662.4
5,2023-01-01 06:15:00,681.5
6,2023-01-01 06:30:00,578.8
7,2023-01-01 06:45:00,661.1
8,2023-01-01 07:00:00,650.5
9,2023-01-01 07:15:00,613.2
10,2023-01-01 07:30:00,611.7
11,2023-01-01 07:45:00,587.0
12,2023-01-01 08:00:00,595.6
13,2023-01-01 08:15:00,655.0
14,2023-01-01 08:30:00,616.2
15,2023-01-01 08:45:00,662.9
16,2023-01-01 09:00:00,650.4
17,2023-01-01 09:15:00,617.8
18,2023-01-01 09:30:00,668.1
19,2023-01-01 09:45:00,636.0
20,2023-01-01 10:00:00,597.2
21,2023-01-01 10:15:00,613.0
22,2023-01-01 10:30:00,674.8
23,2023-01-01 10:45:00,622.6
24,2023-01-01 11:00:00,633.5
25,2023-01-01 11:15:00,680.3
26,2023-01-01 11:30:00,575.7
27,2023-01-01 11:45:00,598.0
28,2023-01-01 12:00:00,626.2
29,2023-01-01 12:15:00,594.0
30,2023-01-01 12:30:00,632.8
31,2023-01-01 12:45:00,678.0
32,2023-01-01 13:00:00,606.2
33,2023-01-01 13:15:00,614.5
34,2023-01-01 13:30:00,673.7
35,2023-01-01 13:45:00,644.6
36,2023-01-01 14:00:00,605.8
37,2023-01-01 14:15:00,672.1
38,2023-01-01 14:30:00,661.6
39,2023-01-01 14:45:00,648.6
40,2023-01-01 15:00:00,658.1
41,2023-01-01 15:15:00,698.8
42,2023-01-01 15:30:00,657.3
43,2023-01-01 15:45:00,638.5
44,2023-01-01 16:00:00,648.5
45,2023-01-01 16:15:00,618.6
46,2023-01-01 16:30:00,651.8
47,2023-01-01 16:45:00,664.0
48,2023-01-01 17:00:00,585.0
49,2023-01-01 17:15:00,647.3
50,2023-01-01 17:30:00,671.9
51,2023-01-01 17:45:00,607.8
52,2023-01-01 18:00:00,633.5
53,2023-01-01 18:15:00,632.7
54,2023-01-01 18:30:00,583.1
55,2023-01-01 18:45:00,587.7
56,2023-01-01 19:00:00,601.4
57,2023-01-01 19:15:00,616.7
58,2023-01-01 19:30:00,619.2
59,2023-01-01 19:45:00,635.0
60,2023-01-01 20:00:00,643.2
61,2023-01-01 20:15:00,638.0
62,2023-01-01 20:30:00,649.4
63,2023-01-01 20:45:00,578.6
64,2023-01-01 21:00:00,671.9
65,2023-01-01 21:15:00,586.9
66,2023-01-01 21:30:00,607.7
67,2023-01-01 21:45:00,628.5
68,2023-01-01 22:00:00,675.9
69,2023-01-01 22:15:00,672.2
70,2023-01-01 22:30:00,636.2
71,2023-01-01 22:45:00,666.9
72,2023-01-01 23:00:00,670.3
73,2023-01-01 23:15:00,678.5
74,2023-01-01 23:30:00,646.5
75,2023-01-01 23:45:00,679.6
76,2023-01-02 00:00:00,624.7
77,2023-01-02 00:15:00,678.4
78,2023-01-02 00:30:00,670.6
79,2023-01-02 00:45:00,598.8
80,2023-01-02 01:00:00,621.9
81,2023-01-02 01:15:00,625.1
82,2023-01-02 01:30:00,605.5
83,2023-01-02 01:45:00,599.7
84,2023-01-02 02:00:00,611.6
85,2023-01-02 02:15:00,677.1
86,2023-01-02 02:30:00,663.8
87,2023-01-02 02:45:00,678.8
88,2023-01-02 03:00:00,664.4
89,2023-01-02 03:15:00,620.0
90,2023-01-02 03:30:00,646.7
91,2023-01-02 03:45:00,643.0
92,2023-01-02 04:00:00,643.7
93,2023-01-02 04:15:00,587.6
94,2023-01-02 04:30:00,586.2
95,2023-01-02 04:45:00,724.0
96,2023-01-02 05:00:00,654.1
97,2023-01-02 05:15:00,568.5
98,2023-01-02 05:30:00,646.0
99,2023-01-02 05:45:00,658.6
100,2023-01-02 06:00:00,646.5
101,2023-01-02 06:15:00,703.3
102,2023-01-02 06:30:00,639.8
103,2023-01-02 06:45:00,664.2
104,2023-01-02 07:00:00,632.9
105,2023-01-02 07:15:00,659.7
106,2023-01-02 07:30:00,657.6
107,2023-01-02 07:45:00,679.3
108,2023-01-02 08:00:00,664.8
109,2023-01-02 08:15:00,648.1
110,2023-01-02 08:30:00,637.1
111,2023-01-02 08:45:00,668.5
112,2023-01-02 09:00:00,649.9
113,2023-01-02 09:15:00,633.4
114,2023-01-02 09:30:00,651.3
115,2023-01-02 09:45:00,654.3
116,2023-01-02 10:00:00,676.6
117,2023-01-02 10:15:00,662.1
118,2023-01-02 10:30:00,663.5
119,2023-01-02 10:45:00,686.1
120,2023-01-02 11:00:00,605.3
121,2023-01-02 11:15:00,687.0
122,2023-01-02 11:30:00,676.2
123,2023-01-02 11:45:00,664.4
124,2023-01-02 12:00:00,626.7
125,2023-01-02 12:15:00,681.1
126,2023-01-02 12:30:00,659.6
127,2023-01-02 12:45:00,615.6
128,2023-01-02 13:00:00,609.2
129,2023-01-02 13:15:00,654.2
130,2023-01-02 13:30:00,684.0
131,2023-01-02 13:45:00,619.7
132,2023-01-02 14:00:00,642.7
133,2023-01-02 14:15:00,605.3
134,2023-01-02 14:30:00,667.8
135,2023-01-02 14:45:00,606.5
136,2023-01-02 15:00:00,597.5
137,2023-01-02 15:15:00,579.7
138,2023-01-02 15:30:00,664.4
139,2023-01-02 15:45:00,585.4
140,2023-01-02 16:00:00,611.7
141,2023-01-02 16:15:00,617.0
142,2023-01-02 16:30:00,656.7
143,2023-01-02 16:45:00,659.2
144,2023-01-02 17:00:00,587.8
145,2023-01-02 17:15:00,632.4
146,2023-01-02 17:30:00,658.0
147,2023-01-02 17:45:00,628.1
148,2023-01-02 18:00:00,616.6
