Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,192.3
1,2023-01-01 05:15:00,192.0
2,2023-01-01 05:30:00,193.5
3,2023-01-01 05:45:00,188.7
4,2023-01-01 06:00:00,205.7
5,2023-01-01 06:15:00,195.1
6,2023-01-01 06:30:00,191.0
7,2023-01-01 06:45:00,195.6
8,2023-01-01 07:00:00,193.3
9,2023-01-01 07:15:00,199.3
10,2023-01-01 07:30:00,192.3
11,2023-01-01 07:45:00,190.2
12,2023-01-01 08:00:00,195.3
13,2023-01-01 08:15:00,195.4
14,2023-01-01 08:30:00,191.5
15,2023-01-01 08:45:00,198.4
16,2023-01-01 09:00:00,210.7
17,2023-01-01 09:15:00,203.3
18,2023-01-01 09:30:00,203.3
19,2023-01-01 09:45:00,201.4
20,2023-01-01 10:00:00,207.4
21,2023-01-01 10:15:00,225.2
22,2023-01-01 10:30:00,223.5
23,2023-01-01 10:45:00,215.3
24,2023-01-01 11:00:00,262.1
25,2023-01-01 11:15:00,231.7
26,2023-01-01 11:30:00,261.7
27,2023-01-01 11:45:00,240.8
28,2023-01-01 12:00:00,231.9
29,2023-01-01 12:15:00,231.2
30,2023-01-01 12:30:00,230.6
31,2023-01-01 12:45:00,241.4
32,2023-01-01 13:00:00,211.8
33,2023-01-01 13:15:00,244.3
34,2023-01-01 13:30:00,237.9
35,2023-01-01 13:45:00,231.2
36,2023-01-01 14:00:00,226.8
37,2023-01-01 14:15:00,225.6
38,2023-01-01 14:30:00,233.8
39,2023-01-01 14:45:00,230.1
40,2023-01-01 15:00:00,222.5
41,2023-01-01 15:15:00,232.5
42,2023-01-01 15:30:00,227.1
43,2023-01-01 15:45:00,238.4
44,2023-01-01 16:00:00,229.7
45,2023-01-01 16:15:00,220.5
46,2023-01-01 16:30:00,248.9
47,2023-01-01 16:45:00,239.6
48,2023-01-01 17:00:00,222.3
49,2023-01-01 17:15:00,225.5
50,2023-01-01 17:30:00,226.5
51,2023-01-01 17:45:00,242.1
52,2023-01-01 18:00:00,220.9
53,2023-01-01 18:15:00,221.2
54,2023-01-01 18:30:00,222.9
55,2023-01-01 18:45:00,221.6
56,2023-01-01 19:00:00,234.1
57,2023-01-01 19:15:00,222.4
58,2023-01-01 19:30:00,220.3
59,2023-01-01 19:45:00,221.4
60,2023-01-01 20:00:00,222.8
61,2023-01-01 20:15:00,227.0
62,2023-01-01 20:30:00,220.1
63,2023-01-01 20:45:00,234.5
64,2023-01-01 21:00:00,223.0
65,2023-01-01 21:15:00,219.5
66,2023-01-01 21:30:00,223.8
67,2023-01-01 21:45:00,226.2
68,2023-01-01 22:00:00,214.1
69,2023-01-01 22:15:00,226.4
70,2023-01-01 22:30:00,226.6
71,2023-01-01 22:45:00,227.9
72,2023-01-01 23:00:00,242.9
73,2023-01-01 23:15:00,249.5
74,2023-01-01 23:30:00,237.0
75,2023-01-01 23:45:00,222.1
76,2023-01-02 00:00:00,181.6
77,2023-01-02 00:15:00,240.5
78,2023-01-02 00:30:00,203.6
79,2023-01-02 00:45:00,221.7
80,2023-01-02 01:00:00,204.5
81,2023-01-02 01:15:00,207.8
82,2023-01-02 01:30:00,193.7
83,2023-01-02 01:45:00,208.7
84,2023-01-02 02:00:00,204.5
85,2023-01-02 02:15:00,198.0
86,2023-01-02 02:30:00,202.0
87,2023-01-02 02:45:00,204.6
88,2023-01-02 03:00:00,193.8
89,2023-01-02 03:15:00,198.0
90,2023-01-02 03:30:00,192.3
91,2023-01-02 03:45:00,193.1
92,2023-01-02 04:00:00,193.0
93,2023-01-02 04:15:00,197.5
94,2023-01-02 04:30:00,191.4
95,2023-01-02 04:45:00,211.4
96,2023-01-02 05:00:00,191.9
97,2023-01-02 05:15:00,194.1
98,2023-01-02 05:30:00,191.7
99,2023-01-02 05:45:00,191.0
100,2023-01-02 06:00:00,194.3
101,2023-01-02 06:15:00,194.8
102,2023-01-02 06:30:00,192.4
103,2023-01-02 06:45:00,197.6
104,2023-01-02 07:00:00,202.0
105,2023-01-02 07:15:00,220.0
106,2023-01-02 07:30:00,200.1
107,2023-01-02 07:45:00,197.6
108,2023-01-02 08:00:00,197.6
109,2023-01-02 08:15:00,199.6
110,2023-01-02 08:30:00,200.0
111,2023-01-02 08:45:00,196.5
112,2023-01-02 09:00:00,195.8
113,2023-01-02 09:15:00,193.1
114,2023-01-02 09:30:00,199.3
115,2023-01-02 09:45:00,186.7
116,2023-01-02 10:00:00,235.3
117,2023-01-02 10:15:00,236.3
118,2023-01-02 10:30:00,237.4
119,2023-01-02 10:45:00,227.5
120,2023-01-02 11:00:00,241.2
121,2023-01-02 11:15:00,235.6
122,2023-01-02 11:30:00,248.6
123,2023-01-02 11:45:00,250.0
124,2023-01-02 12:00:00,233.6
125,2023-01-02 12:15:00,229.3
126,2023-01-02 12:30:00,228.2
127,2023-01-02 12:45:00,230.6
128,2023-01-02 13:00:00,224.9
129,2023-01-02 13:15:00,228.2
130,2023-01-02 13:30:00,230.6
131,2023-01-02 13:45:00,250.1
132,2023-01-02 14:00:00,264.2
133,2023-01-02 14:15:00,225.3
134,2023-01-02 14:30:00,228.4
135,2023-01-02 14:45:00,230.3
136,2023-01-02 15:00:00,225.5
137,2023-01-02 15:15:00,225.7
138,2023-01-02 15:30:00,225.9
139,2023-01-02 15:45:00,206.7
140,2023-01-02 16:00:00,249.5
141,2023-01-02 16:15:00,229.0
142,2023-01-02 16:30:00,207.1
143,2023-01-02 16:45:00,224.4
144,2023-01-02 17:00:00,228.0
145,2023-01-02 17:15:00,225.5
146,2023-01-02 17:30:00,227.2
147,2023-01-02 17:45:00,224.4
148,2023-01-02 18:00:00,230.7
149,2023-01-02 18:15:00,231.2
150,2023-01-02 18:30:00,222.0
151,2023-01-02 18:45:00,228.5
152,2023-01-02 19:00:00,223.8
153,2023-01-02 19:15:00,231.3
154,2023-01-02 19:30:00,258.4
155,2023-01-02 19:45:00,234.7
156,2023-01-02 20:00:00,227.2
157,2023-01-02 20:15:00,224.4
158,2023-01-02 20:30:00,216.1
159,2023-01-02 20:45:00,225.8
160,2023-01-02 21:00:00,228.5
161,2023-01-02 21:15:00,225.3
162,2023-01-02 21:30:00,223.5
163,2023-01-02 21:45:00,231.5
164,2023-01-02 22:00:00,226.7
165,2023-01-02 22:15:00,224.3
166,2023-01-02 22:30:00,244.5
167,2023-01-02 22:45:00,225.6
168,2023-01-02 23:00:00,233.5
169,2023-01-02 23:15:00,224.3
