Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,4.2
1,2023-01-01 05:15:00,2.7
2,2023-01-01 05:30:00,3.0
3,2023-01-01 05:45:00,4.2
4,2023-01-01 06:00:00,2.6
5,2023-01-01 06:15:00,4.2
6,2023-01-01 06:30:00,3.0
7,2023-01-01 06:45:00,3.8
8,2023-01-01 07:00:00,3.0
9,2023-01-01 07:15:00,4.2
10,2023-01-01 07:30:00,2.6
11,2023-01-01 07:45:00,4.3
12,2023-01-01 08:00:00,3.0
13,2023-01-01 08:15:00,4.2
14,2023-01-01 08:30:00,2.7
15,2023-01-01 08:45:00,3.0
16,2023-01-01 09:00:00,4.2
17,2023-01-01 09:15:00,3.0
18,2023-01-01 09:30:00,4.2
19,2023-01-01 09:45:00,3.0
20,2023-01-01 10:00:00,4.6
21,2023-01-01 10:15:00,3.0
22,2023-01-01 10:30:00,4.2
23,2023-01-01 10:45:00,3.0
24,2023-01-01 11:00:00,4.7
25,2023-01-01 11:15:00,3.0
26,2023-01-01 11:30:00,4.6
27,2023-01-01 11:45:00,3.0
28,2023-01-01 12:00:00,6.9
29,2023-01-01 12:15:00,5.2
30,2023-01-01 12:30:00,5.8
31,2023-01-01 12:45:00,4.5
32,2023-01-01 13:00:00,5.3
33,2023-01-01 13:15:00,4.3
34,2023-01-01 13:30:00,5.5
35,2023-01-01 13:45:00,4.3
36,2023-01-01 14:00:00,5.4
37,2023-01-01 14:15:00,3.7
38,2023-01-01 14:30:00,5.5
39,2023-01-01 14:45:00,3.3
40,2023-01-01 15:00:00,5.5
41,2023-01-01 15:15:00,3.5
42,2023-01-01 15:30:00,5.5
43,2023-01-01 15:45:00,3.1
44,2023-01-01 16:00:00,5.1
45,2023-01-01 16:15:00,3.4
46,2023-01-01 16:30:00,5.2
47,2023-01-01 16:45:00,2.9
48,2023-01-01 17:00:00,4.7
49,2023-01-01 17:15:00,3.3
50,2023-01-01 17:30:00,4.6
51,2023-01-01 17:45:00,3.3
52,2023-01-01 18:00:00,4.5
53,2023-01-01 18:15:00,3.2
54,2023-01-01 18:30:00,4.5
55,2023-01-01 18:45:00,3.2
56,2023-01-01 19:00:00,4.1
57,2023-01-01 19:15:00,3.2
58,2023-01-01 19:30:00,4.5
59,2023-01-01 19:45:00,3.2
60,2023-01-01 20:00:00,4.7
61,2023-01-01 20:15:00,3.9
62,2023-01-01 20:30:00,4.9
63,2023-01-01 20:45:00,3.9
64,2023-01-01 21:00:00,4.9
65,2023-01-01 21:15:00,3.5
66,2023-01-01 21:30:00,3.6
67,2023-01-01 21:45:00,5.1
68,2023-01-01 22:00:00,3.6
69,2023-01-01 22:15:00,4.8
70,2023-01-01 22:30:00,3.7
71,2023-01-01 22:45:00,5.3
72,2023-01-01 23:00:00,3.7
73,2023-01-01 23:15:00,4.8
74,2023-01-01 23:30:00,3.7
75,2023-01-01 23:45:00,5.2
76,2023-01-02 00:00:00,3.7
77,2023-01-02 00:15:00,5.2
78,2023-01-02 00:30:00,3.7
79,2023-01-02 00:45:00,5.3
80,2023-01-02 01:00:00,3.7
81,2023-01-02 01:15:00,5.2
82,2023-01-02 01:30:00,3.3
83,2023-01-02 01:45:00,5.2
84,2023-01-02 02:00:00,3.6
85,2023-01-02 02:15:00,5.1
86,2023-01-02 02:30:00,3.2
87,2023-01-02 02:45:00,5.1
88,2023-01-02 03:00:00,3.7
89,2023-01-02 03:15:00,5.2
90,2023-01-02 03:30:00,3.3
91,2023-01-02 03:45:00,5.3
92,2023-01-02 04:00:00,3.6
93,2023-01-02 04:15:00,4.4
94,2023-01-02 04:30:00,2.7
95,2023-01-02 04:45:00,4.4
96,2023-01-02 05:00:00,3.2
97,2023-01-02 05:15:00,4.4
98,2023-01-02 05:30:00,3.2
99,2023-01-02 05:45:00,4.4
100,2023-01-02 06:00:00,3.2
101,2023-01-02 06:15:00,4.0
102,2023-01-02 06:30:00,3.2
103,2023-01-02 06:45:00,4.4
104,2023-01-02 07:00:00,3.2
105,2023-01-02 07:15:00,4.4
106,2023-01-02 07:30:00,3.1
107,2023-01-02 07:45:00,4.4
108,2023-01-02 08:00:00,2.7
109,2023-01-02 08:15:00,4.3
110,2023-01-02 08:30:00,3.1
111,2023-01-02 08:45:00,4.3
112,2023-01-02 09:00:00,2.7
113,2023-01-02 09:15:00,4.3
114,2023-01-02 09:30:00,3.1
115,2023-01-02 09:45:00,4.6
116,2023-01-02 10:00:00,3.1
117,2023-01-02 10:15:00,4.6
118,2023-01-02 10:30:00,3.1
119,2023-01-02 10:45:00,4.5
120,2023-01-02 11:00:00,3.1
121,2023-01-02 11:15:00,4.1
122,2023-01-02 11:30:00,4.4
123,2023-01-02 11:45:00,4.7
124,2023-01-02 12:00:00,5.8
125,2023-01-02 12:15:00,6.4
126,2023-01-02 12:30:00,5.8
127,2023-01-02 12:45:00,4.1
128,2023-01-02 13:00:00,5.8
129,2023-01-02 13:15:00,4.0
130,2023-01-02 13:30:00,5.5
131,2023-01-02 13:45:00,3.8
132,2023-01-02 14:00:00,5.5
133,2023-01-02 14:15:00,4.8
134,2023-01-02 14:30:00,6.1
135,2023-01-02 14:45:00,4.3
136,2023-01-02 15:00:00,6.0
137,2023-01-02 15:15:00,3.4
138,2023-01-02 15:30:00,4.8
139,2023-01-02 15:45:00,3.0
140,2023-01-02 16:00:00,4.8
141,2023-01-02 16:15:00,3.3
142,2023-01-02 16:30:00,4.6
143,2023-01-02 16:45:00,3.4
144,2023-01-02 17:00:00,4.6
145,2023-01-02 17:15:00,3.4
146,2023-01-02 17:30:00,4.2
147,2023-01-02 17:45:00,3.8
148,2023-01-02 18:00:00,4.5
149,2023-01-02 18:15:00,3.7
150,2023-01-02 18:30:00,4.5
151,2023-01-02 18:45:00,3.4
152,2023-01-02 19:00:00,4.6
153,2023-01-02 19:15:00,4.1
154,2023-01-02 19:30:00,3.3
155,2023-01-02 19:45:00,4.6
156,2023-01-02 20:00:00,4.1
157,2023-01-02 20:15:00,4.5
158,2023-01-02 20:30:00,3.3
159,2023-01-02 20:45:00,4.8
160,2023-01-02 21:00:00,2.9
161,2023-01-02 21:15:00,3.5
162,2023-01-02 21:30:00,4.4
163,2023-01-02 21:45:00,4.9
164,2023-01-02 22:00:00,3.3
165,2023-01-02 22:15:00,3.6
166,2023-01-02 22:30:00,4.5
167,2023-01-02 22:45:00,3.6
168,2023-01-02 23:00:00,4.1
169,2023-01-02 23:15:00,5.0
170,2023-01-02 23:30:00,4.9
171,2023-01-02 23:45:00,3.7
172,2023-01-03 00:00:00,4.8
173,2023-01-03 00:15:00,3.8
174,2023-01-03 00:30:00,5.2
175,2023-01-03 00:45:00,3.7
176,2023-01-03 01:00:00,5.1
177,2023-01-03 01:15:00,4.9
178,2023-01-03 01:30:00,4.0
179,2023-01-03 01:45:00,5.2
180,2023-01-03 02:00:00,3.9
181,2023-01-03 02:15:00,5.3
182,2023-01-03 02:30:00,4.0
183,2023-01-03 02:45:00,5.3
184,2023-01-03 03:00:00,5.3
185,2023-01-03 03:15:00,4.2
186,2023-01-03 03:30:00,5.2
187,2023-01-03 03:45:00,4.2
188,2023-01-03 04:00:00,5.1
189,2023-01-03 04:15:00,3.3
190,2023-01-03 04:30:00,4.4
191,2023-01-03 04:45:00,3.2
192,2023-01-03 05:00:00,4.4
193,2023-01-03 05:15:00,4.5
194,2023-01-03 05:30:00,3.1
195,2023-01-03 05:45:00,4.4
196,2023-01-03 06:00:00,3.1
197,2023-01-03 06:15:00,4.0
198,2023-01-03 06:30:00,3.2
199,2023-01-03 06:45:00,4.4
200,2023-01-03 07:00:00,3.2
201,2023-01-03 07:15:00,4.4
202,2023-01-03 07:30:00,3.6
203,2023-01-03 07:45:00,4.5
204,2023-01-03 08:00:00,3.6
205,2023-01-03 08:15:00,4.4
206,2023-01-03 08:30:00,3.5
207,2023-01-03 08:45:00,4.4
208,2023-01-03 09:00:00,3.5
209,2023-01-03 09:15:00,4.3
210,2023-01-03 09:30:00,3.5
211,2023-01-03 09:45:00,5.0
212,2023-01-03 10:00:00,3.5
213,2023-01-03 10:15:00,4.9
214,2023-01-03 10:30:00,3.4
215,2023-01-03 10:45:00,5.0
216,2023-01-03 11:00:00,3.4
217,2023-01-03 11:15:00,5.0
218,2023-01-03 11:30:00,3.5
219,2023-01-03 11:45:00,4.6
220,2023-01-03 12:00:00,5.8
221,2023-01-03 12:15:00,6.4
222,2023-01-03 12:30:00,4.6
223,2023-01-03 12:45:00,5.9
224,2023-01-03 13:00:00,4.3
225,2023-01-03 13:15:00,5.2
226,2023-01-03 13:30:00,3.9
227,2023-01-03 13:45:00,5.3
228,2023-01-03 14:00:00,4.4
229,2023-01-03 14:15:00,5.3
230,2023-01-03 14:30:00,5.4
231,2023-01-03 14:45:00,3.6
232,2023-01-03 15:00:00,5.1
233,2023-01-03 15:15:00,3.5
234,2023-01-03 15:30:00,3.8
235,2023-01-03 15:45:00,4.8
236,2023-01-03 16:00:00,3.4
237,2023-01-03 16:15:00,4.4
238,2023-01-03 16:30:00,3.9
239,2023-01-03 16:45:00,4.5
240,2023-01-03 17:00:00,4.3
241,2023-01-03 17:15:00,3.6
242,2023-01-03 17:30:00,4.7
243,2023-01-03 17:45:00,4.6
244,2023-01-03 18:00:00,4.3
245,2023-01-03 18:15:00,3.3
246,2023-01-03 18:30:00,3.4
247,2023-01-03 18:45:00,4.5
248,2023-01-03 19:00:00,3.4
249,2023-01-03 19:15:00,4.4
250,2023-01-03 19:30:00,3.4
251,2023-01-03 19:45:00,4.1
252,2023-01-03 20:00:00,3.5
253,2023-01-03 20:15:00,4.5
254,2023-01-03 20:30:00,3.1
255,2023-01-03 20:45:00,4.4
256,2023-01-03 21:00:00,4.7
257,2023-01-03 21:15:00,2.9
258,2023-01-03 21:30:00,4.6
259,2023-01-03 21:45:00,3.2
260,2023-01-03 22:00:00,4.1
261,2023-01-03 22:15:00,3.3
262,2023-01-03 22:30:00,4.6
263,2023-01-03 22:45:00,4.1
264,2023-01-03 23:00:00,3.5
265,2023-01-03 23:15:00,4.5
266,2023-01-03 23:30:00,3.5
267,2023-01-03 23:45:00,4.5
268,2023-01-04 00:00:00,3.4
269,2023-01-04 00:15:00,4.2
270,2023-01-04 00:30:00,4.6
271,2023-01-04 00:45:00,3.3
272,2023-01-04 01:00:00,4.4
273,2023-01-04 01:15:00,3.2
274,2023-01-04 01:30:00,3.2
275,2023-01-04 01:45:00,4.0
276,2023-01-04 02:00:00,3.3
277,2023-01-04 02:15:00,3.3
278,2023-01-04 02:30:00,3.3
279,2023-01-04 02:45:00,4.6
280,2023-01-04 03:00:00,4.1
281,2023-01-04 03:15:00,3.6
282,2023-01-04 03:30:00,4.8
283,2023-01-04 03:45:00,4.6
284,2023-01-04 04:00:00,5.1
285,2023-01-04 04:15:00,4.3
286,2023-01-04 04:30:00,3.1
287,2023-01-04 04:45:00,3.1
288,2023-01-04 05:00:00,4.5
289,2023-01-04 05:15:00,6.0
290,2023-01-04 05:30:00,4.3
291,2023-01-04 05:45:00,5.9
292,2023-01-04 06:00:00,4.3
293,2023-01-04 06:15:00,3.1
294,2023-01-04 06:30:00,4.4
295,2023-01-04 06:45:00,4.4
296,2023-01-04 07:00:00,3.1
297,2023-01-04 07:15:00,4.3
298,2023-01-04 07:30:00,4.4
299,2023-01-04 07:45:00,4.4
300,2023-01-04 08:00:00,3.1
