Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,60.9
1,2023-01-01 05:15:00,57.9
2,2023-01-01 05:30:00,56.5
3,2023-01-01 05:45:00,55.6
4,2023-01-01 06:00:00,56.1
5,2023-01-01 06:15:00,56.1
6,2023-01-01 06:30:00,58.8
7,2023-01-01 06:45:00,55.3
8,2023-01-01 07:00:00,57.0
9,2023-01-01 07:15:00,56.0
10,2023-01-01 07:30:00,57.9
11,2023-01-01 07:45:00,56.1
12,2023-01-01 08:00:00,55.6
13,2023-01-01 08:15:00,54.4
14,2023-01-01 08:30:00,54.6
15,2023-01-01 08:45:00,55.2
16,2023-01-01 09:00:00,54.9
17,2023-01-01 09:15:00,57.7
18,2023-01-01 09:30:00,54.0
19,2023-01-01 09:45:00,56.7
20,2023-01-01 10:00:00,54.3
21,2023-01-01 10:15:00,62.6
22,2023-01-01 10:30:00,55.0
23,2023-01-01 10:45:00,55.3
24,2023-01-01 11:00:00,54.0
25,2023-01-01 11:15:00,56.5
26,2023-01-01 11:30:00,56.6
27,2023-01-01 11:45:00,54.7
28,2023-01-01 12:00:00,60.2
29,2023-01-01 12:15:00,64.0
30,2023-01-01 12:30:00,65.9
31,2023-01-01 12:45:00,64.4
32,2023-01-01 13:00:00,63.5
33,2023-01-01 13:15:00,62.3
34,2023-01-01 13:30:00,65.9
35,2023-01-01 13:45:00,62.2
36,2023-01-01 14:00:00,62.8
37,2023-01-01 14:15:00,61.0
38,2023-01-01 14:30:00,62.5
39,2023-01-01 14:45:00,61.8
40,2023-01-01 15:00:00,62.0
41,2023-01-01 15:15:00,62.4
42,2023-01-01 15:30:00,61.2
43,2023-01-01 15:45:00,63.1
44,2023-01-01 16:00:00,61.5
45,2023-01-01 16:15:00,63.8
46,2023-01-01 16:30:00,61.5
47,2023-01-01 16:45:00,76.3
48,2023-01-01 17:00:00,60.3
49,2023-01-01 17:15:00,61.5
50,2023-01-01 17:30:00,59.4
51,2023-01-01 17:45:00,60.2
52,2023-01-01 18:00:00,62.5
53,2023-01-01 18:15:00,61.5
54,2023-01-01 18:30:00,62.9
55,2023-01-01 18:45:00,59.5
56,2023-01-01 19:00:00,62.2
57,2023-01-01 19:15:00,61.9
58,2023-01-01 19:30:00,62.9
59,2023-01-01 19:45:00,60.7
60,2023-01-01 20:00:00,60.7
61,2023-01-01 20:15:00,61.0
62,2023-01-01 20:30:00,60.2
63,2023-01-01 20:45:00,61.7
64,2023-01-01 21:00:00,60.0
65,2023-01-01 21:15:00,59.2
66,2023-01-01 21:30:00,64.4
67,2023-01-01 21:45:00,64.3
68,2023-01-01 22:00:00,64.3
69,2023-01-01 22:15:00,66.0
70,2023-01-01 22:30:00,69.7
71,2023-01-01 22:45:00,70.3
72,2023-01-01 23:00:00,67.8
73,2023-01-01 23:15:00,63.1
74,2023-01-01 23:30:00,65.2
75,2023-01-01 23:45:00,64.0
76,2023-01-02 00:00:00,63.1
77,2023-01-02 00:15:00,64.2
78,2023-01-02 00:30:00,66.7
79,2023-01-02 00:45:00,64.1
80,2023-01-02 01:00:00,68.2
81,2023-01-02 01:15:00,64.5
82,2023-01-02 01:30:00,68.7
83,2023-01-02 01:45:00,70.0
84,2023-01-02 02:00:00,69.5
85,2023-01-02 02:15:00,63.1
86,2023-01-02 02:30:00,63.9
87,2023-01-02 02:45:00,64.8
88,2023-01-02 03:00:00,61.3
89,2023-01-02 03:15:00,58.7
90,2023-01-02 03:30:00,55.9
91,2023-01-02 03:45:00,59.8
92,2023-01-02 04:00:00,58.1
93,2023-01-02 04:15:00,59.2
94,2023-01-02 04:30:00,57.4
95,2023-01-02 04:45:00,57.1
96,2023-01-02 05:00:00,59.1
97,2023-01-02 05:15:00,56.2
98,2023-01-02 05:30:00,57.7
99,2023-01-02 05:45:00,58.4
100,2023-01-02 06:00:00,58.0
101,2023-01-02 06:15:00,55.4
102,2023-01-02 06:30:00,58.7
103,2023-01-02 06:45:00,58.0
104,2023-01-02 07:00:00,58.9
105,2023-01-02 07:15:00,54.8
106,2023-01-02 07:30:00,55.2
107,2023-01-02 07:45:00,55.1
108,2023-01-02 08:00:00,56.9
109,2023-01-02 08:15:00,57.5
110,2023-01-02 08:30:00,56.5
111,2023-01-02 08:45:00,57.6
112,2023-01-02 09:00:00,56.3
113,2023-01-02 09:15:00,58.1
114,2023-01-02 09:30:00,55.3
115,2023-01-02 09:45:00,56.2
116,2023-01-02 10:00:00,55.7
117,2023-01-02 10:15:00,58.3
118,2023-01-02 10:30:00,58.3
119,2023-01-02 10:45:00,57.1
120,2023-01-02 11:00:00,55.5
121,2023-01-02 11:15:00,58.3
122,2023-01-02 11:30:00,55.6
123,2023-01-02 11:45:00,59.4
124,2023-01-02 12:00:00,59.3
125,2023-01-02 12:15:00,63.6
126,2023-01-02 12:30:00,62.8
127,2023-01-02 12:45:00,60.9
128,2023-01-02 13:00:00,61.0
129,2023-01-02 13:15:00,60.7
