Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,206.7
1,2023-01-01 05:15:00,195.9
2,2023-01-01 05:30:00,192.1
3,2023-01-01 05:45:00,192.7
4,2023-01-01 06:00:00,192.1
5,2023-01-01 06:15:00,195.4
6,2023-01-01 06:30:00,196.8
7,2023-01-01 06:45:00,196.7
8,2023-01-01 07:00:00,195.0
9,2023-01-01 07:15:00,197.3
10,2023-01-01 07:30:00,195.5
11,2023-01-01 07:45:00,196.2
12,2023-01-01 08:00:00,197.4
13,2023-01-01 08:15:00,195.2
14,2023-01-01 08:30:00,197.7
15,2023-01-01 08:45:00,195.9
16,2023-01-01 09:00:00,197.2
17,2023-01-01 09:15:00,194.4
18,2023-01-01 09:30:00,208.6
19,2023-01-01 09:45:00,198.6
20,2023-01-01 10:00:00,200.4
21,2023-01-01 10:15:00,190.7
22,2023-01-01 10:30:00,191.9
23,2023-01-01 10:45:00,190.9
24,2023-01-01 11:00:00,206.3
25,2023-01-01 11:15:00,194.0
26,2023-01-01 11:30:00,192.2
27,2023-01-01 11:45:00,194.5
28,2023-01-01 12:00:00,197.5
29,2023-01-01 12:15:00,195.5
30,2023-01-01 12:30:00,196.9
31,2023-01-01 12:45:00,193.3
32,2023-01-01 13:00:00,194.2
33,2023-01-01 13:15:00,191.3
34,2023-01-01 13:30:00,194.6
35,2023-01-01 13:45:00,190.9
36,2023-01-01 14:00:00,200.4
37,2023-01-01 14:15:00,191.2
38,2023-01-01 14:30:00,192.4
39,2023-01-01 14:45:00,195.6
40,2023-01-01 15:00:00,190.5
41,2023-01-01 15:15:00,205.2
42,2023-01-01 15:30:00,202.0
43,2023-01-01 15:45:00,203.3
44,2023-01-01 16:00:00,204.3
45,2023-01-01 16:15:00,208.6
46,2023-01-01 16:30:00,203.6
47,2023-01-01 16:45:00,202.6
48,2023-01-01 17:00:00,208.6
49,2023-01-01 17:15:00,206.2
50,2023-01-01 17:30:00,204.6
51,2023-01-01 17:45:00,208.2
52,2023-01-01 18:00:00,213.8
53,2023-01-01 18:15:00,209.2
54,2023-01-01 18:30:00,211.8
55,2023-01-01 18:45:00,212.2
56,2023-01-01 19:00:00,227.4
57,2023-01-01 19:15:00,214.1
58,2023-01-01 19:30:00,216.4
59,2023-01-01 19:45:00,210.8
60,2023-01-01 20:00:00,208.6
61,2023-01-01 20:15:00,214.3
62,2023-01-01 20:30:00,206.8
63,2023-01-01 20:45:00,210.1
64,2023-01-01 21:00:00,210.0
65,2023-01-01 21:15:00,210.0
66,2023-01-01 21:30:00,213.7
67,2023-01-01 21:45:00,209.5
68,2023-01-01 22:00:00,212.0
69,2023-01-01 22:15:00,206.4
70,2023-01-01 22:30:00,208.4
71,2023-01-01 22:45:00,208.9
72,2023-01-01 23:00:00,211.1
73,2023-01-01 23:15:00,210.9
74,2023-01-01 23:30:00,212.8
75,2023-01-01 23:45:00,209.9
76,2023-01-02 00:00:00,208.4
77,2023-01-02 00:15:00,207.8
78,2023-01-02 00:30:00,207.9
79,2023-01-02 00:45:00,214.9
80,2023-01-02 01:00:00,202.7
81,2023-01-02 01:15:00,208.0
82,2023-01-02 01:30:00,205.7
83,2023-01-02 01:45:00,204.9
84,2023-01-02 02:00:00,210.0
85,2023-01-02 02:15:00,198.7
86,2023-01-02 02:30:00,223.3
87,2023-01-02 02:45:00,206.9
88,2023-01-02 03:00:00,209.2
89,2023-01-02 03:15:00,214.7
90,2023-01-02 03:30:00,216.4
91,2023-01-02 03:45:00,210.5
92,2023-01-02 04:00:00,217.4
93,2023-01-02 04:15:00,210.5
94,2023-01-02 04:30:00,202.8
95,2023-01-02 04:45:00,211.9
96,2023-01-02 05:00:00,204.6
97,2023-01-02 05:15:00,206.0
98,2023-01-02 05:30:00,204.0
99,2023-01-02 05:45:00,207.1
100,2023-01-02 06:00:00,205.8
101,2023-01-02 06:15:00,211.2
102,2023-01-02 06:30:00,207.0
103,2023-01-02 06:45:00,209.8
104,2023-01-02 07:00:00,212.2
105,2023-01-02 07:15:00,206.8
106,2023-01-02 07:30:00,206.1
107,2023-01-02 07:45:00,207.3
108,2023-01-02 08:00:00,204.8
109,2023-01-02 08:15:00,202.8
110,2023-01-02 08:30:00,211.4
111,2023-01-02 08:45:00,209.1
112,2023-01-02 09:00:00,205.7
113,2023-01-02 09:15:00,206.2
114,2023-01-02 09:30:00,198.4
115,2023-01-02 09:45:00,220.9
116,2023-01-02 10:00:00,205.1
117,2023-01-02 10:15:00,208.8
118,2023-01-02 10:30:00,209.3
119,2023-01-02 10:45:00,212.5
120,2023-01-02 11:00:00,212.3
121,2023-01-02 11:15:00,206.1
122,2023-01-02 11:30:00,215.3
123,2023-01-02 11:45:00,211.8
124,2023-01-02 12:00:00,212.1
125,2023-01-02 12:15:00,218.6
126,2023-01-02 12:30:00,213.0
127,2023-01-02 12:45:00,214.9
128,2023-01-02 13:00:00,212.1
129,2023-01-02 13:15:00,208.9
130,2023-01-02 13:30:00,211.2
131,2023-01-02 13:45:00,207.4
132,2023-01-02 14:00:00,209.0
133,2023-01-02 14:15:00,208.1
134,2023-01-02 14:30:00,218.6
135,2023-01-02 14:45:00,205.7
136,2023-01-02 15:00:00,210.6
137,2023-01-02 15:15:00,210.9
138,2023-01-02 15:30:00,212.8
139,2023-01-02 15:45:00,216.6
140,2023-01-02 16:00:00,216.8
141,2023-01-02 16:15:00,211.8
142,2023-01-02 16:30:00,218.9
143,2023-01-02 16:45:00,220.4
144,2023-01-02 17:00:00,218.6
145,2023-01-02 17:15:00,218.2
146,2023-01-02 17:30:00,219.0
147,2023-01-02 17:45:00,221.7
148,2023-01-02 18:00:00,212.4
149,2023-01-02 18:15:00,215.5
150,2023-01-02 18:30:00,215.9
151,2023-01-02 18:45:00,210.9
152,2023-01-02 19:00:00,213.0
153,2023-01-02 19:15:00,209.5
154,2023-01-02 19:30:00,218.7
155,2023-01-02 19:45:00,210.7
156,2023-01-02 20:00:00,213.1
157,2023-01-02 20:15:00,214.9
158,2023-01-02 20:30:00,215.0
