Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,126.2
1,2023-01-01 05:15:00,121.5
2,2023-01-01 05:30:00,115.9
3,2023-01-01 05:45:00,122.6
4,2023-01-01 06:00:00,115.4
5,2023-01-01 06:15:00,110.8
6,2023-01-01 06:30:00,137.4
7,2023-01-01 06:45:00,130.4
8,2023-01-01 07:00:00,124.5
9,2023-01-01 07:15:00,116.2
10,2023-01-01 07:30:00,116.8
11,2023-01-01 07:45:00,118.2
12,2023-01-01 08:00:00,126.8
13,2023-01-01 08:15:00,121.3
14,2023-01-01 08:30:00,117.1
15,2023-01-01 08:45:00,116.3
16,2023-01-01 09:00:00,122.0
17,2023-01-01 09:15:00,127.0
18,2023-01-01 09:30:00,116.8
19,2023-01-01 09:45:00,119.4
20,2023-01-01 10:00:00,119.7
21,2023-01-01 10:15:00,130.1
22,2023-01-01 10:30:00,112.4
23,2023-01-01 10:45:00,115.4
24,2023-01-01 11:00:00,127.5
25,2023-01-01 11:15:00,125.6
26,2023-01-01 11:30:00,127.5
27,2023-01-01 11:45:00,126.2
28,2023-01-01 12:00:00,123.8
29,2023-01-01 12:15:00,127.6
30,2023-01-01 12:30:00,123.5
31,2023-01-01 12:45:00,122.0
32,2023-01-01 13:00:00,120.9
33,2023-01-01 13:15:00,121.0
34,2023-01-01 13:30:00,117.3
35,2023-01-01 13:45:00,117.3
36,2023-01-01 14:00:00,117.7
37,2023-01-01 14:15:00,122.8
38,2023-01-01 14:30:00,126.2
39,2023-01-01 14:45:00,121.5
40,2023-01-01 15:00:00,126.4
41,2023-01-01 15:15:00,132.4
42,2023-01-01 15:30:00,120.5
43,2023-01-01 15:45:00,122.5
44,2023-01-01 16:00:00,123.1
45,2023-01-01 16:15:00,122.7
46,2023-01-01 16:30:00,117.1
47,2023-01-01 16:45:00,118.4
48,2023-01-01 17:00:00,117.2
49,2023-01-01 17:15:00,122.3
50,2023-01-01 17:30:00,121.4
51,2023-01-01 17:45:00,119.8
52,2023-01-01 18:00:00,114.5
53,2023-01-01 18:15:00,122.9
54,2023-01-01 18:30:00,118.4
55,2023-01-01 18:45:00,108.4
56,2023-01-01 19:00:00,115.7
57,2023-01-01 19:15:00,122.9
58,2023-01-01 19:30:00,120.4
59,2023-01-01 19:45:00,114.4
60,2023-01-01 20:00:00,111.8
61,2023-01-01 20:15:00,120.9
62,2023-01-01 20:30:00,119.9
63,2023-01-01 20:45:00,121.6
64,2023-01-01 21:00:00,120.2
65,2023-01-01 21:15:00,122.2
66,2023-01-01 21:30:00,115.6
67,2023-01-01 21:45:00,116.5
68,2023-01-01 22:00:00,122.2
69,2023-01-01 22:15:00,125.5
70,2023-01-01 22:30:00,117.4
71,2023-01-01 22:45:00,121.6
72,2023-01-01 23:00:00,132.7
73,2023-01-01 23:15:00,116.8
74,2023-01-01 23:30:00,118.9
75,2023-01-01 23:45:00,119.4
76,2023-01-02 00:00:00,126.9
77,2023-01-02 00:15:00,139.4
78,2023-01-02 00:30:00,124.1
79,2023-01-02 00:45:00,124.3
80,2023-01-02 01:00:00,127.9
81,2023-01-02 01:15:00,123.9
82,2023-01-02 01:30:00,117.4
83,2023-01-02 01:45:00,123.7
84,2023-01-02 02:00:00,127.9
85,2023-01-02 02:15:00,120.1
86,2023-01-02 02:30:00,122.5
87,2023-01-02 02:45:00,125.1
88,2023-01-02 03:00:00,123.1
89,2023-01-02 03:15:00,116.1
90,2023-01-02 03:30:00,119.2
91,2023-01-02 03:45:00,120.6
92,2023-01-02 04:00:00,121.0
93,2023-01-02 04:15:00,121.6
94,2023-01-02 04:30:00,145.3
95,2023-01-02 04:45:00,124.6
96,2023-01-02 05:00:00,119.2
97,2023-01-02 05:15:00,117.8
98,2023-01-02 05:30:00,119.9
99,2023-01-02 05:45:00,128.1
100,2023-01-02 06:00:00,115.8
101,2023-01-02 06:15:00,123.2
102,2023-01-02 06:30:00,119.7
103,2023-01-02 06:45:00,127.7
104,2023-01-02 07:00:00,120.7
105,2023-01-02 07:15:00,111.9
106,2023-01-02 07:30:00,126.9
107,2023-01-02 07:45:00,127.6
108,2023-01-02 08:00:00,132.1
109,2023-01-02 08:15:00,120.1
110,2023-01-02 08:30:00,123.4
111,2023-01-02 08:45:00,129.4
112,2023-01-02 09:00:00,118.8
113,2023-01-02 09:15:00,115.5
114,2023-01-02 09:30:00,116.1
115,2023-01-02 09:45:00,124.9
116,2023-01-02 10:00:00,125.7
117,2023-01-02 10:15:00,122.9
118,2023-01-02 10:30:00,124.5
119,2023-01-02 10:45:00,120.2
120,2023-01-02 11:00:00,118.7
121,2023-01-02 11:15:00,123.3
122,2023-01-02 11:30:00,126.2
123,2023-01-02 11:45:00,123.0
124,2023-01-02 12:00:00,126.0
125,2023-01-02 12:15:00,127.8
126,2023-01-02 12:30:00,127.7
127,2023-01-02 12:45:00,116.1
128,2023-01-02 13:00:00,116.8
129,2023-01-02 13:15:00,122.7
130,2023-01-02 13:30:00,120.6
131,2023-01-02 13:45:00,120.9
132,2023-01-02 14:00:00,125.8
133,2023-01-02 14:15:00,117.7
134,2023-01-02 14:30:00,117.4
135,2023-01-02 14:45:00,124.8
136,2023-01-02 15:00:00,119.5
137,2023-01-02 15:15:00,115.0
138,2023-01-02 15:30:00,121.5
139,2023-01-02 15:45:00,121.0
140,2023-01-02 16:00:00,119.7
141,2023-01-02 16:15:00,118.1
142,2023-01-02 16:30:00,138.8
143,2023-01-02 16:45:00,122.5
144,2023-01-02 17:00:00,124.4
145,2023-01-02 17:15:00,118.9
146,2023-01-02 17:30:00,124.4
147,2023-01-02 17:45:00,126.7
148,2023-01-02 18:00:00,119.0
149,2023-01-02 18:15:00,114.4
150,2023-01-02 18:30:00,119.9
151,2023-01-02 18:45:00,119.5
152,2023-01-02 19:00:00,119.6
153,2023-01-02 19:15:00,120.2
154,2023-01-02 19:30:00,118.4
155,2023-01-02 19:45:00,122.7
156,2023-01-02 20:00:00,119.2
157,2023-01-02 20:15:00,121.2
158,2023-01-02 20:30:00,121.7
159,2023-01-02 20:45:00,118.4
160,2023-01-02 21:00:00,122.4
161,2023-01-02 21:15:00,113.4
162,2023-01-02 21:30:00,111.9
163,2023-01-02 21:45:00,118.7
164,2023-01-02 22:00:00,134.2
165,2023-01-02 22:15:00,125.0
166,2023-01-02 22:30:00,118.6
167,2023-01-02 22:45:00,129.2
