Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,149.5
1,2023-01-01 05:15:00,159.0
2,2023-01-01 05:30:00,166.2
3,2023-01-01 05:45:00,157.5
4,2023-01-01 06:00:00,155.2
5,2023-01-01 06:15:00,158.1
6,2023-01-01 06:30:00,154.7
7,2023-01-01 06:45:00,150.8
8,2023-01-01 07:00:00,154.9
9,2023-01-01 07:15:00,151.0
10,2023-01-01 07:30:00,155.4
11,2023-01-01 07:45:00,147.4
12,2023-01-01 08:00:00,152.9
13,2023-01-01 08:15:00,169.2
14,2023-01-01 08:30:00,159.2
15,2023-01-01 08:45:00,156.6
16,2023-01-01 09:00:00,164.9
17,2023-01-01 09:15:00,157.8
18,2023-01-01 09:30:00,162.1
19,2023-01-01 09:45:00,170.4
20,2023-01-01 10:00:00,164.2
21,2023-01-01 10:15:00,158.5
22,2023-01-01 10:30:00,154.5
23,2023-01-01 10:45:00,159.6
24,2023-01-01 11:00:00,171.0
25,2023-01-01 11:15:00,176.9
26,2023-01-01 11:30:00,176.5
27,2023-01-01 11:45:00,182.2
28,2023-01-01 12:00:00,179.2
29,2023-01-01 12:15:00,175.8
30,2023-01-01 12:30:00,173.9
31,2023-01-01 12:45:00,182.3
32,2023-01-01 13:00:00,176.1
33,2023-01-01 13:15:00,170.3
34,2023-01-01 13:30:00,176.0
35,2023-01-01 13:45:00,171.4
36,2023-01-01 14:00:00,174.1
37,2023-01-01 14:15:00,169.3
38,2023-01-01 14:30:00,173.6
39,2023-01-01 14:45:00,170.2
40,2023-01-01 15:00:00,167.2
41,2023-01-01 15:15:00,167.0
42,2023-01-01 15:30:00,164.7
43,2023-01-01 15:45:00,161.6
44,2023-01-01 16:00:00,158.1
45,2023-01-01 16:15:00,158.5
46,2023-01-01 16:30:00,167.0
47,2023-01-01 16:45:00,142.6
48,2023-01-01 17:00:00,162.6
49,2023-01-01 17:15:00,172.7
50,2023-01-01 17:30:00,146.3
51,2023-01-01 17:45:00,158.5
52,2023-01-01 18:00:00,158.5
53,2023-01-01 18:15:00,169.7
54,2023-01-01 18:30:00,178.4
55,2023-01-01 18:45:00,171.9
56,2023-01-01 19:00:00,162.3
57,2023-01-01 19:15:00,181.2
58,2023-01-01 19:30:00,173.2
59,2023-01-01 19:45:00,164.0
60,2023-01-01 20:00:00,177.4
61,2023-01-01 20:15:00,173.4
62,2023-01-01 20:30:00,187.4
63,2023-01-01 20:45:00,176.0
64,2023-01-01 21:00:00,176.9
65,2023-01-01 21:15:00,183.0
66,2023-01-01 21:30:00,181.3
67,2023-01-01 21:45:00,171.2
68,2023-01-01 22:00:00,185.6
69,2023-01-01 22:15:00,188.1
70,2023-01-01 22:30:00,176.9
71,2023-01-01 22:45:00,189.1
72,2023-01-01 23:00:00,191.3
73,2023-01-01 23:15:00,180.5
74,2023-01-01 23:30:00,181.3
75,2023-01-01 23:45:00,184.5
76,2023-01-02 00:00:00,182.9
77,2023-01-02 00:15:00,184.1
78,2023-01-02 00:30:00,189.1
79,2023-01-02 00:45:00,181.1
80,2023-01-02 01:00:00,173.5
81,2023-01-02 01:15:00,162.8
82,2023-01-02 01:30:00,169.6
83,2023-01-02 01:45:00,169.0
84,2023-01-02 02:00:00,153.5
85,2023-01-02 02:15:00,147.9
86,2023-01-02 02:30:00,154.6
87,2023-01-02 02:45:00,147.3
88,2023-01-02 03:00:00,160.8
89,2023-01-02 03:15:00,161.5
90,2023-01-02 03:30:00,154.9
91,2023-01-02 03:45:00,160.3
92,2023-01-02 04:00:00,162.8
93,2023-01-02 04:15:00,154.1
94,2023-01-02 04:30:00,154.4
95,2023-01-02 04:45:00,151.8
96,2023-01-02 05:00:00,159.7
97,2023-01-02 05:15:00,160.1
98,2023-01-02 05:30:00,154.0
99,2023-01-02 05:45:00,160.3
100,2023-01-02 06:00:00,154.8
101,2023-01-02 06:15:00,148.3
102,2023-01-02 06:30:00,163.2
103,2023-01-02 06:45:00,157.3
104,2023-01-02 07:00:00,157.6
105,2023-01-02 07:15:00,156.1
106,2023-01-02 07:30:00,150.1
107,2023-01-02 07:45:00,158.1
108,2023-01-02 08:00:00,169.7
109,2023-01-02 08:15:00,158.8
110,2023-01-02 08:30:00,158.0
111,2023-01-02 08:45:00,154.8
112,2023-01-02 09:00:00,164.6
113,2023-01-02 09:15:00,190.1
114,2023-01-02 09:30:00,177.1
115,2023-01-02 09:45:00,173.2
116,2023-01-02 10:00:00,177.5
117,2023-01-02 10:15:00,177.2
118,2023-01-02 10:30:00,172.3
119,2023-01-02 10:45:00,181.9
120,2023-01-02 11:00:00,191.1
121,2023-01-02 11:15:00,182.4
122,2023-01-02 11:30:00,170.3
123,2023-01-02 11:45:00,180.6
124,2023-01-02 12:00:00,183.1
125,2023-01-02 12:15:00,177.3
126,2023-01-02 12:30:00,181.2
127,2023-01-02 12:45:00,173.8
128,2023-01-02 13:00:00,167.9
129,2023-01-02 13:15:00,168.1
130,2023-01-02 13:30:00,164.6
131,2023-01-02 13:45:00,174.7
132,2023-01-02 14:00:00,171.0
133,2023-01-02 14:15:00,171.4
134,2023-01-02 14:30:00,163.1
135,2023-01-02 14:45:00,173.0
136,2023-01-02 15:00:00,172.8
137,2023-01-02 15:15:00,163.5
138,2023-01-02 15:30:00,166.0
139,2023-01-02 15:45:00,163.9
140,2023-01-02 16:00:00,160.8
141,2023-01-02 16:15:00,168.6
142,2023-01-02 16:30:00,175.3
143,2023-01-02 16:45:00,159.8
144,2023-01-02 17:00:00,172.2
145,2023-01-02 17:15:00,166.4
146,2023-01-02 17:30:00,178.9
147,2023-01-02 17:45:00,175.2
148,2023-01-02 18:00:00,173.6
149,2023-01-02 18:15:00,173.0
150,2023-01-02 18:30:00,177.0
151,2023-01-02 18:45:00,166.4
152,2023-01-02 19:00:00,175.8
153,2023-01-02 19:15:00,179.3
154,2023-01-02 19:30:00,176.4
155,2023-01-02 19:45:00,183.0
156,2023-01-02 20:00:00,175.4
157,2023-01-02 20:15:00,180.9
158,2023-01-02 20:30:00,187.2
159,2023-01-02 20:45:00,181.9
160,2023-01-02 21:00:00,183.3
161,2023-01-02 21:15:00,206.5
162,2023-01-02 21:30:00,191.2
163,2023-01-02 21:45:00,199.6
164,2023-01-02 22:00:00,186.6
165,2023-01-02 22:15:00,192.7
166,2023-01-02 22:30:00,197.7
167,2023-01-02 22:45:00,188.2
168,2023-01-02 23:00:00,194.6
169,2023-01-02 23:15:00,186.9
170,2023-01-02 23:30:00,192.5
171,2023-01-02 23:45:00,191.7
172,2023-01-03 00:00:00,187.8
173,2023-01-03 00:15:00,191.5
174,2023-01-03 00:30:00,183.7
175,2023-01-03 00:45:00,189.4
176,2023-01-03 01:00:00,192.2
177,2023-01-03 01:15:00,168.7
178,2023-01-03 01:30:00,159.5
179,2023-01-03 01:45:00,165.1
180,2023-01-03 02:00:00,165.0
181,2023-01-03 02:15:00,165.0
182,2023-01-03 02:30:00,175.8
183,2023-01-03 02:45:00,174.7
184,2023-01-03 03:00:00,173.8
185,2023-01-03 03:15:00,165.1
186,2023-01-03 03:30:00,174.7
187,2023-01-03 03:45:00,162.6
188,2023-01-03 04:00:00,167.0
189,2023-01-03 04:15:00,164.9
190,2023-01-03 04:30:00,169.0
191,2023-01-03 04:45:00,167.0
192,2023-01-03 05:00:00,170.1
193,2023-01-03 05:15:00,159.8
194,2023-01-03 05:30:00,157.3
195,2023-01-03 05:45:00,166.5
196,2023-01-03 06:00:00,161.5
197,2023-01-03 06:15:00,164.8
198,2023-01-03 06:30:00,168.5
199,2023-01-03 06:45:00,160.4
200,2023-01-03 07:00:00,164.4
201,2023-01-03 07:15:00,181.0
202,2023-01-03 07:30:00,184.5
203,2023-01-03 07:45:00,169.6
204,2023-01-03 08:00:00,169.4
205,2023-01-03 08:15:00,156.3
206,2023-01-03 08:30:00,162.9
207,2023-01-03 08:45:00,170.4
208,2023-01-03 09:00:00,167.0
209,2023-01-03 09:15:00,191.7
210,2023-01-03 09:30:00,198.4
211,2023-01-03 09:45:00,190.3
212,2023-01-03 10:00:00,177.5
213,2023-01-03 10:15:00,187.0
214,2023-01-03 10:30:00,184.9
215,2023-01-03 10:45:00,184.8
216,2023-01-03 11:00:00,185.1
217,2023-01-03 11:15:00,185.7
218,2023-01-03 11:30:00,193.4
219,2023-01-03 11:45:00,213.0
220,2023-01-03 12:00:00,200.8
221,2023-01-03 12:15:00,191.8
222,2023-01-03 12:30:00,196.3
223,2023-01-03 12:45:00,202.9
224,2023-01-03 13:00:00,206.8
225,2023-01-03 13:15:00,191.7
226,2023-01-03 13:30:00,193.0
227,2023-01-03 13:45:00,185.0
228,2023-01-03 14:00:00,208.2
229,2023-01-03 14:15:00,197.0
230,2023-01-03 14:30:00,198.9
231,2023-01-03 14:45:00,208.7
232,2023-01-03 15:00:00,205.9
233,2023-01-03 15:15:00,212.3
234,2023-01-03 15:30:00,207.7
235,2023-01-03 15:45:00,209.5
236,2023-01-03 16:00:00,203.1
237,2023-01-03 16:15:00,210.5
238,2023-01-03 16:30:00,211.0
239,2023-01-03 16:45:00,203.3
240,2023-01-03 17:00:00,207.9
241,2023-01-03 17:15:00,201.0
242,2023-01-03 17:30:00,195.4
243,2023-01-03 17:45:00,198.4
244,2023-01-03 18:00:00,190.3
245,2023-01-03 18:15:00,197.4
246,2023-01-03 18:30:00,211.9
247,2023-01-03 18:45:00,192.9
248,2023-01-03 19:00:00,182.9
249,2023-01-03 19:15:00,204.1
250,2023-01-03 19:30:00,192.2
251,2023-01-03 19:45:00,204.3
252,2023-01-03 20:00:00,216.0
253,2023-01-03 20:15:00,202.7
254,2023-01-03 20:30:00,197.0
255,2023-01-03 20:45:00,213.3
256,2023-01-03 21:00:00,212.8
257,2023-01-03 21:15:00,205.8
258,2023-01-03 21:30:00,214.7
259,2023-01-03 21:45:00,206.6
260,2023-01-03 22:00:00,218.8
261,2023-01-03 22:15:00,209.5
262,2023-01-03 22:30:00,201.5
263,2023-01-03 22:45:00,200.3
264,2023-01-03 23:00:00,186.5
265,2023-01-03 23:15:00,205.6
266,2023-01-03 23:30:00,195.4
267,2023-01-03 23:45:00,193.8
268,2023-01-04 00:00:00,204.0
269,2023-01-04 00:15:00,194.7
270,2023-01-04 00:30:00,186.5
271,2023-01-04 00:45:00,188.4
272,2023-01-04 01:00:00,177.0
273,2023-01-04 01:15:00,170.9
274,2023-01-04 01:30:00,166.9
275,2023-01-04 01:45:00,166.3
276,2023-01-04 02:00:00,181.9
277,2023-01-04 02:15:00,180.7
278,2023-01-04 02:30:00,167.4
