Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,97.6
1,2023-01-01 05:15:00,84.5
2,2023-01-01 05:30:00,78.5
3,2023-01-01 05:45:00,105.2
4,2023-01-01 06:00:00,100.4
5,2023-01-01 06:15:00,95.5
6,2023-01-01 06:30:00,96.5
7,2023-01-01 06:45:00,96.0
8,2023-01-01 07:00:00,79.8
9,2023-01-01 07:15:00,78.4
10,2023-01-01 07:30:00,101.6
11,2023-01-01 07:45:00,90.3
12,2023-01-01 08:00:00,77.8
13,2023-01-01 08:15:00,95.7
14,2023-01-01 08:30:00,94.3
15,2023-01-01 08:45:00,97.1
16,2023-01-01 09:00:00,97.8
17,2023-01-01 09:15:00,81.6
18,2023-01-01 09:30:00,80.0
19,2023-01-01 09:45:00,98.4
20,2023-01-01 10:00:00,75.4
21,2023-01-01 10:15:00,81.6
22,2023-01-01 10:30:00,98.9
23,2023-01-01 10:45:00,79.4
24,2023-01-01 11:00:00,80.7
25,2023-01-01 11:15:00,80.5
26,2023-01-01 11:30:00,80.3
27,2023-01-01 11:45:00,78.8
28,2023-01-01 12:00:00,76.8
29,2023-01-01 12:15:00,83.9
30,2023-01-01 12:30:00,88.2
31,2023-01-01 12:45:00,85.1
32,2023-01-01 13:00:00,82.4
33,2023-01-01 13:15:00,82.0
34,2023-01-01 13:30:00,77.2
35,2023-01-01 13:45:00,80.6
36,2023-01-01 14:00:00,79.1
37,2023-01-01 14:15:00,77.3
38,2023-01-01 14:30:00,79.5
39,2023-01-01 14:45:00,78.4
40,2023-01-01 15:00:00,78.8
41,2023-01-01 15:15:00,79.6
42,2023-01-01 15:30:00,79.9
43,2023-01-01 15:45:00,80.4
44,2023-01-01 16:00:00,81.6
45,2023-01-01 16:15:00,85.2
46,2023-01-01 16:30:00,82.6
47,2023-01-01 16:45:00,73.4
48,2023-01-01 17:00:00,70.0
49,2023-01-01 17:15:00,66.4
50,2023-01-01 17:30:00,66.7
51,2023-01-01 17:45:00,71.2
52,2023-01-01 18:00:00,69.1
53,2023-01-01 18:15:00,66.5
54,2023-01-01 18:30:00,64.6
55,2023-01-01 18:45:00,64.0
56,2023-01-01 19:00:00,71.7
57,2023-01-01 19:15:00,75.1
58,2023-01-01 19:30:00,67.6
59,2023-01-01 19:45:00,64.6
60,2023-01-01 20:00:00,71.7
61,2023-01-01 20:15:00,69.6
62,2023-01-01 20:30:00,63.8
63,2023-01-01 20:45:00,65.9
64,2023-01-01 21:00:00,64.2
65,2023-01-01 21:15:00,71.6
66,2023-01-01 21:30:00,70.6
67,2023-01-01 21:45:00,65.3
68,2023-01-01 22:00:00,69.8
69,2023-01-01 22:15:00,72.4
70,2023-01-01 22:30:00,73.3
71,2023-01-01 22:45:00,66.4
72,2023-01-01 23:00:00,68.2
73,2023-01-01 23:15:00,78.5
74,2023-01-01 23:30:00,70.6
75,2023-01-01 23:45:00,65.8
76,2023-01-02 00:00:00,66.7
77,2023-01-02 00:15:00,79.3
78,2023-01-02 00:30:00,71.4
79,2023-01-02 00:45:00,68.9
80,2023-01-02 01:00:00,67.1
81,2023-01-02 01:15:00,79.4
82,2023-01-02 01:30:00,68.8
83,2023-01-02 01:45:00,66.4
84,2023-01-02 02:00:00,66.0
85,2023-01-02 02:15:00,68.8
86,2023-01-02 02:30:00,71.1
87,2023-01-02 02:45:00,69.5
88,2023-01-02 03:00:00,76.7
89,2023-01-02 03:15:00,74.4
90,2023-01-02 03:30:00,65.9
91,2023-01-02 03:45:00,66.7
92,2023-01-02 04:00:00,71.7
93,2023-01-02 04:15:00,68.4
94,2023-01-02 04:30:00,66.1
95,2023-01-02 04:45:00,64.6
96,2023-01-02 05:00:00,65.9
97,2023-01-02 05:15:00,71.1
98,2023-01-02 05:30:00,70.3
99,2023-01-02 05:45:00,65.5
100,2023-01-02 06:00:00,70.5
101,2023-01-02 06:15:00,74.1
102,2023-01-02 06:30:00,71.8
103,2023-01-02 06:45:00,70.9
104,2023-01-02 07:00:00,72.6
105,2023-01-02 07:15:00,75.9
106,2023-01-02 07:30:00,81.5
107,2023-01-02 07:45:00,77.1
108,2023-01-02 08:00:00,68.5
109,2023-01-02 08:15:00,70.1
110,2023-01-02 08:30:00,72.8
111,2023-01-02 08:45:00,73.4
112,2023-01-02 09:00:00,89.3
113,2023-01-02 09:15:00,76.3
114,2023-01-02 09:30:00,72.9
115,2023-01-02 09:45:00,67.0
116,2023-01-02 10:00:00,68.0
117,2023-01-02 10:15:00,73.7
118,2023-01-02 10:30:00,70.4
119,2023-01-02 10:45:00,65.0
120,2023-01-02 11:00:00,66.3
121,2023-01-02 11:15:00,81.6
122,2023-01-02 11:30:00,76.1
123,2023-01-02 11:45:00,70.0
124,2023-01-02 12:00:00,77.9
125,2023-01-02 12:15:00,83.5
126,2023-01-02 12:30:00,74.9
127,2023-01-02 12:45:00,68.0
128,2023-01-02 13:00:00,77.4
129,2023-01-02 13:15:00,78.6
130,2023-01-02 13:30:00,74.0
131,2023-01-02 13:45:00,72.1
132,2023-01-02 14:00:00,79.7
133,2023-01-02 14:15:00,79.6
134,2023-01-02 14:30:00,73.5
135,2023-01-02 14:45:00,73.5
136,2023-01-02 15:00:00,80.2
137,2023-01-02 15:15:00,82.0
138,2023-01-02 15:30:00,73.3
139,2023-01-02 15:45:00,79.2
140,2023-01-02 16:00:00,78.7
141,2023-01-02 16:15:00,73.7
142,2023-01-02 16:30:00,78.7
143,2023-01-02 16:45:00,77.1
144,2023-01-02 17:00:00,86.2
