Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,81.3
1,2023-01-01 05:15:00,81.1
2,2023-01-01 05:30:00,80.1
3,2023-01-01 05:45:00,79.8
4,2023-01-01 06:00:00,82.2
5,2023-01-01 06:15:00,78.6
6,2023-01-01 06:30:00,82.8
7,2023-01-01 06:45:00,79.2
8,2023-01-01 07:00:00,80.6
9,2023-01-01 07:15:00,79.7
10,2023-01-01 07:30:00,78.4
11,2023-01-01 07:45:00,79.9
12,2023-01-01 08:00:00,78.9
13,2023-01-01 08:15:00,80.9
14,2023-01-01 08:30:00,79.1
15,2023-01-01 08:45:00,80.3
16,2023-01-01 09:00:00,79.5
17,2023-01-01 09:15:00,78.1
18,2023-01-01 09:30:00,77.6
19,2023-01-01 09:45:00,80.9
20,2023-01-01 10:00:00,79.2
21,2023-01-01 10:15:00,78.9
22,2023-01-01 10:30:00,81.5
23,2023-01-01 10:45:00,80.3
24,2023-01-01 11:00:00,84.0
25,2023-01-01 11:15:00,87.0
26,2023-01-01 11:30:00,84.3
27,2023-01-01 11:45:00,84.3
28,2023-01-01 12:00:00,82.5
29,2023-01-01 12:15:00,84.8
30,2023-01-01 12:30:00,86.4
31,2023-01-01 12:45:00,83.5
32,2023-01-01 13:00:00,83.5
33,2023-01-01 13:15:00,83.5
34,2023-01-01 13:30:00,84.9
35,2023-01-01 13:45:00,82.5
36,2023-01-01 14:00:00,83.9
37,2023-01-01 14:15:00,82.4
38,2023-01-01 14:30:00,82.9
39,2023-01-01 14:45:00,82.4
40,2023-01-01 15:00:00,92.8
41,2023-01-01 15:15:00,84.7
42,2023-01-01 15:30:00,85.6
43,2023-01-01 15:45:00,82.6
44,2023-01-01 16:00:00,81.9
45,2023-01-01 16:15:00,83.8
46,2023-01-01 16:30:00,81.3
47,2023-01-01 16:45:00,80.8
48,2023-01-01 17:00:00,81.5
49,2023-01-01 17:15:00,81.8
50,2023-01-01 17:30:00,80.1
51,2023-01-01 17:45:00,79.2
52,2023-01-01 18:00:00,79.0
53,2023-01-01 18:15:00,80.9
54,2023-01-01 18:30:00,78.9
