Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,276.7
1,2023-01-01 05:15:00,272.9
2,2023-01-01 05:30:00,265.2
3,2023-01-01 05:45:00,263.0
4,2023-01-01 06:00:00,274.7
5,2023-01-01 06:15:00,261.5
6,2023-01-01 06:30:00,267.1
7,2023-01-01 06:45:00,282.5
8,2023-01-01 07:00:00,281.4
9,2023-01-01 07:15:00,283.3
10,2023-01-01 07:30:00,283.7
11,2023-01-01 07:45:00,284.0
12,2023-01-01 08:00:00,294.3
13,2023-01-01 08:15:00,295.7
14,2023-01-01 08:30:00,291.0
15,2023-01-01 08:45:00,279.6
16,2023-01-01 09:00:00,273.6
17,2023-01-01 09:15:00,303.8
18,2023-01-01 09:30:00,280.3
19,2023-01-01 09:45:00,306.7
20,2023-01-01 10:00:00,282.1
21,2023-01-01 10:15:00,280.0
22,2023-01-01 10:30:00,282.7
23,2023-01-01 10:45:00,282.7
24,2023-01-01 11:00:00,285.4
25,2023-01-01 11:15:00,278.1
26,2023-01-01 11:30:00,288.5
27,2023-01-01 11:45:00,277.2
28,2023-01-01 12:00:00,280.7
29,2023-01-01 12:15:00,282.7
30,2023-01-01 12:30:00,287.4
31,2023-01-01 12:45:00,287.0
32,2023-01-01 13:00:00,286.0
33,2023-01-01 13:15:00,299.8
34,2023-01-01 13:30:00,290.3
35,2023-01-01 13:45:00,286.2
36,2023-01-01 14:00:00,286.5
37,2023-01-01 14:15:00,288.5
38,2023-01-01 14:30:00,296.6
39,2023-01-01 14:45:00,288.0
40,2023-01-01 15:00:00,286.5
41,2023-01-01 15:15:00,287.3
42,2023-01-01 15:30:00,286.2
43,2023-01-01 15:45:00,286.9
44,2023-01-01 16:00:00,285.9
45,2023-01-01 16:15:00,295.9
46,2023-01-01 16:30:00,295.4
47,2023-01-01 16:45:00,295.3
48,2023-01-01 17:00:00,293.9
49,2023-01-01 17:15:00,289.9
50,2023-01-01 17:30:00,283.4
51,2023-01-01 17:45:00,293.5
52,2023-01-01 18:00:00,292.6
53,2023-01-01 18:15:00,300.6
54,2023-01-01 18:30:00,302.2
55,2023-01-01 18:45:00,300.0
56,2023-01-01 19:00:00,302.0
57,2023-01-01 19:15:00,314.7
58,2023-01-01 19:30:00,307.8
59,2023-01-01 19:45:00,307.5
60,2023-01-01 20:00:00,306.0
61,2023-01-01 20:15:00,299.3
62,2023-01-01 20:30:00,302.3
63,2023-01-01 20:45:00,307.1
64,2023-01-01 21:00:00,297.8
65,2023-01-01 21:15:00,307.7
66,2023-01-01 21:30:00,302.0
67,2023-01-01 21:45:00,282.5
68,2023-01-01 22:00:00,293.6
69,2023-01-01 22:15:00,307.1
70,2023-01-01 22:30:00,301.9
71,2023-01-01 22:45:00,305.5
72,2023-01-01 23:00:00,317.2
73,2023-01-01 23:15:00,300.0
74,2023-01-01 23:30:00,305.1
75,2023-01-01 23:45:00,286.3
76,2023-01-02 00:00:00,286.3
77,2023-01-02 00:15:00,284.2
78,2023-01-02 00:30:00,281.6
79,2023-01-02 00:45:00,282.6
80,2023-01-02 01:00:00,278.2
81,2023-01-02 01:15:00,294.5
82,2023-01-02 01:30:00,303.9
83,2023-01-02 01:45:00,286.1
84,2023-01-02 02:00:00,285.9
85,2023-01-02 02:15:00,285.5
86,2023-01-02 02:30:00,301.1
87,2023-01-02 02:45:00,285.8
88,2023-01-02 03:00:00,288.5
89,2023-01-02 03:15:00,286.4
90,2023-01-02 03:30:00,287.4
91,2023-01-02 03:45:00,281.3
92,2023-01-02 04:00:00,287.0
93,2023-01-02 04:15:00,286.9
94,2023-01-02 04:30:00,284.8
95,2023-01-02 04:45:00,283.7
96,2023-01-02 05:00:00,282.5
97,2023-01-02 05:15:00,289.4
98,2023-01-02 05:30:00,308.0
99,2023-01-02 05:45:00,280.7
100,2023-01-02 06:00:00,279.1
101,2023-01-02 06:15:00,271.2
102,2023-01-02 06:30:00,286.8
103,2023-01-02 06:45:00,284.1
104,2023-01-02 07:00:00,294.8
105,2023-01-02 07:15:00,276.6
106,2023-01-02 07:30:00,293.4
107,2023-01-02 07:45:00,288.7
108,2023-01-02 08:00:00,292.2
109,2023-01-02 08:15:00,300.6
110,2023-01-02 08:30:00,291.9
111,2023-01-02 08:45:00,291.8
112,2023-01-02 09:00:00,283.8
113,2023-01-02 09:15:00,288.4
114,2023-01-02 09:30:00,291.0
115,2023-01-02 09:45:00,290.0
116,2023-01-02 10:00:00,287.9
117,2023-01-02 10:15:00,295.8
118,2023-01-02 10:30:00,282.1
119,2023-01-02 10:45:00,279.0
120,2023-01-02 11:00:00,287.9
121,2023-01-02 11:15:00,287.7
122,2023-01-02 11:30:00,285.0
123,2023-01-02 11:45:00,280.6
124,2023-01-02 12:00:00,292.5
125,2023-01-02 12:15:00,298.7
126,2023-01-02 12:30:00,297.7
127,2023-01-02 12:45:00,303.3
128,2023-01-02 13:00:00,290.5
129,2023-01-02 13:15:00,295.5
130,2023-01-02 13:30:00,295.0
131,2023-01-02 13:45:00,291.3
132,2023-01-02 14:00:00,285.0
133,2023-01-02 14:15:00,293.9
134,2023-01-02 14:30:00,298.7
135,2023-01-02 14:45:00,288.4
136,2023-01-02 15:00:00,297.9
137,2023-01-02 15:15:00,303.0
138,2023-01-02 15:30:00,303.8
139,2023-01-02 15:45:00,305.9
140,2023-01-02 16:00:00,287.9
141,2023-01-02 16:15:00,281.7
142,2023-01-02 16:30:00,296.0
143,2023-01-02 16:45:00,302.8
144,2023-01-02 17:00:00,296.2
145,2023-01-02 17:15:00,303.3
146,2023-01-02 17:30:00,303.0
147,2023-01-02 17:45:00,294.8
148,2023-01-02 18:00:00,313.1
149,2023-01-02 18:15:00,299.7
150,2023-01-02 18:30:00,297.4
151,2023-01-02 18:45:00,304.4
152,2023-01-02 19:00:00,293.5
153,2023-01-02 19:15:00,307.1
154,2023-01-02 19:30:00,309.4
155,2023-01-02 19:45:00,290.7
156,2023-01-02 20:00:00,299.7
157,2023-01-02 20:15:00,306.7
158,2023-01-02 20:30:00,284.9
159,2023-01-02 20:45:00,302.8
160,2023-01-02 21:00:00,318.6
161,2023-01-02 21:15:00,306.9
162,2023-01-02 21:30:00,289.9
163,2023-01-02 21:45:00,303.9
164,2023-01-02 22:00:00,309.7
165,2023-01-02 22:15:00,295.7
166,2023-01-02 22:30:00,290.1
167,2023-01-02 22:45:00,296.6
168,2023-01-02 23:00:00,308.7
169,2023-01-02 23:15:00,310.8
170,2023-01-02 23:30:00,329.3
171,2023-01-02 23:45:00,304.4
172,2023-01-03 00:00:00,315.5
173,2023-01-03 00:15:00,309.0
174,2023-01-03 00:30:00,292.8
175,2023-01-03 00:45:00,291.6
176,2023-01-03 01:00:00,301.8
177,2023-01-03 01:15:00,309.1
178,2023-01-03 01:30:00,301.7
179,2023-01-03 01:45:00,303.1
180,2023-01-03 02:00:00,286.9
181,2023-01-03 02:15:00,285.5
182,2023-01-03 02:30:00,305.0
183,2023-01-03 02:45:00,293.5
184,2023-01-03 03:00:00,371.3
185,2023-01-03 03:15:00,298.0
186,2023-01-03 03:30:00,294.6
187,2023-01-03 03:45:00,299.1
188,2023-01-03 04:00:00,300.8
189,2023-01-03 04:15:00,300.0
190,2023-01-03 04:30:00,294.7
191,2023-01-03 04:45:00,291.4
192,2023-01-03 05:00:00,288.3
193,2023-01-03 05:15:00,299.0
194,2023-01-03 05:30:00,296.6
195,2023-01-03 05:45:00,301.9
196,2023-01-03 06:00:00,303.7
197,2023-01-03 06:15:00,296.2
198,2023-01-03 06:30:00,294.4
199,2023-01-03 06:45:00,288.4
200,2023-01-03 07:00:00,299.6
201,2023-01-03 07:15:00,297.9
202,2023-01-03 07:30:00,281.1
203,2023-01-03 07:45:00,303.5
204,2023-01-03 08:00:00,297.8
205,2023-01-03 08:15:00,302.8
206,2023-01-03 08:30:00,306.3
207,2023-01-03 08:45:00,302.0
208,2023-01-03 09:00:00,307.3
209,2023-01-03 09:15:00,293.1
210,2023-01-03 09:30:00,288.9
211,2023-01-03 09:45:00,296.9
212,2023-01-03 10:00:00,298.3
213,2023-01-03 10:15:00,303.0
214,2023-01-03 10:30:00,291.1
215,2023-01-03 10:45:00,300.4
216,2023-01-03 11:00:00,311.8
217,2023-01-03 11:15:00,311.7
218,2023-01-03 11:30:00,331.3
219,2023-01-03 11:45:00,318.1
220,2023-01-03 12:00:00,323.6
