Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,24.2
1,2023-01-01 05:15:00,25.8
2,2023-01-01 05:30:00,24.6
3,2023-01-01 05:45:00,24.6
4,2023-01-01 06:00:00,24.1
5,2023-01-01 06:15:00,24.3
6,2023-01-01 06:30:00,27.1
7,2023-01-01 06:45:00,23.7
8,2023-01-01 07:00:00,24.3
9,2023-01-01 07:15:00,24.1
10,2023-01-01 07:30:00,25.1
11,2023-01-01 07:45:00,26.2
12,2023-01-01 08:00:00,24.0
13,2023-01-01 08:15:00,24.6
14,2023-01-01 08:30:00,23.5
15,2023-01-01 08:45:00,24.2
16,2023-01-01 09:00:00,24.2
17,2023-01-01 09:15:00,26.4
18,2023-01-01 09:30:00,24.2
19,2023-01-01 09:45:00,24.0
20,2023-01-01 10:00:00,24.6
21,2023-01-01 10:15:00,26.3
22,2023-01-01 10:30:00,25.9
23,2023-01-01 10:45:00,24.8
24,2023-01-01 11:00:00,24.6
25,2023-01-01 11:15:00,25.8
26,2023-01-01 11:30:00,24.5
27,2023-01-01 11:45:00,24.4
28,2023-01-01 12:00:00,24.6
29,2023-01-01 12:15:00,25.8
30,2023-01-01 12:30:00,24.9
31,2023-01-01 12:45:00,24.9
32,2023-01-01 13:00:00,24.6
33,2023-01-01 13:15:00,24.1
34,2023-01-01 13:30:00,24.2
35,2023-01-01 13:45:00,23.4
36,2023-01-01 14:00:00,23.3
37,2023-01-01 14:15:00,21.0
38,2023-01-01 14:30:00,23.5
39,2023-01-01 14:45:00,23.7
40,2023-01-01 15:00:00,22.6
41,2023-01-01 15:15:00,23.5
42,2023-01-01 15:30:00,23.6
43,2023-01-01 15:45:00,23.2
44,2023-01-01 16:00:00,23.6
45,2023-01-01 16:15:00,21.9
46,2023-01-01 16:30:00,22.1
47,2023-01-01 16:45:00,22.8
48,2023-01-01 17:00:00,21.9
49,2023-01-01 17:15:00,22.4
50,2023-01-01 17:30:00,23.0
51,2023-01-01 17:45:00,21.6
52,2023-01-01 18:00:00,21.6
53,2023-01-01 18:15:00,22.6
54,2023-01-01 18:30:00,21.9
55,2023-01-01 18:45:00,22.1
56,2023-01-01 19:00:00,21.9
57,2023-01-01 19:15:00,22.3
58,2023-01-01 19:30:00,21.7
59,2023-01-01 19:45:00,23.7
60,2023-01-01 20:00:00,25.9
61,2023-01-01 20:15:00,22.0
62,2023-01-01 20:30:00,21.4
63,2023-01-01 20:45:00,22.8
64,2023-01-01 21:00:00,22.1
65,2023-01-01 21:15:00,21.7
66,2023-01-01 21:30:00,22.0
67,2023-01-01 21:45:00,31.3
68,2023-01-01 22:00:00,26.8
69,2023-01-01 22:15:00,24.9
70,2023-01-01 22:30:00,35.4
71,2023-01-01 22:45:00,28.6
72,2023-01-01 23:00:00,28.5
73,2023-01-01 23:15:00,34.6
74,2023-01-01 23:30:00,27.0
75,2023-01-01 23:45:00,27.4
76,2023-01-02 00:00:00,33.4
77,2023-01-02 00:15:00,26.8
78,2023-01-02 00:30:00,28.2
79,2023-01-02 00:45:00,33.3
80,2023-01-02 01:00:00,24.8
81,2023-01-02 01:15:00,25.7
82,2023-01-02 01:30:00,31.0
83,2023-01-02 01:45:00,24.9
84,2023-01-02 02:00:00,25.9
85,2023-01-02 02:15:00,30.8
86,2023-01-02 02:30:00,25.0
87,2023-01-02 02:45:00,25.5
88,2023-01-02 03:00:00,31.2
89,2023-01-02 03:15:00,24.5
90,2023-01-02 03:30:00,25.0
91,2023-01-02 03:45:00,31.6
92,2023-01-02 04:00:00,25.3
93,2023-01-02 04:15:00,25.7
94,2023-01-02 04:30:00,31.1
95,2023-01-02 04:45:00,26.9
96,2023-01-02 05:00:00,26.9
97,2023-01-02 05:15:00,33.0
98,2023-01-02 05:30:00,26.9
99,2023-01-02 05:45:00,27.3
100,2023-01-02 06:00:00,32.8
101,2023-01-02 06:15:00,24.1
102,2023-01-02 06:30:00,25.2
103,2023-01-02 06:45:00,24.7
104,2023-01-02 07:00:00,24.3
105,2023-01-02 07:15:00,28.0
106,2023-01-02 07:30:00,24.9
107,2023-01-02 07:45:00,23.9
108,2023-01-02 08:00:00,24.7
109,2023-01-02 08:15:00,24.8
110,2023-01-02 08:30:00,24.1
111,2023-01-02 08:45:00,24.6
112,2023-01-02 09:00:00,23.8
113,2023-01-02 09:15:00,24.1
114,2023-01-02 09:30:00,25.0
115,2023-01-02 09:45:00,24.3
116,2023-01-02 10:00:00,26.6
117,2023-01-02 10:15:00,27.8
118,2023-01-02 10:30:00,27.0
119,2023-01-02 10:45:00,25.0
120,2023-01-02 11:00:00,24.7
121,2023-01-02 11:15:00,25.9
122,2023-01-02 11:30:00,24.9
123,2023-01-02 11:45:00,24.8
124,2023-01-02 12:00:00,25.4
125,2023-01-02 12:15:00,26.1
126,2023-01-02 12:30:00,25.7
127,2023-01-02 12:45:00,25.8
128,2023-01-02 13:00:00,22.6
129,2023-01-02 13:15:00,22.7
130,2023-01-02 13:30:00,23.0
131,2023-01-02 13:45:00,22.0
132,2023-01-02 14:00:00,22.4
133,2023-01-02 14:15:00,22.8
134,2023-01-02 14:30:00,21.8
135,2023-01-02 14:45:00,22.2
136,2023-01-02 15:00:00,22.5
137,2023-01-02 15:15:00,21.5
138,2023-01-02 15:30:00,21.7
139,2023-01-02 15:45:00,22.9
140,2023-01-02 16:00:00,21.8
141,2023-01-02 16:15:00,29.8
142,2023-01-02 16:30:00,23.3
143,2023-01-02 16:45:00,22.5
144,2023-01-02 17:00:00,31.4
145,2023-01-02 17:15:00,23.9
146,2023-01-02 17:30:00,25.7
147,2023-01-02 17:45:00,31.8
148,2023-01-02 18:00:00,24.1
149,2023-01-02 18:15:00,23.7
150,2023-01-02 18:30:00,30.8
151,2023-01-02 18:45:00,23.6
152,2023-01-02 19:00:00,23.6
153,2023-01-02 19:15:00,24.9
154,2023-01-02 19:30:00,23.4
155,2023-01-02 19:45:00,22.1
156,2023-01-02 20:00:00,23.2
157,2023-01-02 20:15:00,21.8
158,2023-01-02 20:30:00,22.3
159,2023-01-02 20:45:00,22.1
160,2023-01-02 21:00:00,21.4
161,2023-01-02 21:15:00,21.8
162,2023-01-02 21:30:00,22.5
163,2023-01-02 21:45:00,24.0
164,2023-01-02 22:00:00,24.9
165,2023-01-02 22:15:00,25.5
166,2023-01-02 22:30:00,25.7
167,2023-01-02 22:45:00,24.9
168,2023-01-02 23:00:00,25.2
169,2023-01-02 23:15:00,25.0
170,2023-01-02 23:30:00,25.3
171,2023-01-02 23:45:00,25.2
172,2023-01-03 00:00:00,26.4
173,2023-01-03 00:15:00,25.6
174,2023-01-03 00:30:00,25.0
175,2023-01-03 00:45:00,26.7
176,2023-01-03 01:00:00,27.9
177,2023-01-03 01:15:00,27.3
178,2023-01-03 01:30:00,25.7
179,2023-01-03 01:45:00,25.2
180,2023-01-03 02:00:00,25.8
181,2023-01-03 02:15:00,26.6
182,2023-01-03 02:30:00,25.5
183,2023-01-03 02:45:00,24.9
184,2023-01-03 03:00:00,26.8
185,2023-01-03 03:15:00,25.2
186,2023-01-03 03:30:00,30.8
187,2023-01-03 03:45:00,25.9
188,2023-01-03 04:00:00,25.0
189,2023-01-03 04:15:00,32.5
190,2023-01-03 04:30:00,24.6
191,2023-01-03 04:45:00,25.9
192,2023-01-03 05:00:00,32.3
193,2023-01-03 05:15:00,26.3
194,2023-01-03 05:30:00,26.6
195,2023-01-03 05:45:00,35.1
196,2023-01-03 06:00:00,25.9
197,2023-01-03 06:15:00,25.1
198,2023-01-03 06:30:00,30.4
199,2023-01-03 06:45:00,24.7
200,2023-01-03 07:00:00,24.3
201,2023-01-03 07:15:00,24.1
202,2023-01-03 07:30:00,26.4
203,2023-01-03 07:45:00,25.8
204,2023-01-03 08:00:00,25.3
205,2023-01-03 08:15:00,24.1
206,2023-01-03 08:30:00,24.9
207,2023-01-03 08:45:00,24.9
208,2023-01-03 09:00:00,26.0
209,2023-01-03 09:15:00,25.1
210,2023-01-03 09:30:00,24.8
211,2023-01-03 09:45:00,24.6
212,2023-01-03 10:00:00,24.9
213,2023-01-03 10:15:00,24.7
214,2023-01-03 10:30:00,26.0
215,2023-01-03 10:45:00,25.8
216,2023-01-03 11:00:00,25.2
217,2023-01-03 11:15:00,25.8
218,2023-01-03 11:30:00,25.5
219,2023-01-03 11:45:00,24.9
220,2023-01-03 12:00:00,26.1
221,2023-01-03 12:15:00,25.5
222,2023-01-03 12:30:00,26.9
223,2023-01-03 12:45:00,25.4
224,2023-01-03 13:00:00,25.4
225,2023-01-03 13:15:00,26.1
226,2023-01-03 13:30:00,23.2
227,2023-01-03 13:45:00,24.6
228,2023-01-03 14:00:00,23.9
229,2023-01-03 14:15:00,22.4
230,2023-01-03 14:30:00,24.6
231,2023-01-03 14:45:00,24.8
232,2023-01-03 15:00:00,23.7
233,2023-01-03 15:15:00,23.5
234,2023-01-03 15:30:00,22.3
235,2023-01-03 15:45:00,22.2
236,2023-01-03 16:00:00,21.8
237,2023-01-03 16:15:00,22.6
238,2023-01-03 16:30:00,22.1
239,2023-01-03 16:45:00,22.5
240,2023-01-03 17:00:00,22.8
241,2023-01-03 17:15:00,23.1
242,2023-01-03 17:30:00,21.7
243,2023-01-03 17:45:00,22.5
244,2023-01-03 18:00:00,24.0
245,2023-01-03 18:15:00,21.8
246,2023-01-03 18:30:00,22.8
247,2023-01-03 18:45:00,21.7
248,2023-01-03 19:00:00,23.9
249,2023-01-03 19:15:00,30.0
250,2023-01-03 19:30:00,23.7
251,2023-01-03 19:45:00,24.0
252,2023-01-03 20:00:00,28.6
253,2023-01-03 20:15:00,22.4
254,2023-01-03 20:30:00,21.8
255,2023-01-03 20:45:00,28.1
256,2023-01-03 21:00:00,22.9
257,2023-01-03 21:15:00,22.6
258,2023-01-03 21:30:00,29.1
259,2023-01-03 21:45:00,25.8
260,2023-01-03 22:00:00,25.2
261,2023-01-03 22:15:00,24.8
262,2023-01-03 22:30:00,26.0
263,2023-01-03 22:45:00,25.6
264,2023-01-03 23:00:00,24.9
265,2023-01-03 23:15:00,25.4
266,2023-01-03 23:30:00,25.4
267,2023-01-03 23:45:00,25.7
268,2023-01-04 00:00:00,25.9
269,2023-01-04 00:15:00,25.9
270,2023-01-04 00:30:00,27.0
271,2023-01-04 00:45:00,27.5
272,2023-01-04 01:00:00,30.7
273,2023-01-04 01:15:00,26.5
274,2023-01-04 01:30:00,25.4
275,2023-01-04 01:45:00,31.3
276,2023-01-04 02:00:00,25.8
277,2023-01-04 02:15:00,25.5
278,2023-01-04 02:30:00,32.4
279,2023-01-04 02:45:00,25.0
280,2023-01-04 03:00:00,24.9
281,2023-01-04 03:15:00,33.7
282,2023-01-04 03:30:00,24.8
283,2023-01-04 03:45:00,25.8
284,2023-01-04 04:00:00,32.6
285,2023-01-04 04:15:00,24.9
286,2023-01-04 04:30:00,25.3
287,2023-01-04 04:45:00,33.9
288,2023-01-04 05:00:00,27.2
289,2023-01-04 05:15:00,26.7
290,2023-01-04 05:30:00,33.0
291,2023-01-04 05:45:00,25.9
292,2023-01-04 06:00:00,24.5
293,2023-01-04 06:15:00,30.9
294,2023-01-04 06:30:00,25.9
295,2023-01-04 06:45:00,24.3
296,2023-01-04 07:00:00,31.0
297,2023-01-04 07:15:00,25.6
298,2023-01-04 07:30:00,26.0
299,2023-01-04 07:45:00,30.9
300,2023-01-04 08:00:00,25.2
301,2023-01-04 08:15:00,23.9
302,2023-01-04 08:30:00,31.3
303,2023-01-04 08:45:00,26.0
304,2023-01-04 09:00:00,25.9
305,2023-01-04 09:15:00,31.2
306,2023-01-04 09:30:00,24.8
307,2023-01-04 09:45:00,24.1
308,2023-01-04 10:00:00,32.3
309,2023-01-04 10:15:00,26.2
310,2023-01-04 10:30:00,25.0
311,2023-01-04 10:45:00,31.9
312,2023-01-04 11:00:00,25.1
