Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,137.2
1,2023-01-01 05:15:00,139.7
2,2023-01-01 05:30:00,135.5
3,2023-01-01 05:45:00,150.0
4,2023-01-01 06:00:00,155.3
5,2023-01-01 06:15:00,142.7
6,2023-01-01 06:30:00,142.4
7,2023-01-01 06:45:00,152.7
8,2023-01-01 07:00:00,154.7
9,2023-01-01 07:15:00,139.8
10,2023-01-01 07:30:00,136.2
11,2023-01-01 07:45:00,143.7
12,2023-01-01 08:00:00,157.0
13,2023-01-01 08:15:00,142.9
14,2023-01-01 08:30:00,136.9
15,2023-01-01 08:45:00,136.1
16,2023-01-01 09:00:00,141.5
17,2023-01-01 09:15:00,158.4
18,2023-01-01 09:30:00,151.1
19,2023-01-01 09:45:00,135.6
20,2023-01-01 10:00:00,142.3
21,2023-01-01 10:15:00,142.5
22,2023-01-01 10:30:00,153.0
23,2023-01-01 10:45:00,154.7
24,2023-01-01 11:00:00,138.7
25,2023-01-01 11:15:00,110.0
26,2023-01-01 11:30:00,124.4
27,2023-01-01 11:45:00,153.1
28,2023-01-01 12:00:00,142.1
29,2023-01-01 12:15:00,135.1
30,2023-01-01 12:30:00,142.8
31,2023-01-01 12:45:00,154.6
32,2023-01-01 13:00:00,149.1
33,2023-01-01 13:15:00,131.7
34,2023-01-01 13:30:00,132.7
35,2023-01-01 13:45:00,138.5
36,2023-01-01 14:00:00,151.3
37,2023-01-01 14:15:00,149.1
38,2023-01-01 14:30:00,135.9
39,2023-01-01 14:45:00,130.7
40,2023-01-01 15:00:00,130.9
41,2023-01-01 15:15:00,148.1
42,2023-01-01 15:30:00,160.1
43,2023-01-01 15:45:00,130.9
44,2023-01-01 16:00:00,134.7
45,2023-01-01 16:15:00,142.5
46,2023-01-01 16:30:00,154.2
47,2023-01-01 16:45:00,145.8
48,2023-01-01 17:00:00,136.6
49,2023-01-01 17:15:00,142.5
50,2023-01-01 17:30:00,152.2
51,2023-01-01 17:45:00,152.0
52,2023-01-01 18:00:00,154.9
53,2023-01-01 18:15:00,111.5
54,2023-01-01 18:30:00,131.1
55,2023-01-01 18:45:00,156.2
56,2023-01-01 19:00:00,148.1
57,2023-01-01 19:15:00,142.9
58,2023-01-01 19:30:00,140.6
59,2023-01-01 19:45:00,139.8
60,2023-01-01 20:00:00,146.7
61,2023-01-01 20:15:00,152.6
62,2023-01-01 20:30:00,137.6
63,2023-01-01 20:45:00,137.1
64,2023-01-01 21:00:00,144.1
65,2023-01-01 21:15:00,153.6
66,2023-01-01 21:30:00,150.7
67,2023-01-01 21:45:00,137.6
68,2023-01-01 22:00:00,140.9
69,2023-01-01 22:15:00,137.4
70,2023-01-01 22:30:00,150.8
71,2023-01-01 22:45:00,156.5
72,2023-01-01 23:00:00,137.8
73,2023-01-01 23:15:00,140.0
74,2023-01-01 23:30:00,147.6
75,2023-01-01 23:45:00,153.9
76,2023-01-02 00:00:00,150.1
77,2023-01-02 00:15:00,145.6
78,2023-01-02 00:30:00,138.4
79,2023-01-02 00:45:00,149.6
80,2023-01-02 01:00:00,157.2
81,2023-01-02 01:15:00,141.4
82,2023-01-02 01:30:00,136.0
83,2023-01-02 01:45:00,140.5
84,2023-01-02 02:00:00,141.3
85,2023-01-02 02:15:00,153.0
86,2023-01-02 02:30:00,135.9
87,2023-01-02 02:45:00,144.8
88,2023-01-02 03:00:00,141.3
89,2023-01-02 03:15:00,153.4
90,2023-01-02 03:30:00,152.5
91,2023-01-02 03:45:00,144.2
92,2023-01-02 04:00:00,139.9
93,2023-01-02 04:15:00,136.2
94,2023-01-02 04:30:00,160.7
95,2023-01-02 04:45:00,136.8
96,2023-01-02 05:00:00,113.7
97,2023-01-02 05:15:00,143.4
98,2023-01-02 05:30:00,153.2
99,2023-01-02 05:45:00,149.1
100,2023-01-02 06:00:00,143.2
101,2023-01-02 06:15:00,143.3
102,2023-01-02 06:30:00,136.7
103,2023-01-02 06:45:00,157.2
104,2023-01-02 07:00:00,153.0
105,2023-01-02 07:15:00,113.4
106,2023-01-02 07:30:00,117.9
107,2023-01-02 07:45:00,141.4
108,2023-01-02 08:00:00,151.0
109,2023-01-02 08:15:00,152.0
110,2023-01-02 08:30:00,140.7
111,2023-01-02 08:45:00,109.8
112,2023-01-02 09:00:00,131.9
113,2023-01-02 09:15:00,157.8
114,2023-01-02 09:30:00,151.4
115,2023-01-02 09:45:00,138.1
116,2023-01-02 10:00:00,149.4
117,2023-01-02 10:15:00,110.4
118,2023-01-02 10:30:00,124.9
119,2023-01-02 10:45:00,134.1
120,2023-01-02 11:00:00,128.8
121,2023-01-02 11:15:00,134.4
122,2023-01-02 11:30:00,156.8
123,2023-01-02 11:45:00,153.9
124,2023-01-02 12:00:00,123.8
125,2023-01-02 12:15:00,114.4
126,2023-01-02 12:30:00,115.0
