Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,200.7
1,2023-01-01 05:15:00,197.8
2,2023-01-01 05:30:00,245.3
3,2023-01-01 05:45:00,230.0
4,2023-01-01 06:00:00,196.6
5,2023-01-01 06:15:00,193.3
6,2023-01-01 06:30:00,215.5
7,2023-01-01 06:45:00,202.1
8,2023-01-01 07:00:00,204.7
9,2023-01-01 07:15:00,193.3
10,2023-01-01 07:30:00,192.7
11,2023-01-01 07:45:00,214.8
12,2023-01-01 08:00:00,201.7
13,2023-01-01 08:15:00,200.4
14,2023-01-01 08:30:00,212.8
15,2023-01-01 08:45:00,202.5
16,2023-01-01 09:00:00,199.2
17,2023-01-01 09:15:00,202.2
18,2023-01-01 09:30:00,215.5
19,2023-01-01 09:45:00,203.5
20,2023-01-01 10:00:00,225.1
21,2023-01-01 10:15:00,206.2
22,2023-01-01 10:30:00,205.2
23,2023-01-01 10:45:00,199.0
24,2023-01-01 11:00:00,196.6
25,2023-01-01 11:15:00,201.5
26,2023-01-01 11:30:00,199.9
27,2023-01-01 11:45:00,201.0
28,2023-01-01 12:00:00,195.5
29,2023-01-01 12:15:00,198.5
30,2023-01-01 12:30:00,202.6
31,2023-01-01 12:45:00,226.8
32,2023-01-01 13:00:00,196.7
33,2023-01-01 13:15:00,197.2
34,2023-01-01 13:30:00,201.2
35,2023-01-01 13:45:00,223.8
36,2023-01-01 14:00:00,193.0
37,2023-01-01 14:15:00,193.6
38,2023-01-01 14:30:00,197.7
39,2023-01-01 14:45:00,195.3
40,2023-01-01 15:00:00,214.1
41,2023-01-01 15:15:00,191.1
42,2023-01-01 15:30:00,196.4
43,2023-01-01 15:45:00,219.6
44,2023-01-01 16:00:00,197.2
45,2023-01-01 16:15:00,198.8
46,2023-01-01 16:30:00,198.9
47,2023-01-01 16:45:00,205.7
48,2023-01-01 17:00:00,214.7
49,2023-01-01 17:15:00,220.6
50,2023-01-01 17:30:00,211.5
51,2023-01-01 17:45:00,227.1
52,2023-01-01 18:00:00,207.3
53,2023-01-01 18:15:00,208.2
54,2023-01-01 18:30:00,230.7
55,2023-01-01 18:45:00,199.2
56,2023-01-01 19:00:00,205.9
57,2023-01-01 19:15:00,221.0
58,2023-01-01 19:30:00,232.5
59,2023-01-01 19:45:00,229.5
60,2023-01-01 20:00:00,225.5
61,2023-01-01 20:15:00,208.4
62,2023-01-01 20:30:00,217.9
63,2023-01-01 20:45:00,203.2
64,2023-01-01 21:00:00,225.7
65,2023-01-01 21:15:00,196.9
66,2023-01-01 21:30:00,197.2
67,2023-01-01 21:45:00,251.4
68,2023-01-01 22:00:00,208.9
69,2023-01-01 22:15:00,218.2
70,2023-01-01 22:30:00,204.2
71,2023-01-01 22:45:00,200.2
72,2023-01-01 23:00:00,224.5
73,2023-01-01 23:15:00,202.3
74,2023-01-01 23:30:00,221.2
75,2023-01-01 23:45:00,222.4
76,2023-01-02 00:00:00,217.2
77,2023-01-02 00:15:00,222.3
78,2023-01-02 00:30:00,226.9
79,2023-01-02 00:45:00,200.0
80,2023-01-02 01:00:00,200.1
81,2023-01-02 01:15:00,229.9
82,2023-01-02 01:30:00,217.7
83,2023-01-02 01:45:00,207.9
84,2023-01-02 02:00:00,210.9
85,2023-01-02 02:15:00,203.6
86,2023-01-02 02:30:00,209.4
87,2023-01-02 02:45:00,197.7
88,2023-01-02 03:00:00,205.3
89,2023-01-02 03:15:00,212.1
90,2023-01-02 03:30:00,204.4
91,2023-01-02 03:45:00,204.0
92,2023-01-02 04:00:00,205.0
93,2023-01-02 04:15:00,207.8
94,2023-01-02 04:30:00,207.5
95,2023-01-02 04:45:00,205.9
96,2023-01-02 05:00:00,198.6
97,2023-01-02 05:15:00,203.5
98,2023-01-02 05:30:00,198.9
99,2023-01-02 05:45:00,196.9
100,2023-01-02 06:00:00,194.7
101,2023-01-02 06:15:00,198.4
102,2023-01-02 06:30:00,230.8
103,2023-01-02 06:45:00,194.5
104,2023-01-02 07:00:00,203.8
105,2023-01-02 07:15:00,232.2
106,2023-01-02 07:30:00,212.6
107,2023-01-02 07:45:00,197.4
108,2023-01-02 08:00:00,194.4
109,2023-01-02 08:15:00,198.6
110,2023-01-02 08:30:00,206.6
111,2023-01-02 08:45:00,199.0
112,2023-01-02 09:00:00,195.5
113,2023-01-02 09:15:00,203.4
114,2023-01-02 09:30:00,209.9
115,2023-01-02 09:45:00,204.5
116,2023-01-02 10:00:00,192.2
117,2023-01-02 10:15:00,197.9
118,2023-01-02 10:30:00,207.7
119,2023-01-02 10:45:00,199.6
120,2023-01-02 11:00:00,196.5
121,2023-01-02 11:15:00,200.0
122,2023-01-02 11:30:00,196.9
123,2023-01-02 11:45:00,202.4
124,2023-01-02 12:00:00,194.5
125,2023-01-02 12:15:00,192.6
126,2023-01-02 12:30:00,207.4
127,2023-01-02 12:45:00,196.1
128,2023-01-02 13:00:00,203.0
129,2023-01-02 13:15:00,205.9
130,2023-01-02 13:30:00,197.6
131,2023-01-02 13:45:00,205.8
132,2023-01-02 14:00:00,201.4
133,2023-01-02 14:15:00,210.7
134,2023-01-02 14:30:00,230.8
135,2023-01-02 14:45:00,217.6
136,2023-01-02 15:00:00,207.2
137,2023-01-02 15:15:00,228.2
138,2023-01-02 15:30:00,211.5
139,2023-01-02 15:45:00,213.4
140,2023-01-02 16:00:00,207.4
141,2023-01-02 16:15:00,211.8
142,2023-01-02 16:30:00,218.1
143,2023-01-02 16:45:00,211.6
144,2023-01-02 17:00:00,208.5
145,2023-01-02 17:15:00,225.1
146,2023-01-02 17:30:00,216.2
147,2023-01-02 17:45:00,225.2
148,2023-01-02 18:00:00,230.0
149,2023-01-02 18:15:00,216.8
150,2023-01-02 18:30:00,222.9
151,2023-01-02 18:45:00,220.5
152,2023-01-02 19:00:00,221.8
153,2023-01-02 19:15:00,242.7
154,2023-01-02 19:30:00,239.5
155,2023-01-02 19:45:00,240.2
156,2023-01-02 20:00:00,249.7
157,2023-01-02 20:15:00,234.0
158,2023-01-02 20:30:00,227.0
159,2023-01-02 20:45:00,219.0
160,2023-01-02 21:00:00,222.9
161,2023-01-02 21:15:00,230.1
162,2023-01-02 21:30:00,225.0
163,2023-01-02 21:45:00,227.9
164,2023-01-02 22:00:00,230.7
165,2023-01-02 22:15:00,225.8
166,2023-01-02 22:30:00,221.3
167,2023-01-02 22:45:00,258.1
168,2023-01-02 23:00:00,207.9
169,2023-01-02 23:15:00,211.7
170,2023-01-02 23:30:00,220.5
171,2023-01-02 23:45:00,222.2
172,2023-01-03 00:00:00,221.5
173,2023-01-03 00:15:00,212.6
174,2023-01-03 00:30:00,218.1
175,2023-01-03 00:45:00,216.8
176,2023-01-03 01:00:00,204.8
177,2023-01-03 01:15:00,240.1
178,2023-01-03 01:30:00,215.4
179,2023-01-03 01:45:00,239.1
180,2023-01-03 02:00:00,205.4
181,2023-01-03 02:15:00,226.4
182,2023-01-03 02:30:00,210.8
183,2023-01-03 02:45:00,209.7
184,2023-01-03 03:00:00,209.9
185,2023-01-03 03:15:00,214.9
186,2023-01-03 03:30:00,219.2
187,2023-01-03 03:45:00,205.5
188,2023-01-03 04:00:00,207.9
189,2023-01-03 04:15:00,202.5
