Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,103.1
1,2023-01-01 05:15:00,99.9
2,2023-01-01 05:30:00,105.8
3,2023-01-01 05:45:00,103.3
4,2023-01-01 06:00:00,103.6
5,2023-01-01 06:15:00,104.4
6,2023-01-01 06:30:00,100.6
7,2023-01-01 06:45:00,100.5
8,2023-01-01 07:00:00,103.8
9,2023-01-01 07:15:00,103.8
10,2023-01-01 07:30:00,100.8
11,2023-01-01 07:45:00,105.4
12,2023-01-01 08:00:00,102.2
13,2023-01-01 08:15:00,101.5
14,2023-01-01 08:30:00,101.7
15,2023-01-01 08:45:00,104.4
16,2023-01-01 09:00:00,103.8
17,2023-01-01 09:15:00,103.4
18,2023-01-01 09:30:00,105.3
19,2023-01-01 09:45:00,100.6
20,2023-01-01 10:00:00,100.0
21,2023-01-01 10:15:00,100.9
22,2023-01-01 10:30:00,100.9
23,2023-01-01 10:45:00,100.8
24,2023-01-01 11:00:00,101.4
25,2023-01-01 11:15:00,102.5
26,2023-01-01 11:30:00,103.5
27,2023-01-01 11:45:00,104.2
28,2023-01-01 12:00:00,115.9
29,2023-01-01 12:15:00,108.3
30,2023-01-01 12:30:00,106.8
31,2023-01-01 12:45:00,108.3
32,2023-01-01 13:00:00,105.2
33,2023-01-01 13:15:00,107.9
34,2023-01-01 13:30:00,100.3
35,2023-01-01 13:45:00,99.9
36,2023-01-01 14:00:00,103.4
37,2023-01-01 14:15:00,100.9
38,2023-01-01 14:30:00,101.3
39,2023-01-01 14:45:00,100.2
40,2023-01-01 15:00:00,109.9
41,2023-01-01 15:15:00,100.9
42,2023-01-01 15:30:00,102.3
43,2023-01-01 15:45:00,102.2
44,2023-01-01 16:00:00,100.0
45,2023-01-01 16:15:00,100.2
46,2023-01-01 16:30:00,101.3
47,2023-01-01 16:45:00,103.3
48,2023-01-01 17:00:00,101.4
49,2023-01-01 17:15:00,101.7
50,2023-01-01 17:30:00,105.0
51,2023-01-01 17:45:00,98.7
52,2023-01-01 18:00:00,102.0
53,2023-01-01 18:15:00,102.1
54,2023-01-01 18:30:00,102.4
55,2023-01-01 18:45:00,101.6
56,2023-01-01 19:00:00,103.1
57,2023-01-01 19:15:00,104.0
58,2023-01-01 19:30:00,106.4
59,2023-01-01 19:45:00,101.8
60,2023-01-01 20:00:00,101.6
61,2023-01-01 20:15:00,103.8
62,2023-01-01 20:30:00,101.6
63,2023-01-01 20:45:00,102.7
64,2023-01-01 21:00:00,102.7
65,2023-01-01 21:15:00,102.1
66,2023-01-01 21:30:00,101.3
67,2023-01-01 21:45:00,107.2
68,2023-01-01 22:00:00,102.4
69,2023-01-01 22:15:00,103.7
70,2023-01-01 22:30:00,105.2
71,2023-01-01 22:45:00,103.9
72,2023-01-01 23:00:00,102.7
73,2023-01-01 23:15:00,102.1
74,2023-01-01 23:30:00,103.2
75,2023-01-01 23:45:00,104.1
76,2023-01-02 00:00:00,108.8
77,2023-01-02 00:15:00,105.3
78,2023-01-02 00:30:00,104.5
79,2023-01-02 00:45:00,106.4
80,2023-01-02 01:00:00,103.8
81,2023-01-02 01:15:00,103.1
82,2023-01-02 01:30:00,103.1
83,2023-01-02 01:45:00,100.7
84,2023-01-02 02:00:00,99.7
85,2023-01-02 02:15:00,100.7
86,2023-01-02 02:30:00,106.6
87,2023-01-02 02:45:00,106.2
88,2023-01-02 03:00:00,100.9
89,2023-01-02 03:15:00,105.3
90,2023-01-02 03:30:00,102.0
91,2023-01-02 03:45:00,103.7
92,2023-01-02 04:00:00,101.7
93,2023-01-02 04:15:00,99.9
94,2023-01-02 04:30:00,103.2
95,2023-01-02 04:45:00,104.6
96,2023-01-02 05:00:00,110.0
97,2023-01-02 05:15:00,109.1
98,2023-01-02 05:30:00,108.4
99,2023-01-02 05:45:00,102.5
100,2023-01-02 06:00:00,101.3
101,2023-01-02 06:15:00,103.2
102,2023-01-02 06:30:00,102.6
103,2023-01-02 06:45:00,103.8
104,2023-01-02 07:00:00,103.1
105,2023-01-02 07:15:00,99.7
106,2023-01-02 07:30:00,103.1
107,2023-01-02 07:45:00,105.6
108,2023-01-02 08:00:00,105.5
109,2023-01-02 08:15:00,101.3
110,2023-01-02 08:30:00,101.5
111,2023-01-02 08:45:00,102.6
112,2023-01-02 09:00:00,103.8
113,2023-01-02 09:15:00,104.9
114,2023-01-02 09:30:00,104.8
115,2023-01-02 09:45:00,105.3
116,2023-01-02 10:00:00,101.9
117,2023-01-02 10:15:00,100.5
118,2023-01-02 10:30:00,108.2
119,2023-01-02 10:45:00,101.6
120,2023-01-02 11:00:00,102.1
121,2023-01-02 11:15:00,103.3
122,2023-01-02 11:30:00,101.1
123,2023-01-02 11:45:00,100.4
124,2023-01-02 12:00:00,100.9
125,2023-01-02 12:15:00,102.7
126,2023-01-02 12:30:00,103.4
127,2023-01-02 12:45:00,106.8
128,2023-01-02 13:00:00,105.7
129,2023-01-02 13:15:00,101.5
130,2023-01-02 13:30:00,101.2
131,2023-01-02 13:45:00,100.7
132,2023-01-02 14:00:00,100.2
133,2023-01-02 14:15:00,101.0
134,2023-01-02 14:30:00,101.8
135,2023-01-02 14:45:00,100.8
136,2023-01-02 15:00:00,108.5
137,2023-01-02 15:15:00,104.6
138,2023-01-02 15:30:00,102.0
139,2023-01-02 15:45:00,102.3
140,2023-01-02 16:00:00,102.4
141,2023-01-02 16:15:00,100.8
142,2023-01-02 16:30:00,102.8
143,2023-01-02 16:45:00,106.3
144,2023-01-02 17:00:00,103.6
145,2023-01-02 17:15:00,103.5
146,2023-01-02 17:30:00,100.0
147,2023-01-02 17:45:00,102.4
148,2023-01-02 18:00:00,101.7
149,2023-01-02 18:15:00,101.6
150,2023-01-02 18:30:00,108.3
151,2023-01-02 18:45:00,106.5
152,2023-01-02 19:00:00,101.1
153,2023-01-02 19:15:00,102.8
154,2023-01-02 19:30:00,101.4
155,2023-01-02 19:45:00,103.8
156,2023-01-02 20:00:00,101.1
157,2023-01-02 20:15:00,107.5
158,2023-01-02 20:30:00,101.8
159,2023-01-02 20:45:00,102.1
160,2023-01-02 21:00:00,104.6
161,2023-01-02 21:15:00,101.5
162,2023-01-02 21:30:00,101.7
163,2023-01-02 21:45:00,101.9
164,2023-01-02 22:00:00,101.6
165,2023-01-02 22:15:00,101.2
166,2023-01-02 22:30:00,103.0
167,2023-01-02 22:45:00,103.1
168,2023-01-02 23:00:00,102.0
169,2023-01-02 23:15:00,102.6
170,2023-01-02 23:30:00,106.9
171,2023-01-02 23:45:00,102.0
172,2023-01-03 00:00:00,104.2
173,2023-01-03 00:15:00,105.0
174,2023-01-03 00:30:00,105.5
175,2023-01-03 00:45:00,102.3
176,2023-01-03 01:00:00,103.5
177,2023-01-03 01:15:00,108.2
178,2023-01-03 01:30:00,104.0
179,2023-01-03 01:45:00,103.7
180,2023-01-03 02:00:00,103.8
181,2023-01-03 02:15:00,104.8
182,2023-01-03 02:30:00,103.5
183,2023-01-03 02:45:00,103.0
184,2023-01-03 03:00:00,103.0
185,2023-01-03 03:15:00,106.8
186,2023-01-03 03:30:00,102.1
187,2023-01-03 03:45:00,105.9
188,2023-01-03 04:00:00,104.9
189,2023-01-03 04:15:00,106.2
190,2023-01-03 04:30:00,105.6
191,2023-01-03 04:45:00,111.9
192,2023-01-03 05:00:00,110.6
193,2023-01-03 05:15:00,119.0
194,2023-01-03 05:30:00,115.4
195,2023-01-03 05:45:00,117.4
196,2023-01-03 06:00:00,115.8
197,2023-01-03 06:15:00,115.9
198,2023-01-03 06:30:00,113.8
199,2023-01-03 06:45:00,121.8
200,2023-01-03 07:00:00,103.9
201,2023-01-03 07:15:00,105.2
202,2023-01-03 07:30:00,104.4
203,2023-01-03 07:45:00,101.6
204,2023-01-03 08:00:00,100.9
205,2023-01-03 08:15:00,102.0
206,2023-01-03 08:30:00,110.8
207,2023-01-03 08:45:00,102.1
208,2023-01-03 09:00:00,102.6
209,2023-01-03 09:15:00,135.0
210,2023-01-03 09:30:00,135.4
211,2023-01-03 09:45:00,136.9
212,2023-01-03 10:00:00,137.9
213,2023-01-03 10:15:00,142.7
214,2023-01-03 10:30:00,141.5
215,2023-01-03 10:45:00,147.6
216,2023-01-03 11:00:00,153.1
217,2023-01-03 11:15:00,151.2
218,2023-01-03 11:30:00,154.0
219,2023-01-03 11:45:00,158.0
220,2023-01-03 12:00:00,170.1
221,2023-01-03 12:15:00,160.8
222,2023-01-03 12:30:00,165.4
223,2023-01-03 12:45:00,159.8
224,2023-01-03 13:00:00,85.8
225,2023-01-03 13:15:00,116.5
226,2023-01-03 13:30:00,170.4
227,2023-01-03 13:45:00,179.9
228,2023-01-03 14:00:00,173.2
229,2023-01-03 14:15:00,178.8
230,2023-01-03 14:30:00,179.0
231,2023-01-03 14:45:00,179.6
232,2023-01-03 15:00:00,188.6
233,2023-01-03 15:15:00,181.3
234,2023-01-03 15:30:00,186.2
235,2023-01-03 15:45:00,183.8
236,2023-01-03 16:00:00,178.5
237,2023-01-03 16:15:00,180.1
238,2023-01-03 16:30:00,180.4
239,2023-01-03 16:45:00,180.9
240,2023-01-03 17:00:00,180.7
241,2023-01-03 17:15:00,193.1
242,2023-01-03 17:30:00,177.5
243,2023-01-03 17:45:00,176.1
244,2023-01-03 18:00:00,179.9
245,2023-01-03 18:15:00,180.2
246,2023-01-03 18:30:00,180.9
247,2023-01-03 18:45:00,176.0
248,2023-01-03 19:00:00,186.9
249,2023-01-03 19:15:00,178.0
250,2023-01-03 19:30:00,180.2
251,2023-01-03 19:45:00,183.6
252,2023-01-03 20:00:00,177.7
253,2023-01-03 20:15:00,178.6
254,2023-01-03 20:30:00,178.7
255,2023-01-03 20:45:00,180.6
256,2023-01-03 21:00:00,181.8
257,2023-01-03 21:15:00,178.1
258,2023-01-03 21:30:00,189.1
259,2023-01-03 21:45:00,178.2
260,2023-01-03 22:00:00,174.3
261,2023-01-03 22:15:00,168.5
262,2023-01-03 22:30:00,171.1
263,2023-01-03 22:45:00,166.4
264,2023-01-03 23:00:00,165.3
265,2023-01-03 23:15:00,162.8
266,2023-01-03 23:30:00,164.9
267,2023-01-03 23:45:00,157.3
268,2023-01-04 00:00:00,162.4
269,2023-01-04 00:15:00,163.3
270,2023-01-04 00:30:00,161.5
271,2023-01-04 00:45:00,157.5
272,2023-01-04 01:00:00,156.5
273,2023-01-04 01:15:00,155.2
274,2023-01-04 01:30:00,153.6
275,2023-01-04 01:45:00,157.0
276,2023-01-04 02:00:00,156.9
277,2023-01-04 02:15:00,151.7
278,2023-01-04 02:30:00,132.5
279,2023-01-04 02:45:00,133.9
280,2023-01-04 03:00:00,134.2
281,2023-01-04 03:15:00,134.7
282,2023-01-04 03:30:00,133.6
283,2023-01-04 03:45:00,132.8
284,2023-01-04 04:00:00,137.1
285,2023-01-04 04:15:00,132.9
286,2023-01-04 04:30:00,132.8
