Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,8.9
1,2023-01-01 05:15:00,8.9
2,2023-01-01 05:30:00,8.9
3,2023-01-01 05:45:00,8.7
4,2023-01-01 06:00:00,8.2
5,2023-01-01 06:15:00,8.2
6,2023-01-01 06:30:00,8.2
7,2023-01-01 06:45:00,8.3
8,2023-01-01 07:00:00,8.5
9,2023-01-01 07:15:00,8.9
10,2023-01-01 07:30:00,8.5
11,2023-01-01 07:45:00,8.5
12,2023-01-01 08:00:00,8.2
13,2023-01-01 08:15:00,8.2
14,2023-01-01 08:30:00,8.5
15,2023-01-01 08:45:00,8.4
16,2023-01-01 09:00:00,8.8
17,2023-01-01 09:15:00,8.4
18,2023-01-01 09:30:00,8.4
19,2023-01-01 09:45:00,8.5
20,2023-01-01 10:00:00,8.4
21,2023-01-01 10:15:00,8.4
22,2023-01-01 10:30:00,8.5
23,2023-01-01 10:45:00,8.3
24,2023-01-01 11:00:00,8.3
25,2023-01-01 11:15:00,8.3
26,2023-01-01 11:30:00,8.6
27,2023-01-01 11:45:00,8.5
28,2023-01-01 12:00:00,8.5
29,2023-01-01 12:15:00,8.2
30,2023-01-01 12:30:00,8.2
31,2023-01-01 12:45:00,7.1
32,2023-01-01 13:00:00,7.1
33,2023-01-01 13:15:00,6.9
34,2023-01-01 13:30:00,6.9
35,2023-01-01 13:45:00,6.9
36,2023-01-01 14:00:00,7.9
37,2023-01-01 14:15:00,7.6
38,2023-01-01 14:30:00,7.6
39,2023-01-01 14:45:00,7.6
40,2023-01-01 15:00:00,7.6
41,2023-01-01 15:15:00,7.4
42,2023-01-01 15:30:00,7.4
43,2023-01-01 15:45:00,7.4
44,2023-01-01 16:00:00,7.6
45,2023-01-01 16:15:00,7.6
46,2023-01-01 16:30:00,7.7
47,2023-01-01 16:45:00,7.4
48,2023-01-01 17:00:00,7.6
49,2023-01-01 17:15:00,7.6
50,2023-01-01 17:30:00,7.6
51,2023-01-01 17:45:00,7.3
52,2023-01-01 18:00:00,7.4
53,2023-01-01 18:15:00,7.6
54,2023-01-01 18:30:00,7.6
55,2023-01-01 18:45:00,7.6
56,2023-01-01 19:00:00,7.6
57,2023-01-01 19:15:00,7.6
58,2023-01-01 19:30:00,7.6
59,2023-01-01 19:45:00,7.3
60,2023-01-01 20:00:00,7.7
61,2023-01-01 20:15:00,7.4
62,2023-01-01 20:30:00,7.4
63,2023-01-01 20:45:00,7.8
64,2023-01-01 21:00:00,7.4
65,2023-01-01 21:15:00,7.6
66,2023-01-01 21:30:00,7.6
67,2023-01-01 21:45:00,7.6
68,2023-01-01 22:00:00,9.1
69,2023-01-01 22:15:00,9.1
70,2023-01-01 22:30:00,8.8
71,2023-01-01 22:45:00,8.8
72,2023-01-01 23:00:00,9.0
73,2023-01-01 23:15:00,8.8
74,2023-01-01 23:30:00,8.8
75,2023-01-01 23:45:00,9.1
76,2023-01-02 00:00:00,9.0
77,2023-01-02 00:15:00,9.0
78,2023-01-02 00:30:00,8.7
79,2023-01-02 00:45:00,8.7
80,2023-01-02 01:00:00,8.7
81,2023-01-02 01:15:00,8.7
82,2023-01-02 01:30:00,8.9
83,2023-01-02 01:45:00,9.0
84,2023-01-02 02:00:00,8.9
85,2023-01-02 02:15:00,8.9
86,2023-01-02 02:30:00,8.9
87,2023-01-02 02:45:00,9.5
88,2023-01-02 03:00:00,8.9
89,2023-01-02 03:15:00,8.9
90,2023-01-02 03:30:00,8.7
91,2023-01-02 03:45:00,8.9
92,2023-01-02 04:00:00,9.0
93,2023-01-02 04:15:00,8.7
94,2023-01-02 04:30:00,9.1
95,2023-01-02 04:45:00,8.7
96,2023-01-02 05:00:00,8.7
97,2023-01-02 05:15:00,9.1
98,2023-01-02 05:30:00,8.7
99,2023-01-02 05:45:00,8.7
100,2023-01-02 06:00:00,8.8
101,2023-01-02 06:15:00,8.5
102,2023-01-02 06:30:00,8.5
103,2023-01-02 06:45:00,8.9
104,2023-01-02 07:00:00,8.5
105,2023-01-02 07:15:00,8.5
106,2023-01-02 07:30:00,8.6
107,2023-01-02 07:45:00,8.3
108,2023-01-02 08:00:00,8.5
109,2023-01-02 08:15:00,8.6
110,2023-01-02 08:30:00,8.3
111,2023-01-02 08:45:00,8.2
112,2023-01-02 09:00:00,8.6
113,2023-01-02 09:15:00,8.5
114,2023-01-02 09:30:00,8.5
115,2023-01-02 09:45:00,8.4
116,2023-01-02 10:00:00,8.5
117,2023-01-02 10:15:00,8.3
118,2023-01-02 10:30:00,8.2
119,2023-01-02 10:45:00,8.2
120,2023-01-02 11:00:00,8.2
121,2023-01-02 11:15:00,8.4
122,2023-01-02 11:30:00,8.4
123,2023-01-02 11:45:00,8.4
124,2023-01-02 12:00:00,8.4
125,2023-01-02 12:15:00,8.4
126,2023-01-02 12:30:00,6.9
127,2023-01-02 12:45:00,6.9
128,2023-01-02 13:00:00,6.9
129,2023-01-02 13:15:00,7.1
130,2023-01-02 13:30:00,7.2
131,2023-01-02 13:45:00,7.1
132,2023-01-02 14:00:00,7.6
133,2023-01-02 14:15:00,7.6
134,2023-01-02 14:30:00,7.6
135,2023-01-02 14:45:00,7.6
136,2023-01-02 15:00:00,8.2
137,2023-01-02 15:15:00,7.6
138,2023-01-02 15:30:00,7.4
139,2023-01-02 15:45:00,7.4
140,2023-01-02 16:00:00,7.8
141,2023-01-02 16:15:00,7.4
142,2023-01-02 16:30:00,7.6
143,2023-01-02 16:45:00,8.0
144,2023-01-02 17:00:00,7.6
145,2023-01-02 17:15:00,7.6
146,2023-01-02 17:30:00,7.6
147,2023-01-02 17:45:00,7.6
148,2023-01-02 18:00:00,7.6
149,2023-01-02 18:15:00,7.4
150,2023-01-02 18:30:00,7.4
151,2023-01-02 18:45:00,7.6
152,2023-01-02 19:00:00,7.6
153,2023-01-02 19:15:00,7.6
154,2023-01-02 19:30:00,7.6
155,2023-01-02 19:45:00,7.6
156,2023-01-02 20:00:00,7.4
157,2023-01-02 20:15:00,7.8
158,2023-01-02 20:30:00,8.0
159,2023-01-02 20:45:00,8.0
160,2023-01-02 21:00:00,7.4
161,2023-01-02 21:15:00,7.3
162,2023-01-02 21:30:00,7.4
163,2023-01-02 21:45:00,7.6
164,2023-01-02 22:00:00,9.0
165,2023-01-02 22:15:00,9.0
166,2023-01-02 22:30:00,9.0
167,2023-01-02 22:45:00,8.9
168,2023-01-02 23:00:00,8.7
169,2023-01-02 23:15:00,8.8
170,2023-01-02 23:30:00,8.7
171,2023-01-02 23:45:00,9.5
172,2023-01-03 00:00:00,9.0
173,2023-01-03 00:15:00,9.0
174,2023-01-03 00:30:00,9.0
175,2023-01-03 00:45:00,8.9
176,2023-01-03 01:00:00,8.9
177,2023-01-03 01:15:00,8.7
178,2023-01-03 01:30:00,9.1
179,2023-01-03 01:45:00,8.9
180,2023-01-03 02:00:00,8.9
181,2023-01-03 02:15:00,8.7
182,2023-01-03 02:30:00,8.6
183,2023-01-03 02:45:00,8.7
184,2023-01-03 03:00:00,8.7
185,2023-01-03 03:15:00,8.7
186,2023-01-03 03:30:00,8.9
187,2023-01-03 03:45:00,9.0
188,2023-01-03 04:00:00,9.0
189,2023-01-03 04:15:00,8.7
190,2023-01-03 04:30:00,8.7
191,2023-01-03 04:45:00,9.0
192,2023-01-03 05:00:00,8.9
193,2023-01-03 05:15:00,8.9
194,2023-01-03 05:30:00,8.7
195,2023-01-03 05:45:00,8.8
