Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,1.3
1,2023-01-01 05:15:00,1.3
2,2023-01-01 05:30:00,1.4
3,2023-01-01 05:45:00,1.4
4,2023-01-01 06:00:00,1.3
5,2023-01-01 06:15:00,2.9
6,2023-01-01 06:30:00,1.4
7,2023-01-01 06:45:00,1.4
8,2023-01-01 07:00:00,1.4
9,2023-01-01 07:15:00,2.1
10,2023-01-01 07:30:00,1.4
11,2023-01-01 07:45:00,1.3
12,2023-01-01 08:00:00,2.0
13,2023-01-01 08:15:00,1.3
14,2023-01-01 08:30:00,1.3
15,2023-01-01 08:45:00,2.1
16,2023-01-01 09:00:00,1.3
17,2023-01-01 09:15:00,1.3
18,2023-01-01 09:30:00,1.5
19,2023-01-01 09:45:00,1.4
20,2023-01-01 10:00:00,1.3
21,2023-01-01 10:15:00,1.3
22,2023-01-01 10:30:00,1.3
23,2023-01-01 10:45:00,1.3
24,2023-01-01 11:00:00,1.4
25,2023-01-01 11:15:00,1.4
26,2023-01-01 11:30:00,1.4
27,2023-01-01 11:45:00,1.4
28,2023-01-01 12:00:00,1.3
29,2023-01-01 12:15:00,1.3
30,2023-01-01 12:30:00,1.3
31,2023-01-01 12:45:00,1.3
32,2023-01-01 13:00:00,1.2
33,2023-01-01 13:15:00,1.1
34,2023-01-01 13:30:00,1.1
35,2023-01-01 13:45:00,1.1
36,2023-01-01 14:00:00,1.8
37,2023-01-01 14:15:00,1.1
38,2023-01-01 14:30:00,1.1
39,2023-01-01 14:45:00,1.1
40,2023-01-01 15:00:00,1.2
41,2023-01-01 15:15:00,1.1
42,2023-01-01 15:30:00,1.1
43,2023-01-01 15:45:00,1.0
44,2023-01-01 16:00:00,1.0
45,2023-01-01 16:15:00,1.2
46,2023-01-01 16:30:00,1.1
47,2023-01-01 16:45:00,1.1
48,2023-01-01 17:00:00,1.1
49,2023-01-01 17:15:00,1.0
50,2023-01-01 17:30:00,1.1
51,2023-01-01 17:45:00,1.1
52,2023-01-01 18:00:00,1.1
53,2023-01-01 18:15:00,1.1
54,2023-01-01 18:30:00,1.0
55,2023-01-01 18:45:00,1.1
56,2023-01-01 19:00:00,1.0
57,2023-01-01 19:15:00,1.0
58,2023-01-01 19:30:00,1.1
59,2023-01-01 19:45:00,1.1
60,2023-01-01 20:00:00,1.1
61,2023-01-01 20:15:00,1.0
62,2023-01-01 20:30:00,1.1
63,2023-01-01 20:45:00,1.1
64,2023-01-01 21:00:00,1.0
65,2023-01-01 21:15:00,1.1
66,2023-01-01 21:30:00,1.1
67,2023-01-01 21:45:00,1.3
68,2023-01-01 22:00:00,1.3
69,2023-01-01 22:15:00,1.3
70,2023-01-01 22:30:00,1.3
71,2023-01-01 22:45:00,2.0
72,2023-01-01 23:00:00,1.3
73,2023-01-01 23:15:00,2.0
74,2023-01-01 23:30:00,1.3
75,2023-01-01 23:45:00,1.3
76,2023-01-02 00:00:00,1.3
77,2023-01-02 00:15:00,1.3
78,2023-01-02 00:30:00,1.3
79,2023-01-02 00:45:00,1.3
80,2023-01-02 01:00:00,1.3
81,2023-01-02 01:15:00,1.3
82,2023-01-02 01:30:00,2.0
83,2023-01-02 01:45:00,1.3
84,2023-01-02 02:00:00,1.3
85,2023-01-02 02:15:00,1.3
86,2023-01-02 02:30:00,1.3
87,2023-01-02 02:45:00,1.4
88,2023-01-02 03:00:00,1.2
89,2023-01-02 03:15:00,1.4
90,2023-01-02 03:30:00,1.3
91,2023-01-02 03:45:00,1.3
92,2023-01-02 04:00:00,1.3
93,2023-01-02 04:15:00,1.3
94,2023-01-02 04:30:00,1.3
95,2023-01-02 04:45:00,1.3
96,2023-01-02 05:00:00,2.9
97,2023-01-02 05:15:00,1.2
98,2023-01-02 05:30:00,1.3
99,2023-01-02 05:45:00,1.3
100,2023-01-02 06:00:00,1.4
101,2023-01-02 06:15:00,1.3
102,2023-01-02 06:30:00,1.3
103,2023-01-02 06:45:00,1.3
104,2023-01-02 07:00:00,2.0
105,2023-01-02 07:15:00,1.3
106,2023-01-02 07:30:00,1.3
107,2023-01-02 07:45:00,1.4
108,2023-01-02 08:00:00,1.3
109,2023-01-02 08:15:00,1.3
110,2023-01-02 08:30:00,1.3
111,2023-01-02 08:45:00,1.3
112,2023-01-02 09:00:00,1.3
113,2023-01-02 09:15:00,1.3
114,2023-01-02 09:30:00,1.3
115,2023-01-02 09:45:00,2.0
116,2023-01-02 10:00:00,1.3
