Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,3.6
1,2023-01-01 05:15:00,3.6
2,2023-01-01 05:30:00,3.6
3,2023-01-01 05:45:00,3.6
4,2023-01-01 06:00:00,3.5
5,2023-01-01 06:15:00,3.6
6,2023-01-01 06:30:00,3.5
7,2023-01-01 06:45:00,3.6
8,2023-01-01 07:00:00,3.6
9,2023-01-01 07:15:00,3.7
10,2023-01-01 07:30:00,3.7
11,2023-01-01 07:45:00,3.6
12,2023-01-01 08:00:00,3.6
13,2023-01-01 08:15:00,3.6
14,2023-01-01 08:30:00,3.6
15,2023-01-01 08:45:00,3.6
16,2023-01-01 09:00:00,3.6
17,2023-01-01 09:15:00,3.6
18,2023-01-01 09:30:00,3.5
19,2023-01-01 09:45:00,3.5
20,2023-01-01 10:00:00,3.6
21,2023-01-01 10:15:00,3.6
22,2023-01-01 10:30:00,3.6
23,2023-01-01 10:45:00,3.6
24,2023-01-01 11:00:00,3.6
25,2023-01-01 11:15:00,3.6
26,2023-01-01 11:30:00,3.6
27,2023-01-01 11:45:00,3.7
28,2023-01-01 12:00:00,3.6
29,2023-01-01 12:15:00,3.5
30,2023-01-01 12:30:00,3.6
31,2023-01-01 12:45:00,3.6
32,2023-01-01 13:00:00,1.3
33,2023-01-01 13:15:00,0.8
34,2023-01-01 13:30:00,0.9
35,2023-01-01 13:45:00,0.9
36,2023-01-01 14:00:00,0.8
37,2023-01-01 14:15:00,0.9
38,2023-01-01 14:30:00,0.9
39,2023-01-01 14:45:00,0.9
40,2023-01-01 15:00:00,0.8
41,2023-01-01 15:15:00,0.8
42,2023-01-01 15:30:00,0.8
43,2023-01-01 15:45:00,0.8
44,2023-01-01 16:00:00,0.9
45,2023-01-01 16:15:00,0.9
46,2023-01-01 16:30:00,0.8
47,2023-01-01 16:45:00,1.3
48,2023-01-01 17:00:00,0.7
49,2023-01-01 17:15:00,0.8
50,2023-01-01 17:30:00,0.8
51,2023-01-01 17:45:00,0.8
52,2023-01-01 18:00:00,0.8
53,2023-01-01 18:15:00,0.8
54,2023-01-01 18:30:00,0.8
55,2023-01-01 18:45:00,0.9
56,2023-01-01 19:00:00,0.8
57,2023-01-01 19:15:00,0.9
58,2023-01-01 19:30:00,0.7
59,2023-01-01 19:45:00,0.8
60,2023-01-01 20:00:00,1.5
61,2023-01-01 20:15:00,0.8
62,2023-01-01 20:30:00,0.8
63,2023-01-01 20:45:00,0.8
64,2023-01-01 21:00:00,0.8
65,2023-01-01 21:15:00,0.8
