Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,107.6
1,2023-01-01 05:15:00,109.5
2,2023-01-01 05:30:00,106.3
3,2023-01-01 05:45:00,104.6
4,2023-01-01 06:00:00,104.5
5,2023-01-01 06:15:00,103.4
6,2023-01-01 06:30:00,102.6
7,2023-01-01 06:45:00,102.9
8,2023-01-01 07:00:00,99.7
9,2023-01-01 07:15:00,102.9
10,2023-01-01 07:30:00,113.4
11,2023-01-01 07:45:00,117.3
12,2023-01-01 08:00:00,109.7
13,2023-01-01 08:15:00,115.6
14,2023-01-01 08:30:00,108.7
15,2023-01-01 08:45:00,116.1
16,2023-01-01 09:00:00,115.0
17,2023-01-01 09:15:00,120.8
18,2023-01-01 09:30:00,119.3
19,2023-01-01 09:45:00,101.7
20,2023-01-01 10:00:00,108.7
21,2023-01-01 10:15:00,104.8
22,2023-01-01 10:30:00,102.9
23,2023-01-01 10:45:00,119.9
24,2023-01-01 11:00:00,127.7
25,2023-01-01 11:15:00,112.0
26,2023-01-01 11:30:00,112.0
27,2023-01-01 11:45:00,102.3
28,2023-01-01 12:00:00,99.3
29,2023-01-01 12:15:00,102.5
30,2023-01-01 12:30:00,111.0
31,2023-01-01 12:45:00,117.6
32,2023-01-01 13:00:00,97.3
33,2023-01-01 13:15:00,95.2
34,2023-01-01 13:30:00,100.6
35,2023-01-01 13:45:00,97.7
36,2023-01-01 14:00:00,94.1
37,2023-01-01 14:15:00,93.7
38,2023-01-01 14:30:00,107.7
39,2023-01-01 14:45:00,110.8
40,2023-01-01 15:00:00,98.5
41,2023-01-01 15:15:00,103.6
42,2023-01-01 15:30:00,102.2
43,2023-01-01 15:45:00,101.1
44,2023-01-01 16:00:00,100.4
45,2023-01-01 16:15:00,99.5
46,2023-01-01 16:30:00,96.4
47,2023-01-01 16:45:00,96.7
48,2023-01-01 17:00:00,100.3
49,2023-01-01 17:15:00,102.8
50,2023-01-01 17:30:00,102.3
51,2023-01-01 17:45:00,105.0
52,2023-01-01 18:00:00,95.5
53,2023-01-01 18:15:00,96.1
54,2023-01-01 18:30:00,94.1
55,2023-01-01 18:45:00,99.8
56,2023-01-01 19:00:00,100.0
57,2023-01-01 19:15:00,97.0
58,2023-01-01 19:30:00,95.1
59,2023-01-01 19:45:00,103.2
60,2023-01-01 20:00:00,97.7
61,2023-01-01 20:15:00,94.6
62,2023-01-01 20:30:00,97.8
63,2023-01-01 20:45:00,93.8
64,2023-01-01 21:00:00,94.3
65,2023-01-01 21:15:00,99.8
66,2023-01-01 21:30:00,97.3
67,2023-01-01 21:45:00,101.4
68,2023-01-01 22:00:00,104.4
69,2023-01-01 22:15:00,105.4
70,2023-01-01 22:30:00,107.7
71,2023-01-01 22:45:00,102.3
72,2023-01-01 23:00:00,102.2
73,2023-01-01 23:15:00,102.7
74,2023-01-01 23:30:00,100.2
75,2023-01-01 23:45:00,108.4
76,2023-01-02 00:00:00,118.6
77,2023-01-02 00:15:00,119.4
78,2023-01-02 00:30:00,118.0
79,2023-01-02 00:45:00,106.3
80,2023-01-02 01:00:00,99.9
81,2023-01-02 01:15:00,101.9
82,2023-01-02 01:30:00,105.0
83,2023-01-02 01:45:00,102.1
84,2023-01-02 02:00:00,108.5
85,2023-01-02 02:15:00,110.9
86,2023-01-02 02:30:00,108.3
87,2023-01-02 02:45:00,117.3
88,2023-01-02 03:00:00,119.1
89,2023-01-02 03:15:00,120.9
90,2023-01-02 03:30:00,122.0
91,2023-01-02 03:45:00,125.4
92,2023-01-02 04:00:00,121.6
93,2023-01-02 04:15:00,116.7
94,2023-01-02 04:30:00,120.4
95,2023-01-02 04:45:00,123.3
96,2023-01-02 05:00:00,120.2
97,2023-01-02 05:15:00,120.2
98,2023-01-02 05:30:00,118.4
99,2023-01-02 05:45:00,125.5
100,2023-01-02 06:00:00,124.8
101,2023-01-02 06:15:00,124.2
102,2023-01-02 06:30:00,120.4
103,2023-01-02 06:45:00,117.1
104,2023-01-02 07:00:00,118.6
105,2023-01-02 07:15:00,118.8
106,2023-01-02 07:30:00,115.2
107,2023-01-02 07:45:00,120.1
108,2023-01-02 08:00:00,121.1
109,2023-01-02 08:15:00,118.9
110,2023-01-02 08:30:00,114.0
111,2023-01-02 08:45:00,112.6
112,2023-01-02 09:00:00,115.0
113,2023-01-02 09:15:00,118.2
114,2023-01-02 09:30:00,115.6
115,2023-01-02 09:45:00,120.0
116,2023-01-02 10:00:00,102.1
117,2023-01-02 10:15:00,109.3
118,2023-01-02 10:30:00,125.7
119,2023-01-02 10:45:00,118.1
120,2023-01-02 11:00:00,120.8
121,2023-01-02 11:15:00,101.9
122,2023-01-02 11:30:00,103.5
123,2023-01-02 11:45:00,106.1
124,2023-01-02 12:00:00,108.1
125,2023-01-02 12:15:00,102.3
126,2023-01-02 12:30:00,123.6
127,2023-01-02 12:45:00,124.4
128,2023-01-02 13:00:00,95.9
129,2023-01-02 13:15:00,98.7
130,2023-01-02 13:30:00,93.7
131,2023-01-02 13:45:00,95.6
132,2023-01-02 14:00:00,100.2
133,2023-01-02 14:15:00,96.0
134,2023-01-02 14:30:00,104.9
135,2023-01-02 14:45:00,104.7
136,2023-01-02 15:00:00,102.8
137,2023-01-02 15:15:00,98.7
138,2023-01-02 15:30:00,99.3
139,2023-01-02 15:45:00,93.9
140,2023-01-02 16:00:00,98.5
141,2023-01-02 16:15:00,100.2
142,2023-01-02 16:30:00,90.3
143,2023-01-02 16:45:00,94.8
144,2023-01-02 17:00:00,104.2
145,2023-01-02 17:15:00,99.3
146,2023-01-02 17:30:00,95.0
147,2023-01-02 17:45:00,96.3
148,2023-01-02 18:00:00,93.4
149,2023-01-02 18:15:00,88.4
150,2023-01-02 18:30:00,91.5
151,2023-01-02 18:45:00,96.6
152,2023-01-02 19:00:00,98.8
153,2023-01-02 19:15:00,98.4
154,2023-01-02 19:30:00,101.0
155,2023-01-02 19:45:00,102.9
156,2023-01-02 20:00:00,122.5
157,2023-01-02 20:15:00,94.9
158,2023-01-02 20:30:00,95.2
159,2023-01-02 20:45:00,103.7
160,2023-01-02 21:00:00,105.1
161,2023-01-02 21:15:00,91.1
162,2023-01-02 21:30:00,94.6
163,2023-01-02 21:45:00,102.5
164,2023-01-02 22:00:00,103.2
165,2023-01-02 22:15:00,109.4
166,2023-01-02 22:30:00,104.1
167,2023-01-02 22:45:00,102.3
168,2023-01-02 23:00:00,106.5
169,2023-01-02 23:15:00,104.2
170,2023-01-02 23:30:00,102.5
171,2023-01-02 23:45:00,106.9
172,2023-01-03 00:00:00,102.3
173,2023-01-03 00:15:00,104.3
174,2023-01-03 00:30:00,105.8
175,2023-01-03 00:45:00,108.6
176,2023-01-03 01:00:00,102.3
177,2023-01-03 01:15:00,94.8
178,2023-01-03 01:30:00,96.3
179,2023-01-03 01:45:00,114.0
180,2023-01-03 02:00:00,121.0
181,2023-01-03 02:15:00,121.7
182,2023-01-03 02:30:00,118.9
183,2023-01-03 02:45:00,109.7
184,2023-01-03 03:00:00,111.5
185,2023-01-03 03:15:00,115.4
186,2023-01-03 03:30:00,107.6
187,2023-01-03 03:45:00,113.2
188,2023-01-03 04:00:00,106.3
189,2023-01-03 04:15:00,113.2
190,2023-01-03 04:30:00,108.0
191,2023-01-03 04:45:00,114.4
192,2023-01-03 05:00:00,116.1
193,2023-01-03 05:15:00,114.6
194,2023-01-03 05:30:00,115.4
195,2023-01-03 05:45:00,107.8
196,2023-01-03 06:00:00,113.9
197,2023-01-03 06:15:00,106.5
198,2023-01-03 06:30:00,107.1
199,2023-01-03 06:45:00,111.1
200,2023-01-03 07:00:00,116.2
201,2023-01-03 07:15:00,116.4
202,2023-01-03 07:30:00,112.5
203,2023-01-03 07:45:00,113.3
204,2023-01-03 08:00:00,109.6
205,2023-01-03 08:15:00,113.3
206,2023-01-03 08:30:00,107.4
207,2023-01-03 08:45:00,112.9
208,2023-01-03 09:00:00,113.4
209,2023-01-03 09:15:00,122.7
210,2023-01-03 09:30:00,118.7
211,2023-01-03 09:45:00,102.0
212,2023-01-03 10:00:00,104.6
213,2023-01-03 10:15:00,105.5
214,2023-01-03 10:30:00,115.6
215,2023-01-03 10:45:00,122.7
216,2023-01-03 11:00:00,122.2
217,2023-01-03 11:15:00,112.3
218,2023-01-03 11:30:00,109.6
219,2023-01-03 11:45:00,102.6
220,2023-01-03 12:00:00,112.9
221,2023-01-03 12:15:00,119.6
222,2023-01-03 12:30:00,115.7
223,2023-01-03 12:45:00,116.1
224,2023-01-03 13:00:00,122.1
225,2023-01-03 13:15:00,118.1
226,2023-01-03 13:30:00,122.0
227,2023-01-03 13:45:00,121.9
228,2023-01-03 14:00:00,115.1
229,2023-01-03 14:15:00,144.0
230,2023-01-03 14:30:00,119.9
231,2023-01-03 14:45:00,118.2
232,2023-01-03 15:00:00,123.2
233,2023-01-03 15:15:00,121.7
234,2023-01-03 15:30:00,123.3
235,2023-01-03 15:45:00,127.1
236,2023-01-03 16:00:00,121.6
237,2023-01-03 16:15:00,123.9
238,2023-01-03 16:30:00,123.3
239,2023-01-03 16:45:00,126.6
240,2023-01-03 17:00:00,129.0
241,2023-01-03 17:15:00,130.6
242,2023-01-03 17:30:00,131.7
243,2023-01-03 17:45:00,126.9
244,2023-01-03 18:00:00,126.5
245,2023-01-03 18:15:00,127.7
246,2023-01-03 18:30:00,126.2
247,2023-01-03 18:45:00,125.7
248,2023-01-03 19:00:00,126.7
249,2023-01-03 19:15:00,131.5
250,2023-01-03 19:30:00,130.1
251,2023-01-03 19:45:00,123.3
252,2023-01-03 20:00:00,125.8
253,2023-01-03 20:15:00,122.6
254,2023-01-03 20:30:00,121.5
255,2023-01-03 20:45:00,120.2
256,2023-01-03 21:00:00,121.1
257,2023-01-03 21:15:00,122.0
258,2023-01-03 21:30:00,127.9
259,2023-01-03 21:45:00,115.9
260,2023-01-03 22:00:00,126.2
261,2023-01-03 22:15:00,123.9
262,2023-01-03 22:30:00,126.1
263,2023-01-03 22:45:00,125.1
264,2023-01-03 23:00:00,128.2
265,2023-01-03 23:15:00,130.6
266,2023-01-03 23:30:00,120.7
267,2023-01-03 23:45:00,122.0
268,2023-01-04 00:00:00,124.8
269,2023-01-04 00:15:00,123.5
270,2023-01-04 00:30:00,124.8
271,2023-01-04 00:45:00,132.1
272,2023-01-04 01:00:00,127.4
273,2023-01-04 01:15:00,127.9
274,2023-01-04 01:30:00,120.7
275,2023-01-04 01:45:00,121.5
276,2023-01-04 02:00:00,108.3
277,2023-01-04 02:15:00,101.0
278,2023-01-04 02:30:00,101.4
279,2023-01-04 02:45:00,100.1
280,2023-01-04 03:00:00,103.7
281,2023-01-04 03:15:00,103.3
282,2023-01-04 03:30:00,105.9
283,2023-01-04 03:45:00,102.7
284,2023-01-04 04:00:00,104.2
285,2023-01-04 04:15:00,100.3
286,2023-01-04 04:30:00,104.1
287,2023-01-04 04:45:00,104.2
288,2023-01-04 05:00:00,112.1
289,2023-01-04 05:15:00,117.3
290,2023-01-04 05:30:00,114.1
291,2023-01-04 05:45:00,118.0
292,2023-01-04 06:00:00,119.6
293,2023-01-04 06:15:00,117.7
294,2023-01-04 06:30:00,121.1
295,2023-01-04 06:45:00,114.7
296,2023-01-04 07:00:00,113.0
297,2023-01-04 07:15:00,117.1
298,2023-01-04 07:30:00,114.4
299,2023-01-04 07:45:00,116.9
300,2023-01-04 08:00:00,117.8
301,2023-01-04 08:15:00,124.8
302,2023-01-04 08:30:00,109.1
303,2023-01-04 08:45:00,115.5
304,2023-01-04 09:00:00,112.4
305,2023-01-04 09:15:00,118.9
306,2023-01-04 09:30:00,113.7
307,2023-01-04 09:45:00,114.0
308,2023-01-04 10:00:00,112.9
309,2023-01-04 10:15:00,103.2
310,2023-01-04 10:30:00,112.4
311,2023-01-04 10:45:00,124.5
312,2023-01-04 11:00:00,102.8
313,2023-01-04 11:15:00,103.5
314,2023-01-04 11:30:00,108.8
315,2023-01-04 11:45:00,110.8
316,2023-01-04 12:00:00,116.2
317,2023-01-04 12:15:00,121.9
318,2023-01-04 12:30:00,118.9
319,2023-01-04 12:45:00,116.1
320,2023-01-04 13:00:00,112.4
321,2023-01-04 13:15:00,113.4
322,2023-01-04 13:30:00,117.2
323,2023-01-04 13:45:00,123.7
324,2023-01-04 14:00:00,118.3
325,2023-01-04 14:15:00,115.5
326,2023-01-04 14:30:00,118.3
327,2023-01-04 14:45:00,116.8
328,2023-01-04 15:00:00,121.2
329,2023-01-04 15:15:00,127.4
330,2023-01-04 15:30:00,130.2
331,2023-01-04 15:45:00,123.7
332,2023-01-04 16:00:00,122.2
333,2023-01-04 16:15:00,122.5
334,2023-01-04 16:30:00,122.3
335,2023-01-04 16:45:00,120.6
336,2023-01-04 17:00:00,124.4
337,2023-01-04 17:15:00,129.9
338,2023-01-04 17:30:00,129.3
339,2023-01-04 17:45:00,125.1
340,2023-01-04 18:00:00,126.5
341,2023-01-04 18:15:00,127.0
342,2023-01-04 18:30:00,125.9
343,2023-01-04 18:45:00,127.1
344,2023-01-04 19:00:00,127.6
345,2023-01-04 19:15:00,133.0
346,2023-01-04 19:30:00,138.0
347,2023-01-04 19:45:00,123.8
348,2023-01-04 20:00:00,126.1
349,2023-01-04 20:15:00,125.2
350,2023-01-04 20:30:00,122.8
351,2023-01-04 20:45:00,125.4
352,2023-01-04 21:00:00,119.8
353,2023-01-04 21:15:00,126.8
354,2023-01-04 21:30:00,119.6
355,2023-01-04 21:45:00,126.0
356,2023-01-04 22:00:00,126.0
357,2023-01-04 22:15:00,125.4
358,2023-01-04 22:30:00,123.5
359,2023-01-04 22:45:00,122.6
360,2023-01-04 23:00:00,130.3
361,2023-01-04 23:15:00,130.6
362,2023-01-04 23:30:00,126.1
363,2023-01-04 23:45:00,127.2
364,2023-01-05 00:00:00,123.7
365,2023-01-05 00:15:00,123.1
366,2023-01-05 00:30:00,125.3
367,2023-01-05 00:45:00,118.6
368,2023-01-05 01:00:00,116.7
369,2023-01-05 01:15:00,116.2
370,2023-01-05 01:30:00,111.2
371,2023-01-05 01:45:00,111.5
372,2023-01-05 02:00:00,99.8
373,2023-01-05 02:15:00,102.3
374,2023-01-05 02:30:00,104.4
375,2023-01-05 02:45:00,104.1
376,2023-01-05 03:00:00,102.0
377,2023-01-05 03:15:00,100.9
378,2023-01-05 03:30:00,100.6
379,2023-01-05 03:45:00,100.6
380,2023-01-05 04:00:00,100.1
381,2023-01-05 04:15:00,106.1
382,2023-01-05 04:30:00,103.8
383,2023-01-05 04:45:00,98.7
384,2023-01-05 05:00:00,100.5
385,2023-01-05 05:15:00,97.0
386,2023-01-05 05:30:00,100.6
387,2023-01-05 05:45:00,97.6
388,2023-01-05 06:00:00,103.6
389,2023-01-05 06:15:00,110.0
390,2023-01-05 06:30:00,106.7
391,2023-01-05 06:45:00,108.4
392,2023-01-05 07:00:00,109.4
393,2023-01-05 07:15:00,107.0
394,2023-01-05 07:30:00,104.1
395,2023-01-05 07:45:00,108.6
396,2023-01-05 08:00:00,109.5
397,2023-01-05 08:15:00,111.1
398,2023-01-05 08:30:00,122.4
399,2023-01-05 08:45:00,112.1
400,2023-01-05 09:00:00,112.9
401,2023-01-05 09:15:00,116.0
402,2023-01-05 09:30:00,114.9
403,2023-01-05 09:45:00,103.8
404,2023-01-05 10:00:00,105.9
405,2023-01-05 10:15:00,105.9
406,2023-01-05 10:30:00,111.6
407,2023-01-05 10:45:00,109.2
408,2023-01-05 11:00:00,117.9
409,2023-01-05 11:15:00,120.4
410,2023-01-05 11:30:00,102.4
411,2023-01-05 11:45:00,106.4
412,2023-01-05 12:00:00,105.0
413,2023-01-05 12:15:00,122.7
414,2023-01-05 12:30:00,122.9
415,2023-01-05 12:45:00,117.4
416,2023-01-05 13:00:00,113.9
417,2023-01-05 13:15:00,114.9
418,2023-01-05 13:30:00,119.8
419,2023-01-05 13:45:00,115.8
420,2023-01-05 14:00:00,120.7
421,2023-01-05 14:15:00,119.7
422,2023-01-05 14:30:00,130.1
423,2023-01-05 14:45:00,129.2
424,2023-01-05 15:00:00,134.2
425,2023-01-05 15:15:00,129.6
426,2023-01-05 15:30:00,128.4
427,2023-01-05 15:45:00,128.0
428,2023-01-05 16:00:00,124.2
429,2023-01-05 16:15:00,127.6
430,2023-01-05 16:30:00,127.3
431,2023-01-05 16:45:00,126.1
432,2023-01-05 17:00:00,128.7
433,2023-01-05 17:15:00,135.0
434,2023-01-05 17:30:00,132.8
435,2023-01-05 17:45:00,136.8
436,2023-01-05 18:00:00,134.6
437,2023-01-05 18:15:00,135.4
438,2023-01-05 18:30:00,131.4
439,2023-01-05 18:45:00,131.1
440,2023-01-05 19:00:00,132.4
441,2023-01-05 19:15:00,139.9
442,2023-01-05 19:30:00,133.5
443,2023-01-05 19:45:00,137.5
444,2023-01-05 20:00:00,131.8
445,2023-01-05 20:15:00,129.9
446,2023-01-05 20:30:00,128.4
447,2023-01-05 20:45:00,129.5
448,2023-01-05 21:00:00,127.9
449,2023-01-05 21:15:00,125.9
450,2023-01-05 21:30:00,125.1
451,2023-01-05 21:45:00,125.8
452,2023-01-05 22:00:00,130.0
453,2023-01-05 22:15:00,135.1
454,2023-01-05 22:30:00,124.1
455,2023-01-05 22:45:00,128.0
456,2023-01-05 23:00:00,127.4
457,2023-01-05 23:15:00,127.6
458,2023-01-05 23:30:00,128.4
459,2023-01-05 23:45:00,125.2
460,2023-01-06 00:00:00,133.0
461,2023-01-06 00:15:00,129.8
462,2023-01-06 00:30:00,135.1
463,2023-01-06 00:45:00,128.9
464,2023-01-06 01:00:00,125.9
465,2023-01-06 01:15:00,122.7
466,2023-01-06 01:30:00,119.5
467,2023-01-06 01:45:00,120.5
468,2023-01-06 02:00:00,104.4
469,2023-01-06 02:15:00,108.5
470,2023-01-06 02:30:00,109.1
471,2023-01-06 02:45:00,110.0
472,2023-01-06 03:00:00,112.9
473,2023-01-06 03:15:00,113.3
474,2023-01-06 03:30:00,101.7
475,2023-01-06 03:45:00,106.3
476,2023-01-06 04:00:00,109.6
477,2023-01-06 04:15:00,114.8
478,2023-01-06 04:30:00,119.1
479,2023-01-06 04:45:00,114.8
480,2023-01-06 05:00:00,119.7
481,2023-01-06 05:15:00,122.7
482,2023-01-06 05:30:00,115.6
483,2023-01-06 05:45:00,117.7
484,2023-01-06 06:00:00,112.5
485,2023-01-06 06:15:00,116.6
486,2023-01-06 06:30:00,118.4
487,2023-01-06 06:45:00,113.0
488,2023-01-06 07:00:00,121.6
489,2023-01-06 07:15:00,118.4
490,2023-01-06 07:30:00,119.0
491,2023-01-06 07:45:00,120.0
492,2023-01-06 08:00:00,113.0
493,2023-01-06 08:15:00,118.5
494,2023-01-06 08:30:00,113.0
495,2023-01-06 08:45:00,122.4
496,2023-01-06 09:00:00,125.1
497,2023-01-06 09:15:00,116.2
498,2023-01-06 09:30:00,114.8
499,2023-01-06 09:45:00,115.7
500,2023-01-06 10:00:00,107.9
501,2023-01-06 10:15:00,120.0
502,2023-01-06 10:30:00,125.3
503,2023-01-06 10:45:00,109.9
504,2023-01-06 11:00:00,108.7
505,2023-01-06 11:15:00,108.8
506,2023-01-06 11:30:00,120.1
507,2023-01-06 11:45:00,123.6
508,2023-01-06 12:00:00,117.9
509,2023-01-06 12:15:00,127.0
510,2023-01-06 12:30:00,127.0
511,2023-01-06 12:45:00,120.3
512,2023-01-06 13:00:00,118.9
513,2023-01-06 13:15:00,114.2
514,2023-01-06 13:30:00,117.2
515,2023-01-06 13:45:00,115.6
516,2023-01-06 14:00:00,127.8
517,2023-01-06 14:15:00,126.6
518,2023-01-06 14:30:00,131.1
519,2023-01-06 14:45:00,126.8
520,2023-01-06 15:00:00,123.0
521,2023-01-06 15:15:00,129.0
522,2023-01-06 15:30:00,123.3
523,2023-01-06 15:45:00,124.4
524,2023-01-06 16:00:00,127.5
525,2023-01-06 16:15:00,125.2
526,2023-01-06 16:30:00,132.4
527,2023-01-06 16:45:00,132.0
528,2023-01-06 17:00:00,134.9
529,2023-01-06 17:15:00,131.5
530,2023-01-06 17:30:00,127.9
531,2023-01-06 17:45:00,134.8
532,2023-01-06 18:00:00,135.1
533,2023-01-06 18:15:00,127.5
