Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,155.5
1,2023-01-01 05:15:00,152.4
2,2023-01-01 05:30:00,145.1
3,2023-01-01 05:45:00,145.2
4,2023-01-01 06:00:00,142.3
5,2023-01-01 06:15:00,180.5
6,2023-01-01 06:30:00,147.6
7,2023-01-01 06:45:00,139.1
8,2023-01-01 07:00:00,153.5
9,2023-01-01 07:15:00,150.8
10,2023-01-01 07:30:00,148.8
11,2023-01-01 07:45:00,145.2
12,2023-01-01 08:00:00,143.0
13,2023-01-01 08:15:00,147.7
14,2023-01-01 08:30:00,146.8
15,2023-01-01 08:45:00,145.9
16,2023-01-01 09:00:00,141.6
17,2023-01-01 09:15:00,151.5
18,2023-01-01 09:30:00,153.3
19,2023-01-01 09:45:00,150.0
20,2023-01-01 10:00:00,155.3
21,2023-01-01 10:15:00,145.1
22,2023-01-01 10:30:00,141.2
23,2023-01-01 10:45:00,141.7
24,2023-01-01 11:00:00,145.2
25,2023-01-01 11:15:00,148.3
26,2023-01-01 11:30:00,142.3
27,2023-01-01 11:45:00,154.0
28,2023-01-01 12:00:00,160.7
29,2023-01-01 12:15:00,152.6
30,2023-01-01 12:30:00,151.4
31,2023-01-01 12:45:00,146.6
32,2023-01-01 13:00:00,141.8
33,2023-01-01 13:15:00,152.2
34,2023-01-01 13:30:00,159.4
35,2023-01-01 13:45:00,155.1
36,2023-01-01 14:00:00,146.6
37,2023-01-01 14:15:00,141.9
38,2023-01-01 14:30:00,148.0
39,2023-01-01 14:45:00,145.2
40,2023-01-01 15:00:00,144.2
41,2023-01-01 15:15:00,141.3
42,2023-01-01 15:30:00,140.6
43,2023-01-01 15:45:00,145.7
44,2023-01-01 16:00:00,142.3
45,2023-01-01 16:15:00,146.6
46,2023-01-01 16:30:00,157.7
47,2023-01-01 16:45:00,156.1
48,2023-01-01 17:00:00,153.8
49,2023-01-01 17:15:00,150.4
50,2023-01-01 17:30:00,148.4
51,2023-01-01 17:45:00,142.7
52,2023-01-01 18:00:00,139.8
53,2023-01-01 18:15:00,143.3
54,2023-01-01 18:30:00,152.8
55,2023-01-01 18:45:00,142.9
56,2023-01-01 19:00:00,139.8
57,2023-01-01 19:15:00,151.7
58,2023-01-01 19:30:00,154.3
59,2023-01-01 19:45:00,142.1
60,2023-01-01 20:00:00,146.8
61,2023-01-01 20:15:00,148.0
62,2023-01-01 20:30:00,150.0
63,2023-01-01 20:45:00,149.4
64,2023-01-01 21:00:00,151.0
65,2023-01-01 21:15:00,146.2
66,2023-01-01 21:30:00,153.9
67,2023-01-01 21:45:00,148.1
68,2023-01-01 22:00:00,146.0
69,2023-01-01 22:15:00,146.1
70,2023-01-01 22:30:00,144.0
71,2023-01-01 22:45:00,148.6
72,2023-01-01 23:00:00,150.1
73,2023-01-01 23:15:00,137.5
74,2023-01-01 23:30:00,153.2
75,2023-01-01 23:45:00,152.4
76,2023-01-02 00:00:00,156.3
77,2023-01-02 00:15:00,148.7
78,2023-01-02 00:30:00,148.7
79,2023-01-02 00:45:00,151.3
80,2023-01-02 01:00:00,154.2
81,2023-01-02 01:15:00,142.9
82,2023-01-02 01:30:00,144.6
83,2023-01-02 01:45:00,145.7
84,2023-01-02 02:00:00,142.7
85,2023-01-02 02:15:00,148.4
86,2023-01-02 02:30:00,141.0
87,2023-01-02 02:45:00,149.5
88,2023-01-02 03:00:00,146.5
89,2023-01-02 03:15:00,137.5
90,2023-01-02 03:30:00,149.1
91,2023-01-02 03:45:00,147.1
92,2023-01-02 04:00:00,153.6
93,2023-01-02 04:15:00,147.5
94,2023-01-02 04:30:00,142.5
95,2023-01-02 04:45:00,146.2
96,2023-01-02 05:00:00,141.8
97,2023-01-02 05:15:00,146.6
98,2023-01-02 05:30:00,153.2
99,2023-01-02 05:45:00,149.5
100,2023-01-02 06:00:00,168.0
101,2023-01-02 06:15:00,143.9
102,2023-01-02 06:30:00,152.2
103,2023-01-02 06:45:00,141.6
104,2023-01-02 07:00:00,143.1
105,2023-01-02 07:15:00,138.6
106,2023-01-02 07:30:00,140.1
