Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,125.1
1,2023-01-01 05:15:00,131.3
2,2023-01-01 05:30:00,120.4
3,2023-01-01 05:45:00,130.3
4,2023-01-01 06:00:00,129.1
5,2023-01-01 06:15:00,126.0
6,2023-01-01 06:30:00,122.3
7,2023-01-01 06:45:00,121.3
8,2023-01-01 07:00:00,147.2
9,2023-01-01 07:15:00,120.1
10,2023-01-01 07:30:00,131.6
11,2023-01-01 07:45:00,124.5
12,2023-01-01 08:00:00,129.0
13,2023-01-01 08:15:00,130.0
14,2023-01-01 08:30:00,127.7
15,2023-01-01 08:45:00,145.5
16,2023-01-01 09:00:00,117.7
17,2023-01-01 09:15:00,130.9
18,2023-01-01 09:30:00,126.1
19,2023-01-01 09:45:00,132.4
20,2023-01-01 10:00:00,121.5
21,2023-01-01 10:15:00,138.2
22,2023-01-01 10:30:00,138.4
23,2023-01-01 10:45:00,130.0
24,2023-01-01 11:00:00,135.1
25,2023-01-01 11:15:00,154.6
26,2023-01-01 11:30:00,138.8
27,2023-01-01 11:45:00,140.2
28,2023-01-01 12:00:00,157.5
29,2023-01-01 12:15:00,151.0
30,2023-01-01 12:30:00,162.2
31,2023-01-01 12:45:00,146.2
32,2023-01-01 13:00:00,175.4
33,2023-01-01 13:15:00,142.5
34,2023-01-01 13:30:00,156.4
35,2023-01-01 13:45:00,162.7
36,2023-01-01 14:00:00,156.1
37,2023-01-01 14:15:00,152.6
38,2023-01-01 14:30:00,169.7
39,2023-01-01 14:45:00,147.8
40,2023-01-01 15:00:00,151.0
41,2023-01-01 15:15:00,162.6
42,2023-01-01 15:30:00,161.0
43,2023-01-01 15:45:00,150.5
44,2023-01-01 16:00:00,154.8
45,2023-01-01 16:15:00,141.0
46,2023-01-01 16:30:00,159.4
47,2023-01-01 16:45:00,139.7
48,2023-01-01 17:00:00,176.5
49,2023-01-01 17:15:00,147.4
50,2023-01-01 17:30:00,154.8
51,2023-01-01 17:45:00,149.2
52,2023-01-01 18:00:00,155.5
53,2023-01-01 18:15:00,142.2
54,2023-01-01 18:30:00,159.6
55,2023-01-01 18:45:00,155.4
56,2023-01-01 19:00:00,157.5
57,2023-01-01 19:15:00,142.7
58,2023-01-01 19:30:00,176.9
59,2023-01-01 19:45:00,143.6
60,2023-01-01 20:00:00,155.2
61,2023-01-01 20:15:00,164.0
62,2023-01-01 20:30:00,155.8
63,2023-01-01 20:45:00,142.4
64,2023-01-01 21:00:00,162.1
65,2023-01-01 21:15:00,144.4
66,2023-01-01 21:30:00,156.6
67,2023-01-01 21:45:00,150.0
68,2023-01-01 22:00:00,157.4
69,2023-01-01 22:15:00,147.2
70,2023-01-01 22:30:00,156.2
71,2023-01-01 22:45:00,169.5
72,2023-01-01 23:00:00,161.7
73,2023-01-01 23:15:00,154.5
74,2023-01-01 23:30:00,165.7
75,2023-01-01 23:45:00,154.9
76,2023-01-02 00:00:00,159.1
77,2023-01-02 00:15:00,137.6
78,2023-01-02 00:30:00,153.3
79,2023-01-02 00:45:00,137.7
80,2023-01-02 01:00:00,159.7
81,2023-01-02 01:15:00,137.9
82,2023-01-02 01:30:00,159.4
83,2023-01-02 01:45:00,139.9
84,2023-01-02 02:00:00,167.4
85,2023-01-02 02:15:00,143.1
86,2023-01-02 02:30:00,160.9
87,2023-01-02 02:45:00,152.9
88,2023-01-02 03:00:00,150.2
89,2023-01-02 03:15:00,137.3
90,2023-01-02 03:30:00,145.9
91,2023-01-02 03:45:00,140.2
92,2023-01-02 04:00:00,152.0
93,2023-01-02 04:15:00,145.7
94,2023-01-02 04:30:00,152.6
95,2023-01-02 04:45:00,143.5
96,2023-01-02 05:00:00,130.6
97,2023-01-02 05:15:00,147.6
98,2023-01-02 05:30:00,121.5
99,2023-01-02 05:45:00,122.4
100,2023-01-02 06:00:00,125.5
101,2023-01-02 06:15:00,126.1
102,2023-01-02 06:30:00,132.0
103,2023-01-02 06:45:00,132.4
104,2023-01-02 07:00:00,124.7
105,2023-01-02 07:15:00,127.4
106,2023-01-02 07:30:00,129.5
107,2023-01-02 07:45:00,146.9
108,2023-01-02 08:00:00,122.7
109,2023-01-02 08:15:00,130.1
110,2023-01-02 08:30:00,137.6
111,2023-01-02 08:45:00,119.7
112,2023-01-02 09:00:00,126.7
113,2023-01-02 09:15:00,147.0
114,2023-01-02 09:30:00,126.7
115,2023-01-02 09:45:00,136.6
116,2023-01-02 10:00:00,127.4
117,2023-01-02 10:15:00,134.2
118,2023-01-02 10:30:00,128.7
119,2023-01-02 10:45:00,139.1
120,2023-01-02 11:00:00,131.3
121,2023-01-02 11:15:00,161.3
122,2023-01-02 11:30:00,147.4
123,2023-01-02 11:45:00,156.7
124,2023-01-02 12:00:00,150.3
125,2023-01-02 12:15:00,166.9
126,2023-01-02 12:30:00,167.1
127,2023-01-02 12:45:00,165.6
128,2023-01-02 13:00:00,167.2
129,2023-01-02 13:15:00,183.9
130,2023-01-02 13:30:00,170.4
131,2023-01-02 13:45:00,163.2
132,2023-01-02 14:00:00,177.5
133,2023-01-02 14:15:00,173.2
134,2023-01-02 14:30:00,175.2
135,2023-01-02 14:45:00,167.2
136,2023-01-02 15:00:00,185.3
137,2023-01-02 15:15:00,165.3
138,2023-01-02 15:30:00,172.7
139,2023-01-02 15:45:00,164.9
140,2023-01-02 16:00:00,180.2
141,2023-01-02 16:15:00,161.2
142,2023-01-02 16:30:00,156.2
143,2023-01-02 16:45:00,160.3
144,2023-01-02 17:00:00,163.3
145,2023-01-02 17:15:00,159.3
146,2023-01-02 17:30:00,164.5
147,2023-01-02 17:45:00,154.6
148,2023-01-02 18:00:00,163.3
149,2023-01-02 18:15:00,164.4
