Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,299.0
1,2023-01-01 05:15:00,320.1
2,2023-01-01 05:30:00,339.8
3,2023-01-01 05:45:00,301.5
4,2023-01-01 06:00:00,329.5
5,2023-01-01 06:15:00,339.7
6,2023-01-01 06:30:00,308.8
7,2023-01-01 06:45:00,340.4
8,2023-01-01 07:00:00,317.3
9,2023-01-01 07:15:00,310.7
10,2023-01-01 07:30:00,294.3
11,2023-01-01 07:45:00,310.9
12,2023-01-01 08:00:00,324.0
13,2023-01-01 08:15:00,330.1
14,2023-01-01 08:30:00,328.5
15,2023-01-01 08:45:00,300.2
16,2023-01-01 09:00:00,308.3
17,2023-01-01 09:15:00,315.0
18,2023-01-01 09:30:00,329.9
19,2023-01-01 09:45:00,315.4
20,2023-01-01 10:00:00,339.7
21,2023-01-01 10:15:00,298.1
22,2023-01-01 10:30:00,315.6
23,2023-01-01 10:45:00,304.3
24,2023-01-01 11:00:00,339.1
25,2023-01-01 11:15:00,330.6
26,2023-01-01 11:30:00,297.7
27,2023-01-01 11:45:00,312.6
28,2023-01-01 12:00:00,340.6
29,2023-01-01 12:15:00,349.8
30,2023-01-01 12:30:00,344.5
31,2023-01-01 12:45:00,347.8
32,2023-01-01 13:00:00,329.5
33,2023-01-01 13:15:00,327.6
34,2023-01-01 13:30:00,344.4
35,2023-01-01 13:45:00,370.8
36,2023-01-01 14:00:00,352.6
37,2023-01-01 14:15:00,336.4
38,2023-01-01 14:30:00,339.9
39,2023-01-01 14:45:00,361.7
40,2023-01-01 15:00:00,361.6
41,2023-01-01 15:15:00,358.6
42,2023-01-01 15:30:00,349.6
43,2023-01-01 15:45:00,349.9
44,2023-01-01 16:00:00,381.9
45,2023-01-01 16:15:00,361.8
46,2023-01-01 16:30:00,347.8
47,2023-01-01 16:45:00,330.5
48,2023-01-01 17:00:00,362.8
49,2023-01-01 17:15:00,363.4
50,2023-01-01 17:30:00,370.9
51,2023-01-01 17:45:00,365.2
52,2023-01-01 18:00:00,315.6
53,2023-01-01 18:15:00,311.9
54,2023-01-01 18:30:00,316.3
55,2023-01-01 18:45:00,356.0
56,2023-01-01 19:00:00,335.2
57,2023-01-01 19:15:00,323.8
58,2023-01-01 19:30:00,324.8
59,2023-01-01 19:45:00,329.6
60,2023-01-01 20:00:00,316.6
61,2023-01-01 20:15:00,357.0
62,2023-01-01 20:30:00,326.5
63,2023-01-01 20:45:00,322.9
64,2023-01-01 21:00:00,323.4
65,2023-01-01 21:15:00,340.8
66,2023-01-01 21:30:00,366.2
67,2023-01-01 21:45:00,340.9
68,2023-01-01 22:00:00,329.5
69,2023-01-01 22:15:00,338.8
70,2023-01-01 22:30:00,318.1
71,2023-01-01 22:45:00,338.2
72,2023-01-01 23:00:00,352.1
73,2023-01-01 23:15:00,317.1
74,2023-01-01 23:30:00,343.9
75,2023-01-01 23:45:00,322.6
76,2023-01-02 00:00:00,332.4
77,2023-01-02 00:15:00,327.1
78,2023-01-02 00:30:00,332.5
79,2023-01-02 00:45:00,324.0
80,2023-01-02 01:00:00,317.7
81,2023-01-02 01:15:00,396.6
82,2023-01-02 01:30:00,347.3
83,2023-01-02 01:45:00,355.2
84,2023-01-02 02:00:00,332.9
85,2023-01-02 02:15:00,329.1
86,2023-01-02 02:30:00,359.4
87,2023-01-02 02:45:00,371.9
88,2023-01-02 03:00:00,336.0
89,2023-01-02 03:15:00,366.5
90,2023-01-02 03:30:00,341.3
91,2023-01-02 03:45:00,369.4
92,2023-01-02 04:00:00,361.9
93,2023-01-02 04:15:00,348.4
94,2023-01-02 04:30:00,296.3
95,2023-01-02 04:45:00,315.0
96,2023-01-02 05:00:00,309.7
97,2023-01-02 05:15:00,326.8
98,2023-01-02 05:30:00,352.2
99,2023-01-02 05:45:00,308.2
100,2023-01-02 06:00:00,308.3
101,2023-01-02 06:15:00,300.4
102,2023-01-02 06:30:00,349.9
103,2023-01-02 06:45:00,308.8
104,2023-01-02 07:00:00,329.0
105,2023-01-02 07:15:00,341.3
106,2023-01-02 07:30:00,337.7
107,2023-01-02 07:45:00,375.7
108,2023-01-02 08:00:00,326.7
109,2023-01-02 08:15:00,313.7
110,2023-01-02 08:30:00,329.0
111,2023-01-02 08:45:00,362.3
112,2023-01-02 09:00:00,366.9
113,2023-01-02 09:15:00,352.6
114,2023-01-02 09:30:00,364.6
115,2023-01-02 09:45:00,345.0
116,2023-01-02 10:00:00,361.3
117,2023-01-02 10:15:00,378.3
118,2023-01-02 10:30:00,346.4
119,2023-01-02 10:45:00,371.4
120,2023-01-02 11:00:00,346.3
121,2023-01-02 11:15:00,376.9
122,2023-01-02 11:30:00,371.7
123,2023-01-02 11:45:00,359.2
124,2023-01-02 12:00:00,385.4
125,2023-01-02 12:15:00,396.4
126,2023-01-02 12:30:00,374.7
127,2023-01-02 12:45:00,354.7
128,2023-01-02 13:00:00,327.3
129,2023-01-02 13:15:00,351.0
130,2023-01-02 13:30:00,339.3
131,2023-01-02 13:45:00,325.8
132,2023-01-02 14:00:00,346.8
133,2023-01-02 14:15:00,369.5
134,2023-01-02 14:30:00,350.6
135,2023-01-02 14:45:00,351.3
136,2023-01-02 15:00:00,337.9
137,2023-01-02 15:15:00,376.1
138,2023-01-02 15:30:00,341.6
139,2023-01-02 15:45:00,354.3
140,2023-01-02 16:00:00,371.3
141,2023-01-02 16:15:00,348.1
142,2023-01-02 16:30:00,343.1
143,2023-01-02 16:45:00,392.6
144,2023-01-02 17:00:00,394.8
145,2023-01-02 17:15:00,363.4
146,2023-01-02 17:30:00,329.4
147,2023-01-02 17:45:00,342.1
148,2023-01-02 18:00:00,320.3
149,2023-01-02 18:15:00,355.5
150,2023-01-02 18:30:00,356.4
151,2023-01-02 18:45:00,387.5
152,2023-01-02 19:00:00,374.8
153,2023-01-02 19:15:00,367.5
154,2023-01-02 19:30:00,375.0
155,2023-01-02 19:45:00,343.2
156,2023-01-02 20:00:00,363.5
157,2023-01-02 20:15:00,350.2
158,2023-01-02 20:30:00,355.0
159,2023-01-02 20:45:00,313.3
160,2023-01-02 21:00:00,323.0
161,2023-01-02 21:15:00,365.0
162,2023-01-02 21:30:00,408.1
163,2023-01-02 21:45:00,355.1
164,2023-01-02 22:00:00,334.9
165,2023-01-02 22:15:00,362.1
166,2023-01-02 22:30:00,357.0
167,2023-01-02 22:45:00,378.5
168,2023-01-02 23:00:00,355.1
169,2023-01-02 23:15:00,339.8
170,2023-01-02 23:30:00,343.9
171,2023-01-02 23:45:00,325.5
172,2023-01-03 00:00:00,325.3
173,2023-01-03 00:15:00,347.4
174,2023-01-03 00:30:00,322.2
175,2023-01-03 00:45:00,329.8
176,2023-01-03 01:00:00,305.8
177,2023-01-03 01:15:00,321.6
178,2023-01-03 01:30:00,337.1
179,2023-01-03 01:45:00,330.9
180,2023-01-03 02:00:00,327.6
181,2023-01-03 02:15:00,298.1
182,2023-01-03 02:30:00,316.6
183,2023-01-03 02:45:00,326.0
184,2023-01-03 03:00:00,323.7
185,2023-01-03 03:15:00,326.4
186,2023-01-03 03:30:00,339.7
187,2023-01-03 03:45:00,308.7
188,2023-01-03 04:00:00,341.0
189,2023-01-03 04:15:00,321.2
190,2023-01-03 04:30:00,311.8
191,2023-01-03 04:45:00,305.2
192,2023-01-03 05:00:00,305.7
193,2023-01-03 05:15:00,333.8
194,2023-01-03 05:30:00,317.7
195,2023-01-03 05:45:00,309.6
196,2023-01-03 06:00:00,321.7
197,2023-01-03 06:15:00,353.1
198,2023-01-03 06:30:00,350.6
199,2023-01-03 06:45:00,361.3
200,2023-01-03 07:00:00,381.9
201,2023-01-03 07:15:00,328.4
202,2023-01-03 07:30:00,342.3
203,2023-01-03 07:45:00,355.0
204,2023-01-03 08:00:00,322.1
205,2023-01-03 08:15:00,363.6
206,2023-01-03 08:30:00,329.5
207,2023-01-03 08:45:00,348.0
208,2023-01-03 09:00:00,354.2
209,2023-01-03 09:15:00,402.9
210,2023-01-03 09:30:00,359.3
211,2023-01-03 09:45:00,353.8
212,2023-01-03 10:00:00,417.4
213,2023-01-03 10:15:00,367.7
214,2023-01-03 10:30:00,374.4
215,2023-01-03 10:45:00,386.9
216,2023-01-03 11:00:00,398.0
217,2023-01-03 11:15:00,370.7
218,2023-01-03 11:30:00,387.6
219,2023-01-03 11:45:00,379.3
220,2023-01-03 12:00:00,398.9
221,2023-01-03 12:15:00,415.6
222,2023-01-03 12:30:00,381.1
223,2023-01-03 12:45:00,420.5
224,2023-01-03 13:00:00,388.3
225,2023-01-03 13:15:00,414.5
226,2023-01-03 13:30:00,449.8
227,2023-01-03 13:45:00,417.4
228,2023-01-03 14:00:00,473.0
229,2023-01-03 14:15:00,481.3
230,2023-01-03 14:30:00,487.8
231,2023-01-03 14:45:00,467.2
232,2023-01-03 15:00:00,536.3
233,2023-01-03 15:15:00,473.0
234,2023-01-03 15:30:00,486.6
235,2023-01-03 15:45:00,518.9
236,2023-01-03 16:00:00,455.8
237,2023-01-03 16:15:00,438.8
238,2023-01-03 16:30:00,444.2
239,2023-01-03 16:45:00,501.9
240,2023-01-03 17:00:00,484.2
241,2023-01-03 17:15:00,447.7
242,2023-01-03 17:30:00,433.1
243,2023-01-03 17:45:00,472.4
244,2023-01-03 18:00:00,491.7
245,2023-01-03 18:15:00,438.7
246,2023-01-03 18:30:00,432.3
247,2023-01-03 18:45:00,465.0
248,2023-01-03 19:00:00,469.9
249,2023-01-03 19:15:00,413.2
250,2023-01-03 19:30:00,439.0
251,2023-01-03 19:45:00,475.9
252,2023-01-03 20:00:00,477.8
253,2023-01-03 20:15:00,410.5
254,2023-01-03 20:30:00,419.6
255,2023-01-03 20:45:00,401.7
256,2023-01-03 21:00:00,418.0
257,2023-01-03 21:15:00,417.4
258,2023-01-03 21:30:00,395.7
259,2023-01-03 21:45:00,373.9
260,2023-01-03 22:00:00,427.4
261,2023-01-03 22:15:00,391.7
262,2023-01-03 22:30:00,363.3
263,2023-01-03 22:45:00,390.4
264,2023-01-03 23:00:00,347.7
265,2023-01-03 23:15:00,399.8
266,2023-01-03 23:30:00,338.9
267,2023-01-03 23:45:00,373.3
268,2023-01-04 00:00:00,354.9
269,2023-01-04 00:15:00,311.2
270,2023-01-04 00:30:00,334.9
271,2023-01-04 00:45:00,351.0
272,2023-01-04 01:00:00,325.8
273,2023-01-04 01:15:00,342.1
274,2023-01-04 01:30:00,314.9
275,2023-01-04 01:45:00,367.7
276,2023-01-04 02:00:00,349.9
277,2023-01-04 02:15:00,310.8
278,2023-01-04 02:30:00,340.3
279,2023-01-04 02:45:00,318.7
280,2023-01-04 03:00:00,331.1
281,2023-01-04 03:15:00,333.6
282,2023-01-04 03:30:00,345.7
283,2023-01-04 03:45:00,324.1
284,2023-01-04 04:00:00,311.0
285,2023-01-04 04:15:00,350.8
286,2023-01-04 04:30:00,350.8
287,2023-01-04 04:45:00,328.2
288,2023-01-04 05:00:00,323.8
289,2023-01-04 05:15:00,338.9
290,2023-01-04 05:30:00,344.8
291,2023-01-04 05:45:00,347.7
292,2023-01-04 06:00:00,321.8
293,2023-01-04 06:15:00,309.5
294,2023-01-04 06:30:00,325.5
295,2023-01-04 06:45:00,353.7
296,2023-01-04 07:00:00,329.3
297,2023-01-04 07:15:00,353.8
298,2023-01-04 07:30:00,317.1
299,2023-01-04 07:45:00,314.0
300,2023-01-04 08:00:00,359.2
301,2023-01-04 08:15:00,375.2
302,2023-01-04 08:30:00,360.5
303,2023-01-04 08:45:00,336.8
304,2023-01-04 09:00:00,357.3
305,2023-01-04 09:15:00,337.4
306,2023-01-04 09:30:00,379.4
307,2023-01-04 09:45:00,385.2
308,2023-01-04 10:00:00,402.6
309,2023-01-04 10:15:00,386.9
310,2023-01-04 10:30:00,394.8
311,2023-01-04 10:45:00,369.5
312,2023-01-04 11:00:00,411.8
313,2023-01-04 11:15:00,401.3
314,2023-01-04 11:30:00,414.6
315,2023-01-04 11:45:00,435.3
316,2023-01-04 12:00:00,423.0
317,2023-01-04 12:15:00,429.1
318,2023-01-04 12:30:00,447.3
319,2023-01-04 12:45:00,445.5
320,2023-01-04 13:00:00,412.5
321,2023-01-04 13:15:00,405.9
322,2023-01-04 13:30:00,440.1
323,2023-01-04 13:45:00,447.9
324,2023-01-04 14:00:00,469.8
325,2023-01-04 14:15:00,431.6
326,2023-01-04 14:30:00,461.8
327,2023-01-04 14:45:00,444.8
328,2023-01-04 15:00:00,443.6
329,2023-01-04 15:15:00,466.8
330,2023-01-04 15:30:00,452.1
331,2023-01-04 15:45:00,446.2
332,2023-01-04 16:00:00,476.0
333,2023-01-04 16:15:00,493.0
334,2023-01-04 16:30:00,490.2
335,2023-01-04 16:45:00,473.5
336,2023-01-04 17:00:00,530.9
337,2023-01-04 17:15:00,473.7
338,2023-01-04 17:30:00,551.2
339,2023-01-04 17:45:00,426.2
340,2023-01-04 18:00:00,426.4
341,2023-01-04 18:15:00,525.9
342,2023-01-04 18:30:00,478.7
343,2023-01-04 18:45:00,464.0
344,2023-01-04 19:00:00,437.9
345,2023-01-04 19:15:00,430.9
346,2023-01-04 19:30:00,438.7
347,2023-01-04 19:45:00,462.1
348,2023-01-04 20:00:00,460.3
349,2023-01-04 20:15:00,451.4
350,2023-01-04 20:30:00,427.3
351,2023-01-04 20:45:00,429.8
352,2023-01-04 21:00:00,412.6
353,2023-01-04 21:15:00,425.0
354,2023-01-04 21:30:00,422.8
355,2023-01-04 21:45:00,441.8
356,2023-01-04 22:00:00,437.6
357,2023-01-04 22:15:00,439.8
358,2023-01-04 22:30:00,382.4
359,2023-01-04 22:45:00,396.2
360,2023-01-04 23:00:00,406.4
361,2023-01-04 23:15:00,343.8
362,2023-01-04 23:30:00,367.2
363,2023-01-04 23:45:00,315.3
364,2023-01-05 00:00:00,354.1
365,2023-01-05 00:15:00,361.2
366,2023-01-05 00:30:00,368.7
367,2023-01-05 00:45:00,339.2
368,2023-01-05 01:00:00,325.5
369,2023-01-05 01:15:00,323.5
370,2023-01-05 01:30:00,345.4
371,2023-01-05 01:45:00,346.6
372,2023-01-05 02:00:00,346.6
373,2023-01-05 02:15:00,326.5
374,2023-01-05 02:30:00,316.7
375,2023-01-05 02:45:00,359.2
376,2023-01-05 03:00:00,367.1
377,2023-01-05 03:15:00,347.2
378,2023-01-05 03:30:00,344.5
379,2023-01-05 03:45:00,323.2
380,2023-01-05 04:00:00,384.4
381,2023-01-05 04:15:00,332.8
382,2023-01-05 04:30:00,302.4
383,2023-01-05 04:45:00,348.3
384,2023-01-05 05:00:00,325.7
385,2023-01-05 05:15:00,316.9
386,2023-01-05 05:30:00,308.6
387,2023-01-05 05:45:00,299.9
388,2023-01-05 06:00:00,315.6
389,2023-01-05 06:15:00,323.4
390,2023-01-05 06:30:00,320.3
391,2023-01-05 06:45:00,302.7
392,2023-01-05 07:00:00,314.7
393,2023-01-05 07:15:00,319.7
394,2023-01-05 07:30:00,327.9
395,2023-01-05 07:45:00,325.7
396,2023-01-05 08:00:00,310.3
397,2023-01-05 08:15:00,311.8
398,2023-01-05 08:30:00,327.0
399,2023-01-05 08:45:00,336.3
400,2023-01-05 09:00:00,328.4
401,2023-01-05 09:15:00,396.0
402,2023-01-05 09:30:00,376.4
403,2023-01-05 09:45:00,384.9
404,2023-01-05 10:00:00,395.8
405,2023-01-05 10:15:00,376.9
406,2023-01-05 10:30:00,390.7
407,2023-01-05 10:45:00,380.6
408,2023-01-05 11:00:00,410.3
409,2023-01-05 11:15:00,351.1
410,2023-01-05 11:30:00,357.8
