Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,56.9
1,2023-01-01 05:15:00,54.0
2,2023-01-01 05:30:00,53.0
3,2023-01-01 05:45:00,58.7
4,2023-01-01 06:00:00,53.3
5,2023-01-01 06:15:00,56.9
6,2023-01-01 06:30:00,55.9
7,2023-01-01 06:45:00,56.6
8,2023-01-01 07:00:00,56.0
9,2023-01-01 07:15:00,58.9
10,2023-01-01 07:30:00,54.5
11,2023-01-01 07:45:00,55.6
12,2023-01-01 08:00:00,55.1
13,2023-01-01 08:15:00,57.9
14,2023-01-01 08:30:00,56.1
15,2023-01-01 08:45:00,56.0
16,2023-01-01 09:00:00,59.6
17,2023-01-01 09:15:00,54.7
18,2023-01-01 09:30:00,53.2
19,2023-01-01 09:45:00,54.6
20,2023-01-01 10:00:00,55.1
21,2023-01-01 10:15:00,57.5
22,2023-01-01 10:30:00,54.7
23,2023-01-01 10:45:00,56.9
24,2023-01-01 11:00:00,54.4
25,2023-01-01 11:15:00,55.8
26,2023-01-01 11:30:00,55.7
27,2023-01-01 11:45:00,56.7
28,2023-01-01 12:00:00,58.6
29,2023-01-01 12:15:00,88.3
30,2023-01-01 12:30:00,81.7
31,2023-01-01 12:45:00,81.2
32,2023-01-01 13:00:00,77.2
33,2023-01-01 13:15:00,75.4
34,2023-01-01 13:30:00,75.8
35,2023-01-01 13:45:00,75.1
36,2023-01-01 14:00:00,77.6
37,2023-01-01 14:15:00,75.6
38,2023-01-01 14:30:00,75.6
39,2023-01-01 14:45:00,79.6
40,2023-01-01 15:00:00,78.5
41,2023-01-01 15:15:00,78.0
42,2023-01-01 15:30:00,74.9
43,2023-01-01 15:45:00,75.2
44,2023-01-01 16:00:00,78.3
45,2023-01-01 16:15:00,78.4
46,2023-01-01 16:30:00,78.3
47,2023-01-01 16:45:00,77.0
48,2023-01-01 17:00:00,79.1
49,2023-01-01 17:15:00,76.9
50,2023-01-01 17:30:00,78.5
51,2023-01-01 17:45:00,73.1
52,2023-01-01 18:00:00,80.5
53,2023-01-01 18:15:00,75.7
54,2023-01-01 18:30:00,76.7
55,2023-01-01 18:45:00,78.9
56,2023-01-01 19:00:00,81.0
57,2023-01-01 19:15:00,82.3
58,2023-01-01 19:30:00,78.6
59,2023-01-01 19:45:00,82.5
60,2023-01-01 20:00:00,82.0
61,2023-01-01 20:15:00,80.3
62,2023-01-01 20:30:00,83.3
63,2023-01-01 20:45:00,78.2
64,2023-01-01 21:00:00,64.5
65,2023-01-01 21:15:00,58.9
66,2023-01-01 21:30:00,60.6
67,2023-01-01 21:45:00,58.8
68,2023-01-01 22:00:00,64.6
69,2023-01-01 22:15:00,63.2
70,2023-01-01 22:30:00,61.9
71,2023-01-01 22:45:00,61.3
72,2023-01-01 23:00:00,65.3
73,2023-01-01 23:15:00,60.5
74,2023-01-01 23:30:00,60.5
75,2023-01-01 23:45:00,62.5
76,2023-01-02 00:00:00,61.3
77,2023-01-02 00:15:00,62.9
78,2023-01-02 00:30:00,59.0
79,2023-01-02 00:45:00,63.8
80,2023-01-02 01:00:00,60.5
81,2023-01-02 01:15:00,61.9
82,2023-01-02 01:30:00,64.9
83,2023-01-02 01:45:00,60.2
84,2023-01-02 02:00:00,59.5
85,2023-01-02 02:15:00,59.9
86,2023-01-02 02:30:00,61.9
87,2023-01-02 02:45:00,58.6
88,2023-01-02 03:00:00,56.0
89,2023-01-02 03:15:00,56.6
90,2023-01-02 03:30:00,52.9
91,2023-01-02 03:45:00,52.9
92,2023-01-02 04:00:00,56.2
93,2023-01-02 04:15:00,58.5
94,2023-01-02 04:30:00,55.4
95,2023-01-02 04:45:00,56.6
96,2023-01-02 05:00:00,55.2
97,2023-01-02 05:15:00,54.2
98,2023-01-02 05:30:00,54.5
99,2023-01-02 05:45:00,52.7
100,2023-01-02 06:00:00,53.9
101,2023-01-02 06:15:00,56.0
102,2023-01-02 06:30:00,57.5
103,2023-01-02 06:45:00,53.5
104,2023-01-02 07:00:00,54.6
105,2023-01-02 07:15:00,56.3
106,2023-01-02 07:30:00,56.4
107,2023-01-02 07:45:00,57.2
108,2023-01-02 08:00:00,55.6
109,2023-01-02 08:15:00,55.1
110,2023-01-02 08:30:00,54.6
111,2023-01-02 08:45:00,57.3
112,2023-01-02 09:00:00,53.1
113,2023-01-02 09:15:00,56.5
114,2023-01-02 09:30:00,53.1
115,2023-01-02 09:45:00,59.3
116,2023-01-02 10:00:00,54.3
117,2023-01-02 10:15:00,56.9
118,2023-01-02 10:30:00,58.9
119,2023-01-02 10:45:00,56.0
120,2023-01-02 11:00:00,54.5
121,2023-01-02 11:15:00,52.3
122,2023-01-02 11:30:00,56.0
123,2023-01-02 11:45:00,53.2
124,2023-01-02 12:00:00,62.0
125,2023-01-02 12:15:00,82.3
126,2023-01-02 12:30:00,78.3
127,2023-01-02 12:45:00,76.4
128,2023-01-02 13:00:00,80.6
129,2023-01-02 13:15:00,77.4
130,2023-01-02 13:30:00,79.3
131,2023-01-02 13:45:00,83.2
132,2023-01-02 14:00:00,78.5
133,2023-01-02 14:15:00,78.2
134,2023-01-02 14:30:00,78.5
135,2023-01-02 14:45:00,77.4
136,2023-01-02 15:00:00,77.0
137,2023-01-02 15:15:00,76.6
138,2023-01-02 15:30:00,77.9
139,2023-01-02 15:45:00,84.0
140,2023-01-02 16:00:00,78.4
141,2023-01-02 16:15:00,80.4
142,2023-01-02 16:30:00,78.7
143,2023-01-02 16:45:00,80.1
144,2023-01-02 17:00:00,80.4
145,2023-01-02 17:15:00,84.1
146,2023-01-02 17:30:00,82.5
147,2023-01-02 17:45:00,83.7
148,2023-01-02 18:00:00,81.5
149,2023-01-02 18:15:00,81.0
150,2023-01-02 18:30:00,86.0
151,2023-01-02 18:45:00,87.1
152,2023-01-02 19:00:00,82.0
153,2023-01-02 19:15:00,80.7
154,2023-01-02 19:30:00,81.3
155,2023-01-02 19:45:00,82.7
156,2023-01-02 20:00:00,81.7
157,2023-01-02 20:15:00,80.5
158,2023-01-02 20:30:00,80.0
159,2023-01-02 20:45:00,77.6
160,2023-01-02 21:00:00,62.2
161,2023-01-02 21:15:00,64.5
162,2023-01-02 21:30:00,59.5
