Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,14.1
1,2023-01-01 05:15:00,12.4
2,2023-01-01 05:30:00,12.0
3,2023-01-01 05:45:00,20.2
4,2023-01-01 06:00:00,11.9
5,2023-01-01 06:15:00,22.0
6,2023-01-01 06:30:00,17.2
7,2023-01-01 06:45:00,14.6
8,2023-01-01 07:00:00,17.9
9,2023-01-01 07:15:00,14.4
10,2023-01-01 07:30:00,19.9
11,2023-01-01 07:45:00,14.5
12,2023-01-01 08:00:00,15.3
13,2023-01-01 08:15:00,11.6
14,2023-01-01 08:30:00,13.8
15,2023-01-01 08:45:00,11.9
16,2023-01-01 09:00:00,21.5
17,2023-01-01 09:15:00,11.7
18,2023-01-01 09:30:00,20.0
19,2023-01-01 09:45:00,17.6
20,2023-01-01 10:00:00,19.9
21,2023-01-01 10:15:00,16.9
22,2023-01-01 10:30:00,20.4
23,2023-01-01 10:45:00,16.8
24,2023-01-01 11:00:00,15.1
25,2023-01-01 11:15:00,23.1
26,2023-01-01 11:30:00,16.4
27,2023-01-01 11:45:00,22.7
28,2023-01-01 12:00:00,97.1
29,2023-01-01 12:15:00,92.9
30,2023-01-01 12:30:00,96.8
31,2023-01-01 12:45:00,103.5
32,2023-01-01 13:00:00,93.1
33,2023-01-01 13:15:00,92.0
34,2023-01-01 13:30:00,98.9
35,2023-01-01 13:45:00,91.0
36,2023-01-01 14:00:00,93.7
37,2023-01-01 14:15:00,90.8
38,2023-01-01 14:30:00,101.6
39,2023-01-01 14:45:00,86.5
40,2023-01-01 15:00:00,90.2
41,2023-01-01 15:15:00,96.3
42,2023-01-01 15:30:00,88.5
43,2023-01-01 15:45:00,87.2
44,2023-01-01 16:00:00,89.5
45,2023-01-01 16:15:00,93.0
46,2023-01-01 16:30:00,86.2
47,2023-01-01 16:45:00,92.3
48,2023-01-01 17:00:00,92.8
49,2023-01-01 17:15:00,72.9
50,2023-01-01 17:30:00,72.1
51,2023-01-01 17:45:00,76.5
52,2023-01-01 18:00:00,69.3
53,2023-01-01 18:15:00,65.8
54,2023-01-01 18:30:00,73.8
55,2023-01-01 18:45:00,66.9
56,2023-01-01 19:00:00,72.9
57,2023-01-01 19:15:00,71.0
58,2023-01-01 19:30:00,82.9
59,2023-01-01 19:45:00,70.6
60,2023-01-01 20:00:00,75.1
61,2023-01-01 20:15:00,68.9
62,2023-01-01 20:30:00,71.8
63,2023-01-01 20:45:00,75.2
64,2023-01-01 21:00:00,77.1
65,2023-01-01 21:15:00,91.2
66,2023-01-01 21:30:00,77.4
67,2023-01-01 21:45:00,84.1
68,2023-01-01 22:00:00,74.6
69,2023-01-01 22:15:00,92.5
70,2023-01-01 22:30:00,82.5
71,2023-01-01 22:45:00,86.4
72,2023-01-01 23:00:00,82.2
73,2023-01-01 23:15:00,24.2
74,2023-01-01 23:30:00,31.3
75,2023-01-01 23:45:00,15.3
76,2023-01-02 00:00:00,23.5
77,2023-01-02 00:15:00,14.9
