Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,45.1
1,2023-01-01 05:15:00,45.9
2,2023-01-01 05:30:00,47.2
3,2023-01-01 05:45:00,43.9
4,2023-01-01 06:00:00,45.2
5,2023-01-01 06:15:00,45.7
6,2023-01-01 06:30:00,45.2
7,2023-01-01 06:45:00,45.4
8,2023-01-01 07:00:00,48.9
9,2023-01-01 07:15:00,45.4
10,2023-01-01 07:30:00,49.1
11,2023-01-01 07:45:00,53.4
12,2023-01-01 08:00:00,51.7
13,2023-01-01 08:15:00,46.2
14,2023-01-01 08:30:00,50.6
15,2023-01-01 08:45:00,48.2
16,2023-01-01 09:00:00,47.8
17,2023-01-01 09:15:00,47.7
18,2023-01-01 09:30:00,48.4
19,2023-01-01 09:45:00,46.2
20,2023-01-01 10:00:00,50.5
21,2023-01-01 10:15:00,48.7
22,2023-01-01 10:30:00,48.8
23,2023-01-01 10:45:00,48.7
24,2023-01-01 11:00:00,47.3
25,2023-01-01 11:15:00,45.9
26,2023-01-01 11:30:00,49.4
27,2023-01-01 11:45:00,47.8
28,2023-01-01 12:00:00,49.5
29,2023-01-01 12:15:00,48.4
30,2023-01-01 12:30:00,52.9
31,2023-01-01 12:45:00,49.9
32,2023-01-01 13:00:00,44.2
33,2023-01-01 13:15:00,45.2
34,2023-01-01 13:30:00,47.3
35,2023-01-01 13:45:00,45.0
36,2023-01-01 14:00:00,44.9
37,2023-01-01 14:15:00,45.7
38,2023-01-01 14:30:00,45.0
39,2023-01-01 14:45:00,47.0
40,2023-01-01 15:00:00,48.5
41,2023-01-01 15:15:00,45.2
42,2023-01-01 15:30:00,44.5
43,2023-01-01 15:45:00,46.5
44,2023-01-01 16:00:00,45.9
45,2023-01-01 16:15:00,45.2
46,2023-01-01 16:30:00,42.8
47,2023-01-01 16:45:00,47.5
48,2023-01-01 17:00:00,45.4
49,2023-01-01 17:15:00,48.2
50,2023-01-01 17:30:00,40.4
51,2023-01-01 17:45:00,46.7
52,2023-01-01 18:00:00,42.3
53,2023-01-01 18:15:00,48.3
54,2023-01-01 18:30:00,44.1
55,2023-01-01 18:45:00,45.2
56,2023-01-01 19:00:00,43.7
57,2023-01-01 19:15:00,48.1
58,2023-01-01 19:30:00,46.4
