Unnamed: 0,slottime_GMT,value
0,2023-01-01 05:00:00,57.0
1,2023-01-01 05:15:00,59.1
2,2023-01-01 05:30:00,56.1
3,2023-01-01 05:45:00,57.5
4,2023-01-01 06:00:00,63.3
5,2023-01-01 06:15:00,56.2
6,2023-01-01 06:30:00,57.0
7,2023-01-01 06:45:00,58.6
8,2023-01-01 07:00:00,56.5
9,2023-01-01 07:15:00,56.6
10,2023-01-01 07:30:00,56.4
11,2023-01-01 07:45:00,58.3
12,2023-01-01 08:00:00,61.6
13,2023-01-01 08:15:00,58.1
14,2023-01-01 08:30:00,63.0
15,2023-01-01 08:45:00,59.3
16,2023-01-01 09:00:00,56.0
17,2023-01-01 09:15:00,56.4
18,2023-01-01 09:30:00,56.7
19,2023-01-01 09:45:00,55.2
20,2023-01-01 10:00:00,57.1
21,2023-01-01 10:15:00,59.1
22,2023-01-01 10:30:00,61.6
23,2023-01-01 10:45:00,72.7
24,2023-01-01 11:00:00,63.7
25,2023-01-01 11:15:00,61.7
26,2023-01-01 11:30:00,62.0
27,2023-01-01 11:45:00,63.0
28,2023-01-01 12:00:00,62.9
29,2023-01-01 12:15:00,71.7
30,2023-01-01 12:30:00,70.7
31,2023-01-01 12:45:00,75.2
32,2023-01-01 13:00:00,67.9
33,2023-01-01 13:15:00,69.7
34,2023-01-01 13:30:00,71.0
35,2023-01-01 13:45:00,66.4
36,2023-01-01 14:00:00,73.6
37,2023-01-01 14:15:00,72.8
38,2023-01-01 14:30:00,72.0
39,2023-01-01 14:45:00,77.7
40,2023-01-01 15:00:00,65.2
41,2023-01-01 15:15:00,57.9
42,2023-01-01 15:30:00,55.5
43,2023-01-01 15:45:00,55.5
44,2023-01-01 16:00:00,62.9
45,2023-01-01 16:15:00,58.3
46,2023-01-01 16:30:00,56.3
47,2023-01-01 16:45:00,58.7
48,2023-01-01 17:00:00,63.3
49,2023-01-01 17:15:00,56.8
50,2023-01-01 17:30:00,65.1
51,2023-01-01 17:45:00,57.7
52,2023-01-01 18:00:00,57.4
53,2023-01-01 18:15:00,56.8
54,2023-01-01 18:30:00,55.3
55,2023-01-01 18:45:00,57.4
56,2023-01-01 19:00:00,60.3
57,2023-01-01 19:15:00,60.8
58,2023-01-01 19:30:00,56.4
59,2023-01-01 19:45:00,60.1
60,2023-01-01 20:00:00,57.9
61,2023-01-01 20:15:00,55.7
62,2023-01-01 20:30:00,57.3
63,2023-01-01 20:45:00,57.9
64,2023-01-01 21:00:00,57.7
65,2023-01-01 21:15:00,58.2
66,2023-01-01 21:30:00,60.5
67,2023-01-01 21:45:00,65.2
68,2023-01-01 22:00:00,62.6
69,2023-01-01 22:15:00,67.1
70,2023-01-01 22:30:00,69.9
71,2023-01-01 22:45:00,61.4
72,2023-01-01 23:00:00,64.6
73,2023-01-01 23:15:00,64.4
74,2023-01-01 23:30:00,68.3
75,2023-01-01 23:45:00,64.3
76,2023-01-02 00:00:00,64.0
77,2023-01-02 00:15:00,63.2
78,2023-01-02 00:30:00,67.2
79,2023-01-02 00:45:00,63.3
80,2023-01-02 01:00:00,60.9
81,2023-01-02 01:15:00,63.3
82,2023-01-02 01:30:00,63.6
83,2023-01-02 01:45:00,62.9
84,2023-01-02 02:00:00,66.4
85,2023-01-02 02:15:00,72.7
86,2023-01-02 02:30:00,72.9
87,2023-01-02 02:45:00,72.4
88,2023-01-02 03:00:00,72.4
89,2023-01-02 03:15:00,72.3
90,2023-01-02 03:30:00,74.1
91,2023-01-02 03:45:00,73.7
92,2023-01-02 04:00:00,68.6
93,2023-01-02 04:15:00,60.7
94,2023-01-02 04:30:00,66.6
95,2023-01-02 04:45:00,60.5
96,2023-01-02 05:00:00,59.7
97,2023-01-02 05:15:00,60.1
98,2023-01-02 05:30:00,58.7
99,2023-01-02 05:45:00,61.5
100,2023-01-02 06:00:00,60.6
101,2023-01-02 06:15:00,60.3
102,2023-01-02 06:30:00,61.6
103,2023-01-02 06:45:00,59.6
104,2023-01-02 07:00:00,60.4
105,2023-01-02 07:15:00,61.1
106,2023-01-02 07:30:00,57.7
107,2023-01-02 07:45:00,61.0
108,2023-01-02 08:00:00,63.5
109,2023-01-02 08:15:00,60.0
110,2023-01-02 08:30:00,59.3
111,2023-01-02 08:45:00,62.6
112,2023-01-02 09:00:00,58.8
113,2023-01-02 09:15:00,60.2
114,2023-01-02 09:30:00,59.2
115,2023-01-02 09:45:00,59.0
116,2023-01-02 10:00:00,87.5
117,2023-01-02 10:15:00,62.8
118,2023-01-02 10:30:00,60.2
119,2023-01-02 10:45:00,61.9
120,2023-01-02 11:00:00,62.8
121,2023-01-02 11:15:00,62.6
